empirical_period,strategy,model,mean_net_delta_per_c,mean_abs_net_delta_per_c,max_abs_net_delta_per_c,mean_gross_abs_delta_per_c,max_gross_abs_delta_per_c,mean_net_gamma_per_c2,mean_abs_net_gamma_per_c2,max_abs_net_gamma_per_c2,mean_gross_abs_gamma_per_c2,max_gross_abs_gamma_per_c2,mean_gross_delta_per_unit_entry_capital,mean_gross_gamma_per_unit_entry_capital
external_validation,fixed_settlement,matern32,-0.013709450865089718,0.013709450865089718,0.21419236032431632,0.013709450865089718,0.21419236032431632,-0.010484493633205623,0.012774239963248566,0.08640270181944487,0.012774239963248566,0.08640270181944487,2.966017169421361,1.997042501746904
external_validation,fixed_settlement,raw,0.39344262295081966,0.8524590163934426,2.0,0.8524590163934426,2.0,-6.819672131147541,6.819672131147541,16.0,6.819672131147541,16.0,11.995348329954473,95.96278663963578
external_validation,fixed_settlement,rbf,-0.01507007126520383,0.01507007126520383,0.21883340562759357,0.01507007126520383,0.21883340562759357,-0.013741294514547857,0.015996833419645057,0.08992077600243498,0.015996833419645057,0.08992077600243498,2.6167108032677113,1.9269929485340767
external_validation,fixed_settlement,static,-0.01563323782003338,0.01563323782003338,0.2216452244128463,0.01563323782003338,0.2216452244128463,-0.01430252618476233,0.01666402302389337,0.09439547362717082,0.01666402302389337,0.09439547362717082,2.695615826375181,2.0042779192476377
external_validation,taec11,matern32,-0.17048865010640915,0.3062248558972953,0.47526877158161507,0.38754833617690887,0.48895675186732124,0.08929708697082386,0.13763448391338853,0.30361123337200013,0.26202044987358336,0.3456576607536226,0.17892364853494414,0.12167824173653413
external_validation,taec11,raw,0.6229508196721312,1.4754098360655739,4.0,1.4754098360655739,4.0,-11.80327868852459,11.80327868852459,32.0,11.80327868852459,32.0,0.3645294610692553,2.9162356885540426
external_validation,taec11,rbf,-0.18694017983043026,0.3107196473815998,0.4860128543600728,0.395257496972728,0.49452346065934694,0.08617452513692661,0.13740982821627912,0.3106709008700421,0.27029365807398736,0.3517457960008521,0.18009240678091737,0.12395566484227455
external_validation,taec11,static,-0.19094859632536104,0.3250240298024736,0.49171105354262523,0.4005020141618416,0.5032686453632853,0.07693837615206961,0.13645816907718422,0.3261294211315968,0.2787484489368004,0.3717878950402713,0.18187290799397687,0.1274392651701363
market_development,fixed_settlement,matern32,0.004962254326124203,0.018219814474868083,0.2459188074356009,0.018219814474868083,0.2459188074356009,-0.004874949085279044,0.01041550625516225,0.08941584974771999,0.01041550625516225,0.08941584974771999,1.509349368285666,0.9247216002712435
market_development,fixed_settlement,raw,0.1111111111111111,0.9555555555555556,2.0,0.9555555555555556,2.0,-7.644444444444445,7.644444444444445,16.0,7.644444444444445,16.0,10.089116568240948,80.71293254592759
market_development,fixed_settlement,rbf,0.004791960496644196,0.018909986371634078,0.24826121272637236,0.01890998637163408,0.24826121272637236,-0.0046183150930567485,0.010100914499505472,0.09044073733582891,0.010100914499505472,0.09044073733582891,1.601391651650995,0.9240641235890094
market_development,fixed_settlement,static,0.014465020485174536,0.024034388024429247,0.2524899689262716,0.024034388024429247,0.2524899689262716,-0.0009161427556552582,0.009452494171822402,0.09403053273908668,0.009452494171822402,0.09403053273908668,1.8628077511585162,0.8285795671729831
market_development,taec11,matern32,-0.15176236397004328,0.29299582823747566,0.48847139706345266,0.3957780618596417,0.48847139706345266,0.07118558844265852,0.14385695258968834,0.33755332573932106,0.2616317133705913,0.35759988312732804,0.1997245845758391,0.1274577267067209
market_development,taec11,raw,0.06666666666666667,1.7555555555555555,4.0,1.7555555555555555,4.0,-14.044444444444444,14.044444444444444,32.0,14.044444444444444,32.0,0.46801523641187337,3.744121891294987
market_development,taec11,rbf,-0.15160343378124239,0.29798926222156774,0.49509189648476526,0.39779318057669255,0.49509189648476526,0.06884838922241177,0.14679411338768528,0.31216930547319655,0.2651747665875757,0.36369306508145544,0.1989038775456516,0.1288131799226421
market_development,taec11,static,-0.10902481023512575,0.30323860885402126,0.4995788788232924,0.40003306041194997,0.4995788788232924,0.08129477465547612,0.1445769681484072,0.3277523660046975,0.2676524199124169,0.37794325448465294,0.2035191700637318,0.1332619403010069
