empirical_period,strategy,model,side,positions,gross_abs_delta_per_c,net_delta_per_c,gross_abs_gamma_per_c2,net_gamma_per_c2
external_validation,fixed_settlement,matern32,YES,12,0.8362765027704728,-0.8362765027704728,0.7792286377581625,-0.639554111625543
external_validation,fixed_settlement,raw,YES,61,52.0,24.0,416.0,-416.0
external_validation,fixed_settlement,rbf,YES,14,0.9192743471774336,-0.9192743471774336,0.9758068385983485,-0.8382189653874192
external_validation,fixed_settlement,static,YES,14,0.9536275070220361,-0.9536275070220361,1.0165054044574955,-0.8724540972705022
external_validation,taec11,matern32,NO,172,9.695484584227636,-4.6707534041470264,7.961404155186603,4.532485622930942
external_validation,taec11,matern32,YES,211,13.944963922563803,-5.729054252343932,8.021843287101984,0.9146366822893142
external_validation,taec11,raw,NO,304,38.0,14.0,304.0,-304.0
external_validation,taec11,raw,YES,61,52.0,24.0,416.0,-416.0
external_validation,taec11,rbf,NO,174,10.024438877696934,-5.118616441211537,8.061390609188871,4.357359975638582
external_validation,taec11,rbf,YES,213,14.086268437639475,-6.2847345284447105,8.426522533324357,0.8992860577139419
external_validation,taec11,static,NO,174,10.305946437584696,-5.232096437970795,8.33441766786732,4.340810078511808
external_validation,taec11,static,YES,206,14.12467642628764,-6.415767937876227,8.669237717277502,0.3524308667644388
market_development,fixed_settlement,matern32,YES,15,1.6397833027381274,0.4466028893511783,0.9373955629646025,-0.438745417675114
market_development,fixed_settlement,raw,YES,90,86.0,10.0,688.0,-688.0
market_development,fixed_settlement,rbf,YES,15,1.7018987734470672,0.43127644469797766,0.9090823049554926,-0.4156483583751074
market_development,fixed_settlement,static,YES,14,2.163094922198632,1.3018518436657083,0.8507244754640162,-0.08245284800897323
market_development,taec11,matern32,NO,243,15.119834495636573,-7.332691003975661,12.231675019177116,5.116241784822781
market_development,taec11,matern32,YES,272,20.500191071731184,-6.325921753328235,11.315179184176102,1.2904611750164858
market_development,taec11,raw,NO,410,72.0,-4.0,576.0,-576.0
market_development,taec11,raw,YES,90,86.0,10.0,688.0,-688.0
market_development,taec11,rbf,NO,246,15.534701812220508,-6.888601984097807,12.58653850202937,5.179385490174854
market_development,taec11,rbf,YES,268,20.266684439681818,-6.755707056214009,11.279190490852445,1.0169695398422047
market_development,taec11,static,NO,242,15.171017333462652,-5.260251159446962,12.574677552503788,5.60390352450161
market_development,taec11,static,YES,260,20.83195810361285,-4.551981761714357,11.514040239613733,1.7126261944912413
