empirical_period,strategy,model,total_net_pnl,stage2_total_net_pnl,absolute_pnl_difference,passed
external_validation,fixed_settlement,matern32,2.4510000000000005,2.451,4.440892098500626e-16,True
external_validation,fixed_settlement,raw,0.39700000000000096,0.3970000000000001,8.881784197001252e-16,True
external_validation,fixed_settlement,rbf,2.2810000000000006,2.281,4.440892098500626e-16,True
external_validation,fixed_settlement,static,2.2810000000000006,2.281,4.440892098500626e-16,True
external_validation,taec11,matern32,-5.3549999999999995,-5.355,8.881784197001252e-16,True
external_validation,taec11,raw,-6.260999999999999,-6.261,8.881784197001252e-16,True
external_validation,taec11,rbf,-6.0335,-6.033500000000001,8.881784197001252e-16,True
external_validation,taec11,static,-5.349499999999999,-5.349500000000001,1.7763568394002505e-15,True
market_development,fixed_settlement,matern32,2.4715000000000003,2.4715,4.440892098500626e-16,True
market_development,fixed_settlement,raw,-8.206499999999998,-8.2065,1.7763568394002505e-15,True
market_development,fixed_settlement,rbf,2.4910000000000005,2.491,4.440892098500626e-16,True
market_development,fixed_settlement,static,2.006,2.006,0.0,True
market_development,taec11,matern32,-5.2965,-5.296500000000001,8.881784197001252e-16,True
market_development,taec11,raw,-11.664,-11.664,0.0,True
market_development,taec11,rbf,-5.308,-5.308000000000001,8.881784197001252e-16,True
market_development,taec11,static,-4.215999999999999,-4.216000000000001,1.7763568394002505e-15,True
