empirical_period,strategy,model,temperature_shift_c,positions,active_dates,total_net_pnl,total_entry_capital,baseline_total_net_pnl,baseline_positions,pnl_change_from_zero_shift,position_change_from_zero_shift
market_development,fixed_settlement,raw,-1.0,90,90,-2.2845000000000004,5.2844999999999995,-8.2065,90,5.922,0
external_validation,fixed_settlement,raw,-1.0,61,61,-2.099,3.0989999999999993,0.3970000000000003,61,-2.4960000000000004,0
market_development,taec11,raw,-1.0,533,90,-11.924,363.4805,-11.664000000000001,500,-0.259999999999998,33
external_validation,taec11,raw,-1.0,383,61,-8.1265,267.9605,-6.261,365,-1.8655,18
market_development,fixed_settlement,static,-1.0,49,49,-1.3174999999999997,2.3175,2.0060000000000002,14,-3.3235,35
external_validation,fixed_settlement,static,-1.0,36,36,0.545,1.455,2.281,14,-1.7360000000000002,22
market_development,taec11,static,-1.0,620,90,-12.3045,240.691,-4.216000000000001,502,-8.0885,118
external_validation,taec11,static,-1.0,452,61,-7.427000000000001,182.95600000000002,-5.349500000000001,380,-2.0775000000000006,72
market_development,fixed_settlement,rbf,-1.0,51,51,-0.22449999999999987,2.2245,2.4909999999999997,15,-2.7154999999999996,36
external_validation,fixed_settlement,rbf,-1.0,36,36,0.5799999999999997,1.4200000000000002,2.281,14,-1.7010000000000005,22
market_development,taec11,rbf,-1.0,626,90,-14.636999999999999,240.05700000000002,-5.308000000000001,514,-9.328999999999997,112
external_validation,taec11,rbf,-1.0,454,61,-7.304,182.34,-6.0335,387,-1.2705000000000002,67
market_development,fixed_settlement,matern32,-1.0,52,52,-0.2809999999999998,2.281,2.4715,15,-2.7524999999999995,37
external_validation,fixed_settlement,matern32,-1.0,35,35,0.5799999999999997,1.4200000000000002,2.451,12,-1.8710000000000004,23
market_development,taec11,matern32,-1.0,635,90,-14.687000000000001,239.23149999999998,-5.296500000000002,515,-9.3905,120
external_validation,taec11,matern32,-1.0,452,61,-7.219000000000001,181.514,-5.355,383,-1.8640000000000008,69
market_development,fixed_settlement,raw,-0.5,90,90,-3.0510000000000006,9.051,-8.2065,90,5.1555,0
external_validation,fixed_settlement,raw,-0.5,61,61,-1.7395,4.7395000000000005,0.3970000000000003,61,-2.1365000000000003,0
market_development,taec11,raw,-0.5,514,90,-11.669000000000002,352.0085,-11.664000000000001,500,-0.005000000000000782,14
external_validation,taec11,raw,-0.5,371,61,-6.968,259.17949999999996,-6.261,365,-0.7069999999999999,6
market_development,fixed_settlement,static,-0.5,27,27,0.4765,1.5235,2.0060000000000002,14,-1.5295000000000003,13
external_validation,fixed_settlement,static,-0.5,25,25,0.9114999999999998,1.0885,2.281,14,-1.3695000000000004,11
market_development,taec11,static,-0.5,543,90,-9.201,212.72,-4.216000000000001,502,-4.984999999999999,41
external_validation,taec11,static,-0.5,412,61,-6.133000000000001,163.7835,-5.349500000000001,380,-0.7835000000000001,32
market_development,fixed_settlement,rbf,-0.5,28,28,-0.5495,1.5494999999999999,2.4909999999999997,15,-3.0404999999999998,13
external_validation,fixed_settlement,rbf,-0.5,22,22,1.1109999999999998,0.889,2.281,14,-1.1700000000000004,8
market_development,taec11,rbf,-0.5,560,90,-11.001000000000001,213.696,-5.308000000000001,514,-5.6930000000000005,46
external_validation,taec11,rbf,-0.5,415,61,-6.273000000000001,161.0315,-6.0335,387,-0.2395000000000005,28
market_development,fixed_settlement,matern32,-0.5,31,31,-1.609,1.609,2.4715,15,-4.0805,16
external_validation,fixed_settlement,matern32,-0.5,21,21,1.1534999999999997,0.8465,2.451,12,-1.2975000000000003,9
market_development,taec11,matern32,-0.5,573,90,-10.904000000000002,219.381,-5.296500000000002,515,-5.6075,58
external_validation,taec11,matern32,-0.5,409,61,-6.179500000000001,155.45000000000002,-5.355,383,-0.8245000000000005,26
market_development,fixed_settlement,raw,-0.25,90,90,-4.4165,10.4165,-8.2065,90,3.79,0
external_validation,fixed_settlement,raw,-0.25,61,61,-1.689,5.689000000000001,0.3970000000000003,61,-2.0860000000000003,0
market_development,taec11,raw,-0.25,507,90,-11.7995,347.71500000000003,-11.664000000000001,500,-0.13549999999999862,7
external_validation,taec11,raw,-0.25,369,61,-7.290500000000001,259.0785,-6.261,365,-1.0295000000000005,4
market_development,fixed_settlement,static,-0.25,21,21,2.1904999999999997,1.8095,2.0060000000000002,14,0.18449999999999944,7
external_validation,fixed_settlement,static,-0.25,16,16,2.096,0.9039999999999999,2.281,14,-0.18500000000000005,2
market_development,taec11,static,-0.25,514,90,-7.070000000000002,201.95850000000002,-4.216000000000001,502,-2.854000000000001,12
external_validation,taec11,static,-0.25,392,61,-5.910000000000001,149.24200000000002,-5.349500000000001,380,-0.5605000000000002,12
market_development,fixed_settlement,rbf,-0.25,20,20,1.7485,1.2515,2.4909999999999997,15,-0.7424999999999997,5
external_validation,fixed_settlement,rbf,-0.25,16,16,1.2185000000000001,0.7814999999999999,2.281,14,-1.0625,2
market_development,taec11,rbf,-0.25,534,90,-8.465500000000002,208.6785,-5.308000000000001,514,-3.1575000000000015,20
external_validation,taec11,rbf,-0.25,394,61,-5.530500000000002,149.782,-6.0335,387,0.5029999999999983,7
market_development,fixed_settlement,matern32,-0.25,21,21,0.6569999999999999,1.343,2.4715,15,-1.8144999999999998,6
external_validation,fixed_settlement,matern32,-0.25,14,14,2.281,0.7190000000000001,2.451,12,-0.16999999999999993,2
market_development,taec11,matern32,-0.25,538,90,-8.3085,210.64299999999997,-5.296500000000002,515,-3.0119999999999987,23
external_validation,taec11,matern32,-0.25,398,61,-5.4495000000000005,149.2985,-5.355,383,-0.09450000000000003,15
market_development,fixed_settlement,raw,0.0,90,90,-8.2065,13.206499999999998,-8.2065,90,0.0,0
