empirical_period,strategy,model,temperature_shift_c,positions,active_dates,total_net_pnl,total_entry_capital,baseline_total_net_pnl,baseline_positions,pnl_change_from_zero_shift,position_change_from_zero_shift,risk_total_net_pnl,absolute_difference,passed
market_development,fixed_settlement,raw,0.0,90,90,-8.2065,13.206499999999998,-8.2065,90,0.0,0,-8.206499999999998,1.7763568394002505e-15,True
external_validation,fixed_settlement,raw,0.0,61,61,0.3970000000000003,7.603,0.3970000000000003,61,0.0,0,0.39700000000000096,6.661338147750939e-16,True
market_development,taec11,raw,0.0,500,90,-11.664000000000001,346.3015,-11.664000000000001,500,0.0,0,-11.664,1.7763568394002505e-15,True
external_validation,taec11,raw,0.0,365,61,-6.261,258.89050000000003,-6.261,365,0.0,0,-6.260999999999999,8.881784197001252e-16,True
market_development,fixed_settlement,static,0.0,14,14,2.0060000000000002,1.9940000000000002,2.0060000000000002,14,0.0,0,2.006,4.440892098500626e-16,True
external_validation,fixed_settlement,static,0.0,14,14,2.281,0.7190000000000001,2.281,14,0.0,0,2.2810000000000006,4.440892098500626e-16,True
market_development,taec11,static,0.0,502,90,-4.216000000000001,201.497,-4.216000000000001,502,0.0,0,-4.215999999999999,1.7763568394002505e-15,True
external_validation,taec11,static,0.0,380,61,-5.349500000000001,142.85150000000002,-5.349500000000001,380,0.0,0,-5.349499999999999,1.7763568394002505e-15,True
market_development,fixed_settlement,rbf,0.0,15,15,2.4909999999999997,1.509,2.4909999999999997,15,0.0,0,2.4910000000000005,8.881784197001252e-16,True
external_validation,fixed_settlement,rbf,0.0,14,14,2.281,0.7190000000000001,2.281,14,0.0,0,2.2810000000000006,4.440892098500626e-16,True
market_development,taec11,rbf,0.0,514,90,-5.308000000000001,203.235,-5.308000000000001,514,0.0,0,-5.308,8.881784197001252e-16,True
external_validation,taec11,rbf,0.0,387,61,-6.0335,142.06,-6.0335,387,0.0,0,-6.0335,0.0,True
market_development,fixed_settlement,matern32,0.0,15,15,2.4715,1.5284999999999997,2.4715,15,0.0,0,2.4715000000000003,4.440892098500626e-16,True
external_validation,fixed_settlement,matern32,0.0,12,12,2.451,0.5489999999999999,2.451,12,0.0,0,2.4510000000000005,4.440892098500626e-16,True
market_development,taec11,matern32,0.0,515,90,-5.296500000000002,200.72899999999998,-5.296500000000002,515,0.0,0,-5.2965,1.7763568394002505e-15,True
external_validation,taec11,matern32,0.0,383,61,-5.355,140.2765,-5.355,383,0.0,0,-5.3549999999999995,8.881784197001252e-16,True
