event_date,empirical_period,strategy,model,net_pnl,entry_capital,positions,active
2026-07-01,external_validation,fixed_settlement,matern32,0.0,0.0,0,False
2026-07-01,external_validation,fixed_settlement,raw,-0.1149999999999999,0.1149999999999999,1,True
2026-07-01,external_validation,fixed_settlement,rbf,0.0,0.0,0,False
2026-07-01,external_validation,fixed_settlement,static,0.0,0.0,0,False
2026-07-01,external_validation,taec11,matern32,-0.5085000000000001,1.5585,5,True
2026-07-01,external_validation,taec11,raw,-0.2955,3.24,5,True
2026-07-01,external_validation,taec11,rbf,-0.7115,1.7885000000000002,6,True
2026-07-01,external_validation,taec11,static,-0.7115,1.7885000000000002,6,True
2026-07-02,external_validation,fixed_settlement,matern32,0.0,0.0,0,False
2026-07-02,external_validation,fixed_settlement,raw,-0.0425,0.0425,1,True
2026-07-02,external_validation,fixed_settlement,rbf,0.0,0.0,0,False
2026-07-02,external_validation,fixed_settlement,static,0.0,0.0,0,False
2026-07-02,external_validation,taec11,matern32,-0.286,1.5790000000000002,6,True
2026-07-02,external_validation,taec11,raw,-0.1435,3.0775,5,True
2026-07-02,external_validation,taec11,rbf,-0.286,1.5790000000000002,6,True
2026-07-02,external_validation,taec11,static,-0.286,1.5790000000000002,6,True
2026-07-03,external_validation,fixed_settlement,matern32,0.0,0.0,0,False
2026-07-03,external_validation,fixed_settlement,raw,-0.225,0.225,1,True
2026-07-03,external_validation,fixed_settlement,rbf,0.0,0.0,0,False
2026-07-03,external_validation,fixed_settlement,static,0.0,0.0,0,False
2026-07-03,external_validation,taec11,matern32,-0.3995,2.382,6,True
2026-07-03,external_validation,taec11,raw,-0.3155,4.438000000000001,6,True
2026-07-03,external_validation,taec11,rbf,-0.4265,2.402,7,True
2026-07-03,external_validation,taec11,static,-0.3995,2.382,6,True
2026-07-04,external_validation,fixed_settlement,matern32,0.0,0.0,0,False
2026-07-04,external_validation,fixed_settlement,raw,-0.05,0.05,1,True
2026-07-04,external_validation,fixed_settlement,rbf,0.0,0.0,0,False
2026-07-04,external_validation,fixed_settlement,static,0.0,0.0,0,False
2026-07-04,external_validation,taec11,matern32,-0.2185,1.3975,5,True
2026-07-04,external_validation,taec11,raw,-0.1,3.065,5,True
2026-07-04,external_validation,taec11,rbf,-0.2185,1.3975,5,True
2026-07-04,external_validation,taec11,static,-0.197,1.3845,4,True
2026-07-05,external_validation,fixed_settlement,matern32,0.0,0.0,0,False
2026-07-05,external_validation,fixed_settlement,raw,-0.26,0.26,1,True
2026-07-05,external_validation,fixed_settlement,rbf,0.0,0.0,0,False
2026-07-05,external_validation,fixed_settlement,static,0.0,0.0,0,False
2026-07-05,external_validation,taec11,matern32,0.1129999999999999,2.3285,7,True
2026-07-05,external_validation,taec11,raw,-0.4559999999999999,3.512,5,True
2026-07-05,external_validation,taec11,rbf,0.1129999999999999,2.3285,7,True
2026-07-05,external_validation,taec11,static,0.1129999999999999,2.3285,7,True
2026-07-06,external_validation,fixed_settlement,matern32,0.0,0.0,0,False
2026-07-06,external_validation,fixed_settlement,raw,-0.06,0.06,1,True
2026-07-06,external_validation,fixed_settlement,rbf,0.0,0.0,0,False
2026-07-06,external_validation,fixed_settlement,static,0.0,0.0,0,False
2026-07-06,external_validation,taec11,matern32,-0.2235,1.7005,7,True
2026-07-06,external_validation,taec11,raw,-0.187,5.1335,7,True
2026-07-06,external_validation,taec11,rbf,-0.2235,1.7005,7,True
2026-07-06,external_validation,taec11,static,-0.2334999999999999,1.626,5,True
2026-07-07,external_validation,fixed_settlement,matern32,0.979,0.0209999999999999,1,True
2026-07-07,external_validation,fixed_settlement,raw,-0.0155,0.0155,1,True
2026-07-07,external_validation,fixed_settlement,rbf,0.979,0.0209999999999999,1,True
