contrast,model,min_p_value,max_p_value,significant_block_lengths,total_block_lengths,all_block_lengths_same_sign
fixed_profitability,matern32,0.007399260073992601,0.11238876112388761,2,5,True
fixed_profitability,raw,0.8517148285171483,0.8769123087691231,0,5,True
fixed_profitability,rbf,0.006399360063993601,0.11818818118188182,2,5,True
fixed_profitability,static,0.007599240075992401,0.11438856114388561,2,5,True
precost_convergence,matern32,0.16998300169983002,0.31986801319868013,0,5,True
precost_convergence,raw,0.49525047495250474,0.5928407159284071,0,5,True
precost_convergence,rbf,0.35866413358664134,0.4747525247475253,0,5,True
precost_convergence,static,0.2390760923907609,0.36646335366463356,0,5,True
taec_minus_fixed,matern32,0.00019998000199980003,0.001999800019998,5,5,True
taec_minus_fixed,raw,9.999000099990002e-05,0.0021997800219978004,5,5,True
taec_minus_fixed,rbf,0.00019998000199980003,0.0016998300169983002,5,5,True
taec_minus_fixed,static,9.999000099990002e-05,0.0045995400459954,5,5,True
