empirical_period,model,threshold,positions,active_dates,yes_positions,no_positions,target_hits,gross_pre_cost_pnl,total_cost,net_pnl,is_frozen_baseline_threshold,diagnostic_only_no_reselection
market_development,raw,0.01,560,90,90,470,0,-1.2305000000000001,11.200000000000001,-12.4305,False,True
external_validation,raw,0.01,399,61,61,338,0,1.1174999999999993,7.98,-6.862500000000001,False,True
market_development,static,0.01,589,90,314,275,152,5.558,11.78,-6.222000000000001,False,True
external_validation,static,0.01,454,61,257,197,95,2.057,9.08,-7.0230000000000015,False,True
market_development,rbf,0.01,595,90,322,273,141,4.573499999999999,11.9,-7.326500000000001,False,True
external_validation,rbf,0.01,457,61,261,196,93,2.1329999999999996,9.14,-7.007000000000001,False,True
market_development,matern32,0.01,604,90,331,273,140,4.2575,12.08,-7.8225,False,True
external_validation,matern32,0.01,460,61,268,192,97,1.9909999999999997,9.200000000000001,-7.2090000000000005,False,True
market_development,raw,0.015,529,90,90,439,0,-1.4795000000000005,10.58,-12.0595,False,True
external_validation,raw,0.015,377,61,61,316,0,1.1475,7.54,-6.3925,False,True
market_development,static,0.015,538,90,283,255,136,5.531499999999999,10.76,-5.228500000000001,False,True
external_validation,static,0.015,426,61,236,190,86,2.2829999999999995,8.52,-6.237000000000001,False,True
market_development,rbf,0.015,546,90,293,253,128,4.798,10.92,-6.122000000000002,False,True
external_validation,rbf,0.015,422,61,238,184,82,2.2495,8.44,-6.190500000000001,False,True
market_development,matern32,0.015,556,90,301,255,127,4.46,11.120000000000001,-6.660000000000002,False,True
external_validation,matern32,0.015,423,61,241,182,84,1.9155000000000002,8.46,-6.544500000000001,False,True
market_development,raw,0.02,500,90,90,410,0,-1.6640000000000001,10.0,-11.664000000000001,True,True
external_validation,raw,0.02,365,61,61,304,0,1.0390000000000001,7.3,-6.261,True,True
market_development,static,0.02,502,90,260,242,125,5.824,10.040000000000001,-4.216000000000001,True,True
external_validation,static,0.02,380,61,206,174,72,2.2504999999999993,7.6000000000000005,-5.349500000000001,True,True
market_development,rbf,0.02,514,90,268,246,121,4.9719999999999995,10.28,-5.308000000000001,True,True
external_validation,rbf,0.02,387,61,213,174,69,1.7064999999999995,7.74,-6.0335,True,True
market_development,matern32,0.02,515,90,272,243,117,5.003499999999999,10.3,-5.296500000000002,True,True
external_validation,matern32,0.02,383,61,211,172,75,2.304999999999999,7.66,-5.355,True,True
market_development,raw,0.025,492,90,90,402,0,-1.7125,9.84,-11.552499999999998,False,True
external_validation,raw,0.025,355,61,61,294,0,0.9589999999999999,7.1000000000000005,-6.141,False,True
market_development,static,0.025,471,90,240,231,113,5.77,9.42,-3.650000000000001,False,True
external_validation,static,0.025,356,61,186,170,64,1.9929999999999997,7.12,-5.127000000000001,False,True
market_development,rbf,0.025,480,90,247,233,109,4.814499999999999,9.6,-4.785500000000001,False,True
external_validation,rbf,0.025,358,61,189,169,66,2.1559999999999993,7.16,-5.0040000000000004,False,True
market_development,matern32,0.025,485,90,252,233,108,4.953999999999999,9.700000000000001,-4.746000000000001,False,True
external_validation,matern32,0.025,355,61,188,167,68,2.2685,7.1000000000000005,-4.831500000000002,False,True
market_development,raw,0.03,475,90,90,385,0,-1.9394999999999998,9.5,-11.4395,False,True
external_validation,raw,0.03,342,61,61,281,0,0.9079999999999999,6.84,-5.932,False,True
market_development,static,0.03,436,90,212,224,108,6.229499999999999,8.72,-2.490500000000001,False,True
external_validation,static,0.03,330,61,170,160,59,2.0549999999999997,6.6000000000000005,-4.545000000000001,False,True
market_development,rbf,0.03,450,90,228,222,99,4.832999999999999,9.0,-4.167000000000001,False,True
external_validation,rbf,0.03,332,61,170,162,61,2.1799999999999997,6.640000000000001,-4.460000000000001,False,True
market_development,matern32,0.03,452,90,232,220,95,4.865499999999999,9.040000000000001,-4.174500000000001,False,True
external_validation,matern32,0.03,331,61,174,157,60,2.1784999999999997,6.62,-4.441500000000001,False,True
market_development,raw,0.04,457,90,90,367,0,-2.2775,9.14,-11.4175,False,True
external_validation,raw,0.04,327,61,61,266,0,0.6190000000000001,6.54,-5.921,False,True
market_development,static,0.04,383,90,184,199,85,5.287499999999999,7.66,-2.3725000000000005,False,True
external_validation,static,0.04,282,61,144,138,43,2.2935,5.64,-3.3465000000000016,False,True
