empirical_period,strategy,model,positions,gross_pre_cost_pnl,baseline_cost_per_position,baseline_net_pnl,break_even_cost_per_position,baseline_cost_minus_break_even,baseline_cost_exceeds_break_even
external_validation,fixed_settlement,matern32,12,2.571,0.01,2.451,0.21425000000000002,-0.20425000000000001,False
external_validation,fixed_settlement,raw,61,1.0070000000000001,0.01,0.39700000000000013,0.01650819672131148,-0.006508196721311478,False
external_validation,fixed_settlement,rbf,14,2.421,0.01,2.2809999999999997,0.1729285714285714,-0.1629285714285714,False
external_validation,fixed_settlement,static,14,2.421,0.01,2.2809999999999997,0.1729285714285714,-0.1629285714285714,False
market_development,fixed_settlement,matern32,15,2.6215,0.01,2.4715000000000003,0.17476666666666668,-0.16476666666666667,False
market_development,fixed_settlement,raw,90,-7.3065,0.01,-8.2065,-0.08118333333333333,0.09118333333333332,True
market_development,fixed_settlement,rbf,15,2.6410000000000005,0.01,2.4910000000000005,0.1760666666666667,-0.1660666666666667,False
market_development,fixed_settlement,static,14,2.1460000000000004,0.01,2.0060000000000002,0.1532857142857143,-0.1432857142857143,False
external_validation,taec11,matern32,383,2.3049999999999997,0.02,-5.355,0.006018276762402088,0.013981723237597912,True
external_validation,taec11,raw,365,1.0390000000000004,0.02,-6.260999999999999,0.0028465753424657546,0.017153424657534246,True
external_validation,taec11,rbf,387,1.7065000000000001,0.02,-6.0335,0.004409560723514212,0.015590439276485788,True
external_validation,taec11,static,380,2.2505,0.02,-5.349500000000001,0.005922368421052632,0.01407763157894737,True
market_development,taec11,matern32,515,5.003500000000001,0.02,-5.2965,0.009715533980582525,0.010284466019417475,True
market_development,taec11,raw,500,-1.6639999999999988,0.02,-11.663999999999998,-0.0033279999999999976,0.023327999999999998,True
market_development,taec11,rbf,514,4.972000000000001,0.02,-5.307999999999998,0.009673151750972765,0.010326848249027236,True
market_development,taec11,static,502,5.824000000000001,0.02,-4.216,0.01160159362549801,0.00839840637450199,True
