request_id,run_date,run_init_utc,run_parameter,cycle_utc,cycle_role,retrieval_selected,required_for_core_design,run_period,weather_only_training_start,weather_only_training_end,forecast_start_hkt,forecast_end_hkt,first_local_date_covered,last_local_date_covered,forecast_hours,model,hourly_variable,timezone,temperature_unit,cell_selection,latitude,longitude,endpoint,request_url,cache_path,request_status,network_request_made,market_price_accessed,outcome_accessed
ifs_20240314_00,2024-03-14,2024-03-14T00:00:00+00:00,2024-03-14T00:00,0,core,True,True,support_buffer,2024-03-16,2026-03-15,2024-03-14T08:00:00+00:00,2024-03-24T07:00:00+00:00,2024-03-14,2024-03-24,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-14T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240314_00.json,PLANNED,False,False,False
ifs_20240314_12,2024-03-14,2024-03-14T12:00:00+00:00,2024-03-14T12:00,12,core,True,True,support_buffer,2024-03-16,2026-03-15,2024-03-14T20:00:00+00:00,2024-03-24T19:00:00+00:00,2024-03-14,2024-03-24,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-14T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240314_12.json,PLANNED,False,False,False
ifs_20240315_00,2024-03-15,2024-03-15T00:00:00+00:00,2024-03-15T00:00,0,core,True,True,support_buffer,2024-03-16,2026-03-15,2024-03-15T08:00:00+00:00,2024-03-25T07:00:00+00:00,2024-03-15,2024-03-25,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-15T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240315_00.json,PLANNED,False,False,False
ifs_20240315_12,2024-03-15,2024-03-15T12:00:00+00:00,2024-03-15T12:00,12,core,True,True,support_buffer,2024-03-16,2026-03-15,2024-03-15T20:00:00+00:00,2024-03-25T19:00:00+00:00,2024-03-15,2024-03-25,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-15T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240315_12.json,PLANNED,False,False,False
ifs_20240316_00,2024-03-16,2024-03-16T00:00:00+00:00,2024-03-16T00:00,0,core,True,True,weather_only_training,2024-03-16,2026-03-15,2024-03-16T08:00:00+00:00,2024-03-26T07:00:00+00:00,2024-03-16,2024-03-26,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-16T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240316_00.json,PLANNED,False,False,False
ifs_20240316_12,2024-03-16,2024-03-16T12:00:00+00:00,2024-03-16T12:00,12,core,True,True,weather_only_training,2024-03-16,2026-03-15,2024-03-16T20:00:00+00:00,2024-03-26T19:00:00+00:00,2024-03-16,2024-03-26,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-16T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240316_12.json,PLANNED,False,False,False
ifs_20240317_00,2024-03-17,2024-03-17T00:00:00+00:00,2024-03-17T00:00,0,core,True,True,weather_only_training,2024-03-16,2026-03-15,2024-03-17T08:00:00+00:00,2024-03-27T07:00:00+00:00,2024-03-17,2024-03-27,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-17T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240317_00.json,PLANNED,False,False,False
ifs_20240317_12,2024-03-17,2024-03-17T12:00:00+00:00,2024-03-17T12:00,12,core,True,True,weather_only_training,2024-03-16,2026-03-15,2024-03-17T20:00:00+00:00,2024-03-27T19:00:00+00:00,2024-03-17,2024-03-27,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-17T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240317_12.json,PLANNED,False,False,False
ifs_20240318_00,2024-03-18,2024-03-18T00:00:00+00:00,2024-03-18T00:00,0,core,True,True,weather_only_training,2024-03-16,2026-03-15,2024-03-18T08:00:00+00:00,2024-03-28T07:00:00+00:00,2024-03-18,2024-03-28,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-18T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240318_00.json,PLANNED,False,False,False
ifs_20240318_12,2024-03-18,2024-03-18T12:00:00+00:00,2024-03-18T12:00,12,core,True,True,weather_only_training,2024-03-16,2026-03-15,2024-03-18T20:00:00+00:00,2024-03-28T19:00:00+00:00,2024-03-18,2024-03-28,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-18T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240318_12.json,PLANNED,False,False,False
