repair_order,attempts,cache_path,cache_reused,cell_selection,compressed_file_bytes,compressed_file_sha256,cycle_role,cycle_utc,endpoint,error,failure_type,first_local_date_covered,first_time,forecast_end_hkt,forecast_hours,forecast_start_hkt,hourly_rows,hourly_variable,last_local_date_covered,last_time,latitude,longitude,market_price_accessed,model,network_request_made,network_retrieved,original_core_cycle,outcome_accessed,permanently_unavailable,repair_role,request_id,request_status,request_url,required_for_core_design,response_sha256,retrieval_selected,retry_with_relaxed_validation,returned_elevation,returned_latitude,returned_longitude,returned_timezone,run_date,run_init_utc,run_parameter,run_period,status,successful_core_runs_on_date,temperature_unit,timezone,validation_rule,weather_only_training_end,weather_only_training_start
1,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_06.json,,land,,,supplementary,6,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-23,,2024-10-03T13:00:00+00:00,240.0,2024-09-23T14:00:00+00:00,,temperature_2m,2024-10-03,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240923_06,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-23,2024-09-23 06:00:00+00:00,2024-09-23T06:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
2,1.0,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_12.json.gz,0.0,,0.0,,core,12,,ValueError: Temperature response contains missing values.,partial_or_missing_temperature,,,,,,0.0,,,,,,False,ecmwf_ifs,,0.0,True,False,0.0,core_partial_response_retry,ifs_20240923_12,,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,,146b8af776bb1e1ee1632f10be8081b554351a988708fd7b2498df407d677dba,,1.0,,,,,2024-09-23,2024-09-23 12:00:00+00:00,,,FAILED,1.0,,,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,,
3,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_18.json,,land,,,supplementary,18,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-24,,2024-10-04T01:00:00+00:00,240.0,2024-09-24T02:00:00+00:00,,temperature_2m,2024-10-04,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240923_18,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-23,2024-09-23 18:00:00+00:00,2024-09-23T18:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
4,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240925_06.json,,land,,,supplementary,6,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-25,,2024-10-05T13:00:00+00:00,240.0,2024-09-25T14:00:00+00:00,,temperature_2m,2024-10-05,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240925_06,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-25T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-25,2024-09-25 06:00:00+00:00,2024-09-25T06:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
5,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240925_18.json,,land,,,supplementary,18,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-26,,2024-10-06T01:00:00+00:00,240.0,2024-09-26T02:00:00+00:00,,temperature_2m,2024-10-06,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240925_18,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-25T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-25,2024-09-25 18:00:00+00:00,2024-09-25T18:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
6,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_06.json,,land,,,supplementary,6,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-26,,2024-10-06T13:00:00+00:00,240.0,2024-09-26T14:00:00+00:00,,temperature_2m,2024-10-06,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240926_06,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-26,2024-09-26 06:00:00+00:00,2024-09-26T06:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
7,1.0,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_12.json.gz,0.0,,0.0,,core,12,,ValueError: Temperature response contains missing values.,partial_or_missing_temperature,,,,,,0.0,,,,,,False,ecmwf_ifs,,0.0,True,False,0.0,core_partial_response_retry,ifs_20240926_12,,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,,13d401aa6960810af6a068b6269ae4d4b193cfe619c2714e739e569fe1d97f42,,1.0,,,,,2024-09-26,2024-09-26 12:00:00+00:00,,,FAILED,1.0,,,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,,
8,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_18.json,,land,,,supplementary,18,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-27,,2024-10-07T01:00:00+00:00,240.0,2024-09-27T02:00:00+00:00,,temperature_2m,2024-10-07,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240926_18,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-26,2024-09-26 18:00:00+00:00,2024-09-26T18:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
9,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_06.json,,land,,,supplementary,6,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-27,,2024-10-07T13:00:00+00:00,240.0,2024-09-27T14:00:00+00:00,,temperature_2m,2024-10-07,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240927_06,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-27,2024-09-27 06:00:00+00:00,2024-09-27T06:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
10,1.0,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_12.json.gz,0.0,,0.0,,core,12,,ValueError: Temperature response contains missing values.,partial_or_missing_temperature,,,,,,0.0,,,,,,False,ecmwf_ifs,,0.0,True,False,0.0,core_partial_response_retry,ifs_20240927_12,,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,,23ed641d7f1972e89dc4f5aba294337612cef89faeaf10634c425d302e11ae10,,1.0,,,,,2024-09-27,2024-09-27 12:00:00+00:00,,,FAILED,0.0,,,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,,
11,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_18.json,,land,,,supplementary,18,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-28,,2024-10-08T01:00:00+00:00,240.0,2024-09-28T02:00:00+00:00,,temperature_2m,2024-10-08,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240927_18,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-27,2024-09-27 18:00:00+00:00,2024-09-27T18:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
12,1.0,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_00.json.gz,0.0,,0.0,,core,0,,ValueError: Temperature response contains missing values.,partial_or_missing_temperature,,,,,,0.0,,,,,,False,ecmwf_ifs,,0.0,True,False,0.0,core_partial_response_retry,ifs_20240928_00,,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,,807e1a1bcb85bf91cf4c7d58ac26587b37655296a21b457753961a3d3ca39ff2,,1.0,,,,,2024-09-28,2024-09-28 00:00:00+00:00,,,FAILED,0.0,,,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,,
13,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_06.json,,land,,,supplementary,6,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-28,,2024-10-08T13:00:00+00:00,240.0,2024-09-28T14:00:00+00:00,,temperature_2m,2024-10-08,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240928_06,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-28,2024-09-28 06:00:00+00:00,2024-09-28T06:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
14,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_18.json,,land,,,supplementary,18,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-29,,2024-10-09T01:00:00+00:00,240.0,2024-09-29T02:00:00+00:00,,temperature_2m,2024-10-09,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240928_18,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-28,2024-09-28 18:00:00+00:00,2024-09-28T18:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
15,,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240929_06.json,,land,,,supplementary,6,https://single-runs-api.open-meteo.com/v1/forecast,,,2024-09-29,,2024-10-09T13:00:00+00:00,240.0,2024-09-29T14:00:00+00:00,,temperature_2m,2024-10-09,,22.3019444444,114.1741666667,False,ecmwf_ifs,0.0,,False,False,,supplementary_cycle_candidate,ifs_20240929_06,PLANNED,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-29T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,0.0,,0.0,,,,,,2024-09-29,2024-09-29 06:00:00+00:00,2024-09-29T06:00,weather_only_training,,,celsius,Asia/Hong_Kong,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,2026-03-15,2024-03-16
16,1.0,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240929_12.json.gz,0.0,,0.0,,core,12,,ValueError: Temperature response contains missing values.,partial_or_missing_temperature,,,,,,0.0,,,,,,False,ecmwf_ifs,,0.0,True,False,0.0,core_partial_response_retry,ifs_20240929_12,,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-29T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,,00caa87573f38f20ba7ccfe25cc23654cd7d12327033e09479f4da174b993394,,1.0,,,,,2024-09-29,2024-09-29 12:00:00+00:00,,,FAILED,0.0,,,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures,,
