target_date,kernel,kernel_order,decision_rule_rows,mean_crps_c,mean_negative_log_score,mean_absolute_corrected_error_c,mean_squared_corrected_error_c2,mean_predictive_standard_deviation_c,mean_pit
2025-03-16,matern32,2,4,0.9774821059,1.9103569756,1.5129777827,2.5947199104,1.2743792140,0.1367716760
2025-03-16,rbf,1,4,1.0785645305,2.0461995502,1.6410474809,3.0494890040,1.2701478843,0.1187785416
2025-03-17,matern32,2,4,1.2307515716,2.2526613862,1.8272599915,3.7312971154,1.2852509442,0.0999219922
2025-03-17,rbf,1,4,1.2745544975,2.3199530745,1.8749828975,3.9450256324,1.2804301880,0.0953823142
2025-03-18,matern32,2,4,3.0007851911,5.4720235860,3.7176902219,13.8813362619,1.2737528473,0.0021966081
2025-03-18,rbf,1,4,3.1264747599,5.7537218890,3.8433538945,14.8194871973,1.2726075012,0.0014829865
2025-03-19,matern32,2,4,0.3737406050,1.2483626051,0.3971860680,0.2319981324,1.2939206620,0.6184788895
2025-03-19,rbf,1,4,0.3395105083,1.2119264560,0.2225788419,0.1199187569,1.2903875835,0.5687823764
2025-03-20,matern32,2,4,0.6487980589,1.5415487120,1.0585470828,1.2004659528,1.2884282643,0.7888521883
2025-03-20,rbf,1,4,0.5667004747,1.4496303091,0.9141434792,0.8998831527,1.2862530173,0.7575250974
2025-03-21,matern32,2,4,0.8977489979,1.8204933478,1.4444334087,2.1466709481,1.2777357096,0.8666921538
2025-03-21,rbf,1,4,0.8254178968,1.7308982076,1.3452586602,1.8661760235,1.2759332371,0.8502279095
2025-03-22,matern32,2,4,0.6288253241,1.5040283262,1.0077074545,1.1831071383,1.2823599685,0.7721647755
2025-03-22,rbf,1,4,0.6057917905,1.4797525596,0.9470920662,1.1148818514,1.2768758944,0.7553960517
2025-03-23,matern32,2,4,0.4400772305,1.3141805251,0.6417903639,0.4544245656,1.2869502410,0.6902736777
2025-03-23,rbf,1,4,0.4218097585,1.2915156163,0.6094915352,0.3982458225,1.2837950763,0.6817391047
2025-03-24,matern32,2,4,0.3602383440,1.2405573914,0.3844901942,0.1765558826,1.3067317201,0.5832063548
2025-03-24,rbf,1,4,0.3446719919,1.2221830160,0.3264133199,0.1296140279,1.3016221104,0.5704321843
2025-03-25,matern32,2,4,0.6346368910,1.5292289656,0.9568861068,1.1622931970,1.3140338453,0.7516514265
2025-03-25,rbf,1,4,0.6211935083,1.5111249667,0.9152384372,1.1134712166,1.3081776508,0.7417072538
2025-03-26,matern32,2,4,0.3897874423,1.2727485048,0.4503393060,0.2735568583,1.3082234677,0.6343171523
2025-03-26,rbf,1,4,0.3724898443,1.2515869436,0.4221499837,0.2207159150,1.3038125900,0.6265676994
2025-03-27,matern32,2,4,0.9120230145,1.8513328232,1.4602725595,2.1980328297,1.3162254034,0.8618937471
2025-03-27,rbf,1,4,0.8829372040,1.8103604486,1.4280271457,2.0782681926,1.3118010746,0.8591748432
2025-03-28,matern32,2,4,0.9787915044,1.9464605512,1.5073613966,2.5020099828,1.3357120572,0.8560747363
2025-03-28,rbf,1,4,0.9317865400,1.8872096457,1.4468775969,2.2985382501,1.3306295623,0.8489584935
2025-03-29,matern32,2,4,0.5506865009,1.4709557869,0.7138286372,0.8420547243,1.3533460685,0.3124612476
2025-03-29,rbf,1,4,0.5952390647,1.5232970161,0.7864788074,1.0237457536,1.3514706084,0.2987108879
2025-03-30,matern32,2,4,0.6387056558,1.5592297542,0.8145863535,1.2111092718,1.3996025458,0.3283636564
2025-03-30,rbf,1,4,0.6147038970,1.5277286124,0.8459709135,1.1149850787,1.3876772178,0.3547052644
2025-03-31,matern32,2,4,3.0749931695,5.2125276612,3.8467677182,14.8667875983,1.3732384398,0.0033485952
2025-03-31,rbf,1,4,3.0494704543,5.1918558530,3.8180373414,14.6560274644,1.3681417666,0.0036503922
2025-04-01,matern32,2,4,1.4903591450,2.5930886183,2.1613589970,4.9218145731,1.3569341245,0.0695839249
2025-04-01,rbf,1,4,1.6057398231,2.7607045722,2.2909715497,5.5017212302,1.3569284322,0.0596135472
2025-04-02,matern32,2,4,0.6432391276,1.5513669227,0.9896077658,1.2085494456,1.3618755570,0.7524522876
2025-04-02,rbf,1,4,0.5798071290,1.4819121657,0.8707559521,0.9658530780,1.3614961729,0.7266888017
2025-04-03,matern32,2,4,0.6359985278,1.5332881873,1.0622584943,1.1460360293,1.3565817609,0.7821743163
2025-04-03,rbf,1,4,0.6076258037,1.5019546521,1.0103811318,1.0485172272,1.3552475938,0.7701307022
2025-04-04,matern32,2,4,1.1708693204,2.1312079538,1.8187094746,3.3688621388,1.3690974367,0.0955205175
2025-04-04,rbf,1,4,1.2526467470,2.2330121017,1.9191432553,3.7251495337,1.3680089403,0.0827708096
2025-04-05,matern32,2,4,3.1391714572,5.3268317374,3.9096045851,15.3371607180,1.3690491750,0.0023908791
2025-04-05,rbf,1,4,3.2109032608,5.4942262952,3.9807753244,15.8762871077,1.3675299210,0.0020286489
2025-04-06,matern32,2,4,1.4031019942,2.4214978378,2.0956372766,4.4390620694,1.3678516777,0.0651487567
2025-04-06,rbf,1,4,1.4241998888,2.4548533360,2.1180760905,4.5263039164,1.3652735496,0.0627462765
2025-04-07,matern32,2,4,1.6463018303,2.7309444809,2.3746375083,5.6468790581,1.3751289894,0.9577114618
2025-04-07,rbf,1,4,1.6045027760,2.6721553826,2.3281399212,5.4362032679,1.3727258721,0.9548806107
2025-04-08,matern32,2,4,0.3799216094,1.2919298205,0.4314689767,0.2025899127,1.3767637243,0.6226462104
2025-04-08,rbf,1,4,0.3721982114,1.2820063821,0.4080282561,0.1804432888,1.3725251541,0.6160923160
2025-04-09,matern32,2,4,0.4080919848,1.3203501021,0.4960438385,0.3017020612,1.3817201166,0.6378284047
2025-04-09,rbf,1,4,0.4049829090,1.3150580253,0.4675462239,0.2936028939,1.3763920159,0.6299885070
2025-04-10,matern32,2,4,0.6626245262,1.5690519664,0.9822414681,1.2940401900,1.3873941673,0.7345390238
2025-04-10,rbf,1,4,0.6648859151,1.5687510333,1.0153804510,1.3068750683,1.3806695895,0.7247759596
2025-04-11,matern32,2,4,0.4033927427,1.3223729538,0.4586625715,0.2721699404,1.3909350967,0.6164897896
2025-04-11,rbf,1,4,0.3865999982,1.3027736893,0.4163693492,0.2174425612,1.3836873001,0.6061559176
2025-04-12,matern32,2,4,0.4139659192,1.3356287324,0.4496797319,0.3110331864,1.3932953961,0.6239058253
2025-04-12,rbf,1,4,0.3968226764,1.3149128393,0.4150302639,0.2539935629,1.3861324377,0.6159976331
2025-04-13,matern32,2,4,0.4691468689,1.3852342075,0.6599421673,0.5169914739,1.3987507069,0.6775331750
2025-04-13,rbf,1,4,0.4682217268,1.3822317196,0.6307220274,0.5168773129,1.3921599390,0.6694066260
2025-04-14,matern32,2,4,1.1137220710,2.0484629685,1.7645243041,3.1347782391,1.4062977958,0.1058126120
2025-04-14,rbf,1,4,1.1752200760,2.1235670730,1.8383031958,3.3937577827,1.3945436576,0.0944131634
2025-04-15,matern32,2,4,0.8982226999,1.8166572143,1.4642138100,2.2367327567,1.4393084815,0.8400249765
2025-04-15,rbf,1,4,0.7851139810,1.6977811543,1.2803056803,1.7589455131,1.4123316914,0.8102707188
2025-04-16,matern32,2,4,0.3821587772,1.3086037698,0.4033642575,0.1898477553,1.4077901149,0.6121110565
2025-04-16,rbf,1,4,0.3693112477,1.2909511111,0.3569762920,0.1541531684,1.3964774846,0.5996746644
2025-04-17,matern32,2,4,0.5169478283,1.4382982910,0.7742220136,0.6784382723,1.4132793368,0.7057641801
2025-04-17,rbf,1,4,0.4832330006,1.4008033059,0.7072990485,0.5570641219,1.3996385794,0.6923875672
2025-04-18,matern32,2,4,0.8170112350,1.7289771307,1.3582629317,1.8681437196,1.4158810109,0.1700739257
2025-04-18,rbf,1,4,0.8616958356,1.7734910141,1.4256300037,2.0434079281,1.4013342518,0.1550535223
2025-04-19,matern32,2,4,0.4563792594,1.3825302221,0.6185849173,0.4625591232,1.4219532555,0.3358907082
2025-04-19,rbf,1,4,0.4792639419,1.3955101609,0.7105727992,0.5564939525,1.4045770941,0.3096390990
2025-04-20,matern32,2,4,1.3204092199,2.2822992609,2.0240730722,4.1029569591,1.4245898640,0.9221263544
2025-04-20,rbf,1,4,1.2464891541,2.2015220483,1.9292899403,3.7367077624,1.4060128225,0.9144291483
2025-04-21,matern32,2,4,0.3519538826,1.2923011062,0.2386121903,0.0632491995,1.4303954140,0.4759228899
2025-04-21,rbf,1,4,0.3552777109,1.2846811781,0.2605546899,0.0927073257,1.4088098465,0.4422882128
2025-04-22,matern32,2,4,0.3571681835,1.2974787060,0.1973041999,0.0807627802,1.4306162156,0.5550398513
2025-04-22,rbf,1,4,0.3438601745,1.2745683815,0.2091149309,0.0515753387,1.4090051395,0.5249008861
2025-04-23,matern32,2,4,0.6966141927,1.6131935291,1.1699865066,1.3709572009,1.4357596483,0.7923652245
2025-04-23,rbf,1,4,0.6246231219,1.5364253846,1.0435581452,1.0923435355,1.4110982630,0.7699816536
2025-04-24,matern32,2,4,0.4922237679,1.4255950173,0.6914806428,0.5773988242,1.4364794536,0.6815707463
2025-04-24,rbf,1,4,0.4470727243,1.3717343560,0.5692153404,0.4245672947,1.4114245552,0.6532972582
2025-04-25,matern32,2,4,1.3264829985,2.4003266846,1.8237482681,4.7313888112,1.4355098048,0.1725537677
2025-04-25,rbf,1,4,1.4171429857,2.5665198360,1.9285853171,5.2048188709,1.4112737414,0.1596253426
2025-04-26,matern32,2,4,0.5882363604,1.5075733887,0.9711423664,0.9463557299,1.4296345357,0.2486278421
2025-04-26,rbf,1,4,0.5859892180,1.5002653329,0.9681120281,0.9399056660,1.4101192749,0.2460962630
2025-04-27,matern32,2,4,2.5691918210,4.1703767297,3.3542196432,12.0022956013,1.4328136471,0.0207030851
2025-04-27,rbf,1,4,2.6257056881,4.3490218949,3.4015029632,12.2940689487,1.4107919786,0.0182027960
2025-04-28,matern32,2,4,0.4007257672,1.3404731595,0.3830471143,0.2396530357,1.4400224772,0.4849791751
2025-04-28,rbf,1,4,0.3876560258,1.3152850094,0.3186855885,0.2157663652,1.4127735610,0.4564927835
2025-04-29,matern32,2,4,0.7460009358,1.6649345124,1.2422066536,1.5710109849,1.4357002892,0.8050651259
2025-04-29,rbf,1,4,0.7175170557,1.6313645739,1.1985360417,1.4514214485,1.4118624893,0.8014094349
2025-04-30,matern32,2,4,0.9941913005,1.9189155237,1.6129589175,2.6186619165,1.4383633625,0.8678985391
2025-04-30,rbf,1,4,0.9502310714,1.8700707587,1.5503413140,2.4166915782,1.4125829873,0.8630716626
2025-05-01,matern32,2,4,1.1915956942,2.1509291893,1.7727440899,3.6785031588,1.4451619405,0.1395949280
2025-05-01,rbf,1,4,1.2729626573,2.2549147188,1.8866685380,4.0376076821,1.4141819930,0.1179813978
2025-05-02,matern32,2,4,1.3628103975,2.3334959043,2.0662798926,4.4243642128,1.4478648851,0.9161695014
2025-05-02,rbf,1,4,1.2762184635,2.2486003636,1.9479583308,3.9588026496,1.4147132797,0.9071185144
2025-05-03,matern32,2,4,0.3583731170,1.3057931345,0.2625904734,0.0733202581,1.4465399514,0.5445024687
2025-05-03,rbf,1,4,0.3377852468,1.2718638589,0.1562648373,0.0256710105,1.4145033580,0.5163603123
2025-05-04,matern32,2,4,1.0485620225,1.9761139717,1.6859992451,2.8727308141,1.4488193629,0.8759791016
2025-05-04,rbf,1,4,0.9667257238,1.8898063794,1.5723068172,2.4826915487,1.4149108212,0.8661300574
2025-05-05,matern32,2,4,0.9983207077,1.9309144851,1.6102804767,2.6592641559,1.4507606194,0.8625754387
2025-05-05,rbf,1,4,0.9152324995,1.8404706623,1.4916252168,2.2752699749,1.4151955680,0.8509300704
2025-05-06,matern32,2,4,0.5586781356,1.4887387361,0.8539302954,0.8311967179,1.4506642142,0.5382525708
2025-05-06,rbf,1,4,0.5610534314,1.4836192455,0.8510685863,0.8464647600,1.4151637426,0.5185493020
2025-05-07,matern32,2,4,1.2447348128,2.1986469960,1.9302571022,3.7962689840,1.4507087325,0.0954896001
2025-05-07,rbf,1,4,1.3379445442,2.3165407721,2.0346429144,4.1994657256,1.4152108053,0.0783275815
2025-05-08,matern32,2,4,0.3890733540,1.3342077995,0.3823336346,0.1861901780,1.4510630456,0.3977891670
