sample_period,decision_rule,model,probability_column,bin_index,bin_lower,bin_upper,observations,mean_probability,empirical_frequency,absolute_calibration_gap
weather_plus_market_training,24h_prior,gp,gp_event_probability,0,0.0,0.1,367,0.017882358687369506,0.005449591280653951,0.012432767406715554
weather_plus_market_training,24h_prior,gp,gp_event_probability,1,0.1,0.2,118,0.14942683960586065,0.13559322033898305,0.013833619266877595
weather_plus_market_training,24h_prior,gp,gp_event_probability,2,0.2,0.3,111,0.23339413581853546,0.27927927927927926,0.045885143460743794
weather_plus_market_training,24h_prior,gp,gp_event_probability,3,0.3,0.4,2,0.3185764820792619,0.5,0.18142351792073808
weather_plus_market_training,24h_prior,gp,gp_event_probability,4,0.4,0.5,3,0.41454832142065273,0.6666666666666666,0.2521183452460139
weather_plus_market_training,24h_prior,gp,gp_event_probability,5,0.5,0.6,0,,,
weather_plus_market_training,24h_prior,gp,gp_event_probability,6,0.6,0.7,1,0.681801101840206,1.0,0.31819889815979396
weather_plus_market_training,24h_prior,gp,gp_event_probability,7,0.7,0.8,2,0.7578876497611314,0.5,0.25788764976113143
weather_plus_market_training,24h_prior,gp,gp_event_probability,8,0.8,0.9,1,0.8196838826034263,1.0,0.18031611739657372
weather_plus_market_training,24h_prior,gp,gp_event_probability,9,0.9,1.0,0,,,
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,0,0.0,0.1,410,0.016809756097560975,0.01951219512195122,0.0027024390243902442
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,1,0.1,0.2,55,0.1457090909090909,0.10909090909090909,0.036618181818181814
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,2,0.2,0.3,62,0.24411290322580648,0.27419354838709675,0.030080645161290276
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,3,0.3,0.4,65,0.34646153846153843,0.26153846153846155,0.08492307692307688
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,4,0.4,0.5,10,0.4215000000000001,0.4,0.021500000000000075
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,5,0.5,0.6,1,0.555,1.0,0.44499999999999995
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,6,0.6,0.7,2,0.685,1.0,0.31499999999999995
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,7,0.7,0.8,0,,,
weather_plus_market_training,24h_prior,market_raw,market_probability_raw,8,0.8,0.9,0,,,
