target_date,source_contract_id,event_label,source_event_type,lower_bound_c,upper_bound_c,event_type,observed_temperature_c,provided_outcome,contract_key,derived_outcome,realised_yes,decision_rule,forecast_daily_max_c,gp_temperature_mean_c,gp_temperature_std_c,gp_event_probability,sample_period,binary_brier,binary_log,source_contract_id_normalised,contract_key_normalised,event_label_normalised,lower_key,upper_key,market_probability_raw,market_probability_mass_raw,market_probability_normalised,gp_binary_brier,market_binary_brier_raw,market_binary_brier_normalised,gp_binary_log,market_binary_log_raw,market_binary_log_normalised
2026-03-18,,Will the highest temperature in Hong Kong be 18°C or below on March 18?,lower_tail,-inf,19.0,lower_tail,27.8,,2026-03-18|-inf|19.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,6.980884878977396e-07,weather_plus_market_training,4.873275369353525e-13,6.980887315687507e-07,,2026-03-18|-inf|19.0,will the highest temperature in hong kong be 18°c or below on march 18?,-inf,19.0,0.035,1.3,0.026923076923076925,4.873275369353525e-13,0.0012250000000000002,0.0007248520710059172,6.980887315687507e-07,0.03562717764315116,0.027292142288007512
2026-03-18,,Will the highest temperature in Hong Kong be 19°C on March 18?,interior,19.0,20.0,interior,27.8,,2026-03-18|19.0|20.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,2.1724749477447837e-05,weather_plus_market_training,4.719647398578698e-10,2.172498546326858e-05,,2026-03-18|19.0|20.0,will the highest temperature in hong kong be 19°c on march 18?,19.0,20.0,0.045,1.3,0.03461538461538461,4.7196473985787e-10,0.002025,0.0011982248520710057,2.172498546326858e-05,0.046043938501406846,0.03522869188374383
2026-03-18,,Will the highest temperature in Hong Kong be 20°C on March 18?,interior,20.0,21.0,interior,27.8,,2026-03-18|20.0|21.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,0.0004019075751604,weather_plus_market_training,1.6152969897132948e-07,0.0004019883616564,,2026-03-18|20.0|21.0,will the highest temperature in hong kong be 20°c on march 18?,20.0,21.0,0.06,1.3,0.04615384615384615,1.6152969897131257e-07,0.0036,0.002130177514792899,0.0004019883616564679,0.06187540371808753,0.0472528848505455
2026-03-18,,Will the highest temperature in Hong Kong be 21°C on March 18?,interior,21.0,22.0,interior,27.8,,2026-03-18|21.0|22.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,0.0043487508435201,weather_plus_market_training,1.891163389901685e-05,0.0043582341641889,,2026-03-18|21.0|22.0,will the highest temperature in hong kong be 21°c on march 18?,21.0,22.0,0.08,1.3,0.061538461538461535,1.8911633899016783e-05,0.0064,0.0037869822485207096,0.004358234164188959,0.08338160893905101,0.06351340572232586
2026-03-18,,Will the highest temperature in Hong Kong be 22°C on March 18?,interior,22.0,23.0,interior,27.8,,2026-03-18|22.0|23.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,0.0275800371791277,weather_plus_market_training,0.000760658450802,0.0279675073176652,,2026-03-18|22.0|23.0,will the highest temperature in hong kong be 22°c on march 18?,22.0,23.0,0.11,1.3,0.0846153846153846,0.0007606584508020662,0.0121,0.007159763313609466,0.027967507317665268,0.11653381625595151,0.08841095734405308
2026-03-18,,Will the highest temperature in Hong Kong be 23°C on March 18?,interior,23.0,24.0,interior,27.8,,2026-03-18|23.0|24.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,0.102722254822872,weather_plus_market_training,0.010551861635895,0.1083898269726292,,2026-03-18|23.0|24.0,will the highest temperature in hong kong be 23°c on march 18?,23.0,24.0,0.095,1.3,0.07307692307692308,0.010551861635895051,0.009025,0.005340236686390533,0.10838982697262907,0.0998203352822109,0.07588469752487269
2026-03-18,,Will the highest temperature in Hong Kong be 24°C on March 18?,interior,24.0,25.0,interior,27.8,,2026-03-18|24.0|25.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,0.2250406669890661,weather_plus_market_training,0.0506433017988837,0.2549447245398529,,2026-03-18|24.0|25.0,will the highest temperature in hong kong be 24°c on march 18?,24.0,25.0,0.1,1.3,0.07692307692307693,0.050643301798883746,0.010000000000000002,0.00591715976331361,0.25494472453985295,0.10536051565782628,0.08004270767353637
2026-03-18,,Will the highest temperature in Hong Kong be 25°C on March 18?,interior,25.0,26.0,interior,27.8,,2026-03-18|25.0|26.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,0.2902904693882797,weather_plus_market_training,0.0842685566176677,0.3428995044703245,,2026-03-18|25.0|26.0,will the highest temperature in hong kong be 25°c on march 18?,25.0,26.0,0.205,1.3,0.1576923076923077,0.08426855661766774,0.04202499999999999,0.024866863905325443,0.3428995044703245,0.2294131643278051,0.17160990119902692
2026-03-18,,Will the highest temperature in Hong Kong be 26°C on March 18?,interior,26.0,27.0,interior,27.8,,2026-03-18|26.0|27.0,0.0,0.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,0.2205627920916552,weather_plus_market_training,0.0486479452552667,0.2491831480479724,,2026-03-18|26.0|27.0,will the highest temperature in hong kong be 26°c on march 18?,26.0,27.0,0.22,1.3,0.1692307692307692,0.048647945255266715,0.0484,0.028639053254437864,0.24918314804797242,0.2484613592984996,0.18540322333136267
2026-03-18,,Will the highest temperature in Hong Kong be 27°C on March 18?,interior,27.0,28.0,interior,27.8,,2026-03-18|27.0|28.0,1.0,1.0,12h_prior,25.0,25.48101610980937,1.3430627846488667,0.0986722765679981,weather_plus_market_training,0.8123916650271152,2.315951257834401,,2026-03-18|27.0|28.0,will the highest temperature in hong kong be 27°c on march 18?,27.0,28.0,0.225,1.3,0.17307692307692307,0.8123916650271152,0.6006250000000001,0.683801775147929,2.3159512578344015,1.491654876777717,1.754019141245208
