target_date,decision_rule,expected_event_count,matched_event_count,complete_common_support
2026-03-16,24h_prior,11,0,False
2026-03-17,6h_prior,11,0,False
2026-03-30,24h_prior,11,0,False
2026-04-14,24h_prior,11,7,False
2026-04-16,12h_prior,11,10,False
2026-04-16,24h_prior,11,0,False
2026-04-16,6h_prior,11,10,False
2026-04-17,24h_prior,11,6,False
2026-04-18,24h_prior,11,6,False
2026-04-30,24h_prior,11,0,False
2026-05-06,24h_prior,11,0,False
2026-05-19,12h_prior,11,0,False
2026-05-19,24h_prior,11,0,False
2026-05-19,6h_prior,11,0,False
2026-05-19,event_day_open,11,0,False
2026-05-20,12h_prior,11,0,False
2026-05-20,24h_prior,11,0,False
2026-05-20,6h_prior,11,0,False
2026-05-20,event_day_open,11,0,False
2026-05-21,24h_prior,11,0,False
2026-06-06,12h_prior,11,0,False
2026-06-06,24h_prior,11,0,False
2026-06-07,12h_prior,11,0,False
2026-06-07,24h_prior,11,0,False
2026-06-08,24h_prior,11,0,False
