sample_period,decision_rule,selected_primary_decision_rule,frozen_threshold,transaction_cost_per_share,dates,trade_count,trade_frequency,winning_trades,losing_trades,win_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_date_net_pnl,standard_deviation_date_net_pnl,standard_error_date_net_pnl,mean_trade_net_pnl,median_trade_net_pnl,total_capital_committed,return_on_committed_capital,maximum_drawdown,mean_traded_value_gap,mean_entry_price,mean_gp_probability
weather_plus_market_training,12h_prior,False,0.17,0.0,60,10,0.16666666666666666,1,9,0.1,0.5980000000000001,0.0,0.5980000000000001,0.009966666666666669,0.12567046855433725,0.0162239877273677,0.059799999999999985,-0.03475,0.40199999999999997,1.4875621890547266,0.296,0.19559696820273273,0.0402,0.23579696820273272
weather_plus_market_training,12h_prior,False,0.17,0.005,60,10,0.16666666666666666,1,9,0.1,0.5980000000000001,0.049999999999999996,0.5479999999999998,0.00913333333333333,0.12534805328874013,0.016182364095560346,0.05479999999999998,-0.03975,0.452,1.2123893805309731,0.336,0.19559696820273273,0.0402,0.23579696820273272
weather_plus_market_training,12h_prior,False,0.17,0.01,60,10,0.16666666666666666,1,9,0.1,0.5980000000000001,0.09999999999999999,0.49800000000000005,0.0083,0.12505304637144854,0.016144278866304134,0.0498,-0.044750000000000005,0.502,0.9920318725099603,0.37600000000000006,0.19559696820273273,0.0402,0.23579696820273272
weather_plus_market_training,12h_prior,False,0.17,0.02,60,10,0.16666666666666666,1,9,0.1,0.5980000000000001,0.19999999999999998,0.39799999999999996,0.006633333333333333,0.12454601854119335,0.016078821854882734,0.03979999999999999,-0.05475000000000001,0.602,0.6611295681063123,0.45600000000000007,0.19559696820273273,0.0402,0.23579696820273272
out_of_sample_validation,12h_prior,False,0.17,0.0,28,1,0.03571428571428571,1,0,1.0,0.945,0.0,0.945,0.033749999999999995,0.1785882134968598,0.03374999999999999,0.945,0.945,0.055,17.18181818181818,0.0,0.1833701760173985,0.055,0.2383701760173985
out_of_sample_validation,12h_prior,False,0.17,0.005,28,1,0.03571428571428571,1,0,1.0,0.945,0.005,0.94,0.03357142857142857,0.17764330231433678,0.033571428571428565,0.94,0.94,0.06,15.666666666666666,0.0,0.1833701760173985,0.055,0.2383701760173985
out_of_sample_validation,12h_prior,False,0.17,0.01,28,1,0.03571428571428571,1,0,1.0,0.945,0.01,0.9349999999999999,0.03339285714285714,0.1766983911318138,0.033392857142857155,0.9349999999999999,0.9349999999999999,0.065,14.384615384615383,0.0,0.1833701760173985,0.055,0.2383701760173985
out_of_sample_validation,12h_prior,False,0.17,0.02,28,1,0.03571428571428571,1,0,1.0,0.945,0.02,0.9249999999999999,0.033035714285714286,0.17480856876676765,0.03303571428571429,0.9249999999999999,0.9249999999999999,0.075,12.333333333333332,0.0,0.1833701760173985,0.055,0.2383701760173985
weather_plus_market_training,24h_prior,False,0.13,0.0,55,19,0.34545454545454546,5,14,0.2631578947368421,2.8579999999999997,0.0,2.8579999999999997,0.05196363636363636,0.2637204232063978,0.03556005461090028,0.15042105263157898,-0.045,2.1420000000000003,1.3342670401493928,0.585,0.16990626882357746,0.11273684210526315,0.28264311092884065
weather_plus_market_training,24h_prior,False,0.13,0.005,55,19,0.34545454545454546,5,14,0.2631578947368421,2.8579999999999997,0.095,2.763,0.050236363636363635,0.26307374431800484,0.0354728564473778,0.14542105263157892,-0.049999999999999996,2.237,1.2351363433169422,0.5950000000000002,0.16990626882357746,0.11273684210526315,0.28264311092884065
weather_plus_market_training,24h_prior,False,0.13,0.01,55,19,0.34545454545454546,5,14,0.2631578947368421,2.8579999999999997,0.19,2.6679999999999997,0.048509090909090904,0.2624474107975605,0.03538840165270986,0.14042105263157895,-0.055,2.332,1.144082332761578,0.605,0.16990626882357746,0.11273684210526315,0.28264311092884065
weather_plus_market_training,24h_prior,False,0.13,0.02,55,19,0.34545454545454546,5,14,0.2631578947368421,2.8579999999999997,0.38,2.4779999999999998,0.04505454545454545,0.2612563604174756,0.03522780045222185,0.13042105263157897,-0.065,2.5220000000000002,0.9825535289452814,0.625,0.16990626882357746,0.11273684210526315,0.28264311092884065
out_of_sample_validation,24h_prior,False,0.13,0.0,27,10,0.37037037037037035,0,10,0.0,-0.4805,0.0,-0.4805,-0.017796296296296296,0.039723142658632415,0.007644722369006444,-0.04805,-0.03175,0.4805,-1.0,0.4805,0.16459457538970143,0.04805,0.21264457538970144
out_of_sample_validation,24h_prior,False,0.13,0.005,27,10,0.37037037037037035,0,10,0.0,-0.4805,0.049999999999999996,-0.5305,-0.019648148148148147,0.04123521059231532,0.007935719978521386,-0.05305000000000001,-0.03675,0.5305,-1.0,0.5305000000000001,0.16459457538970143,0.04805,0.21264457538970144
out_of_sample_validation,24h_prior,False,0.13,0.01,27,10,0.37037037037037035,0,10,0.0,-0.4805,0.09999999999999999,-0.5805,-0.021500000000000002,0.042835328697412654,0.008243662851425766,-0.058050000000000004,-0.04175,0.5805,-1.0,0.5805,0.16459457538970143,0.04805,0.21264457538970144
out_of_sample_validation,24h_prior,False,0.13,0.02,27,10,0.37037037037037035,0,10,0.0,-0.4805,0.19999999999999998,-0.6804999999999999,-0.0252037037037037,0.04626268209892022,0.00890325732108189,-0.06804999999999999,-0.05175,0.6804999999999999,-1.0,0.6804999999999999,0.16459457538970143,0.04805,0.21264457538970144
weather_plus_market_training,6h_prior,False,0.12,0.0,58,34,0.5862068965517241,4,30,0.11764705882352941,1.5704999999999998,0.0,1.5704999999999998,0.02707758620689655,0.23075529686806293,0.03029965489523165,0.04619117647058824,-0.0375,2.4294999999999995,0.6464293064416546,0.5910000000000002,0.18253733931598115,0.07145588235294117,0.2539932216689223
weather_plus_market_training,6h_prior,False,0.12,0.005,58,34,0.5862068965517241,4,30,0.11764705882352941,1.5704999999999998,0.16999999999999998,1.4005,0.024146551724137932,0.230521510367876,0.030268957223841344,0.041191176470588245,-0.042499999999999996,2.5995,0.5387574533564148,0.621,0.18253733931598115,0.07145588235294117,0.2539932216689223
weather_plus_market_training,6h_prior,False,0.12,0.01,58,34,0.5862068965517241,4,30,0.11764705882352941,1.5704999999999998,0.33999999999999997,1.2305,0.02121551724137931,0.23031428016892005,0.03024174656563563,0.036191176470588234,-0.0475,2.7695000000000003,0.4443040259974724,0.6509999999999998,0.18253733931598115,0.07145588235294117,0.2539932216689223
weather_plus_market_training,6h_prior,False,0.12,0.02,58,34,0.5862068965517241,4,30,0.11764705882352941,1.5704999999999998,0.6799999999999999,0.8904999999999998,0.015353448275862066,0.22997976662758002,0.030197822785778997,0.02619117647058824,-0.057499999999999996,3.1095,0.2863804470172053,0.7110000000000001,0.18253733931598115,0.07145588235294117,0.2539932216689223
out_of_sample_validation,6h_prior,False,0.12,0.0,29,8,0.27586206896551724,0,8,0.0,-0.4485,0.0,-0.4485,-0.01546551724137931,0.027444727256564088,0.005096357909084621,-0.0560625,-0.0495,0.4485,-1.0,0.4485,0.16695426979533104,0.0560625,0.22301676979533103
out_of_sample_validation,6h_prior,False,0.12,0.005,29,8,0.27586206896551724,0,8,0.0,-0.4485,0.039999999999999994,-0.48850000000000005,-0.0168448275862069,0.029569863836187014,0.005490985864910124,-0.0610625,-0.0545,0.48850000000000005,-1.0,0.4885,0.16695426979533104,0.0560625,0.22301676979533103
out_of_sample_validation,6h_prior,False,0.12,0.01,29,8,0.27586206896551724,0,8,0.0,-0.4485,0.07999999999999999,-0.5285000000000001,-0.018224137931034487,0.03171569750108447,0.005889457172984959,-0.0660625,-0.059500000000000004,0.5285000000000001,-1.0,0.5285,0.16695426979533104,0.0560625,0.22301676979533103
out_of_sample_validation,6h_prior,False,0.12,0.02,29,8,0.27586206896551724,0,8,0.0,-0.4485,0.15999999999999998,-0.6085,-0.020982758620689657,0.036054641755510854,0.006695178893642044,-0.0760625,-0.0695,0.6085,-1.0,0.6085,0.16695426979533104,0.0560625,0.22301676979533103
weather_plus_market_training,event_day_open,True,0.12,0.0,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.0,4.914999999999999,0.078015873015873,0.31078472437569055,0.039155194855991934,0.1170238095238095,-0.0345,3.085,1.5931928687196109,0.5459999999999998,0.17366351740119934,0.07345238095238094,0.24711589835358028
weather_plus_market_training,event_day_open,True,0.12,0.005,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.21000000000000002,4.704999999999999,0.07468253968253967,0.3103683984472909,0.03910274271928272,0.11202380952380953,-0.0395,3.295,1.4279210925644914,0.5929999999999997,0.17366351740119934,0.07345238095238094,0.24711589835358028
weather_plus_market_training,event_day_open,True,0.12,0.01,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.42000000000000004,4.494999999999999,0.07134920634920634,0.3099697258229895,0.039052514689833624,0.10702380952380952,-0.044500000000000005,3.5050000000000003,1.2824536376604847,0.6630000000000003,0.17366351740119934,0.07345238095238094,0.24711589835358028
weather_plus_market_training,event_day_open,True,0.12,0.02,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.8400000000000001,4.075,0.06468253968253969,0.30922561058005404,0.038958764981282215,0.09702380952380955,-0.05450000000000001,3.925,1.0382165605095541,0.8030000000000002,0.17366351740119934,0.07345238095238094,0.24711589835358028
out_of_sample_validation,event_day_open,True,0.12,0.0,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.0,0.18349999999999989,0.006116666666666663,0.17998882548327982,0.03286131327201768,0.01146875,-0.04525,0.8165,0.22473974280465386,0.6664999999999999,0.16279828546633368,0.05103125,0.21382953546633368
out_of_sample_validation,event_day_open,True,0.12,0.005,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.08000000000000002,0.10349999999999998,0.0034499999999999995,0.17992466574882834,0.03284959936073681,0.006468749999999995,-0.050249999999999996,0.8965000000000002,0.11544896820970436,0.7314999999999998,0.16279828546633368,0.05103125,0.21382953546633368
out_of_sample_validation,event_day_open,True,0.12,0.01,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.16000000000000003,0.023499999999999917,0.0007833333333333305,0.17989626720425023,0.03284441451958156,0.0014687499999999978,-0.05525,0.9765,0.024065540194572365,0.7964999999999999,0.16279828546633368,0.05103125,0.21382953546633368
out_of_sample_validation,event_day_open,True,0.12,0.02,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.32000000000000006,-0.13650000000000012,-0.004550000000000004,0.17994680008843988,0.03285364051977038,-0.008531250000000004,-0.06525,1.1365000000000003,-0.12010558732952054,0.9265,0.16279828546633368,0.05103125,0.21382953546633368
