sample_period,first_decision_rule,second_decision_rule,overlapping_dates,value_gap_correlation,trade_signal_correlation,net_pnl_correlation,same_candidate_contract_fraction,both_trade_fraction,either_trade_fraction,same_contract_when_both_trade_fraction
weather_plus_market_training,24h_prior,12h_prior,50,0.26850057329687393,0.2993330436198283,-0.05038813308241762,0.54,0.12,0.42,0.5
weather_plus_market_training,24h_prior,6h_prior,50,0.38242286931198693,0.24379200284813898,0.37753870025294545,0.54,0.28,0.7,0.7142857142857143
weather_plus_market_training,24h_prior,event_day_open,53,0.29559576439692836,0.28685640806868234,0.3566829283321557,0.4339622641509434,0.2830188679245283,0.6981132075471698,0.5333333333333333
weather_plus_market_training,12h_prior,6h_prior,57,0.2099813581423824,0.09731946351016928,-0.015953912329317758,0.5614035087719298,0.12280701754385964,0.6491228070175439,0.8571428571428571
weather_plus_market_training,12h_prior,event_day_open,57,0.1550645417051547,0.2283148255687049,0.35931518532589374,0.45614035087719296,0.15789473684210525,0.6842105263157895,0.6666666666666666
weather_plus_market_training,6h_prior,event_day_open,56,0.38308357692513634,0.30756989970745574,0.2988506972272682,0.6071428571428571,0.48214285714285715,0.8035714285714286,0.7407407407407407
out_of_sample_validation,24h_prior,12h_prior,27,0.27343280217345894,0.2557041559783795,-0.1353020660217449,0.5925925925925926,0.037037037037037035,0.37037037037037035,0.0
out_of_sample_validation,24h_prior,6h_prior,26,0.20527793204249106,0.2330736112705097,0.06486226273012484,0.38461538461538464,0.15384615384615385,0.5,0.75
out_of_sample_validation,24h_prior,event_day_open,27,0.08861091353423954,0.18192392764355275,-0.05334839730463649,0.4074074074074074,0.2222222222222222,0.6296296296296297,0.8333333333333334
out_of_sample_validation,12h_prior,6h_prior,27,0.33554748083895697,-0.12725695259515565,0.12039115124388075,0.5185185185185185,0.0,0.3333333333333333,
out_of_sample_validation,12h_prior,event_day_open,28,0.4184905001580844,0.19245008972987518,-0.16822257984382671,0.4642857142857143,0.03571428571428571,0.5,0.0
out_of_sample_validation,6h_prior,event_day_open,29,0.4186426329806931,0.44188962412495836,0.16840035927030433,0.5172413793103449,0.2413793103448276,0.5517241379310345,0.8571428571428571
all_period,24h_prior,12h_prior,77,0.257898975101674,0.2701377679001134,-0.05730709052691648,0.5584415584415584,0.09090909090909091,0.4025974025974026,0.42857142857142855
all_period,24h_prior,6h_prior,76,0.31127971187455533,0.21821789023599236,0.38269039966313084,0.4868421052631579,0.23684210526315788,0.631578947368421,0.7222222222222222
all_period,24h_prior,event_day_open,80,0.22475388139071115,0.24222267571239384,0.3725262556594232,0.425,0.2625,0.675,0.6190476190476191
all_period,12h_prior,6h_prior,84,0.2862755154475839,0.10586770098608785,-0.011909922579233912,0.5476190476190477,0.08333333333333333,0.5476190476190477,0.8571428571428571
all_period,12h_prior,event_day_open,85,0.24842143500168415,0.23521984080895803,0.23031326594971444,0.4588235294117647,0.11764705882352941,0.6235294117647059,0.6
all_period,6h_prior,event_day_open,85,0.43028004854747093,0.3793990878450623,0.2827068483302978,0.5764705882352941,0.4,0.7176470588235294,0.7647058823529411
