sample_period,strategy_id,decision_rule,threshold,calendar_dates,available_rule_dates,trade_count,total_net_pnl_calendar,mean_date_net_pnl_calendar,standard_error_calendar,is_phase11_frozen_primary,ex_post_rank_by_june_mean_pnl,diagnostic_only_not_used_for_selection
out_of_sample_validation,12h_prior|threshold=0.170,12h_prior,0.17,30,28,1,0.9349999999999999,0.031166666666666665,0.031166666666666655,False,1,True
out_of_sample_validation,12h_prior|threshold=0.180,12h_prior,0.18,30,28,1,0.9349999999999999,0.031166666666666665,0.031166666666666655,False,1,True
out_of_sample_validation,12h_prior|threshold=0.160,12h_prior,0.16,30,28,3,0.77,0.025666666666666667,0.03158980387422911,False,3,True
out_of_sample_validation,12h_prior|threshold=0.150,12h_prior,0.15,30,28,5,0.6890000000000001,0.02296666666666667,0.03172218605522963,False,4,True
out_of_sample_validation,12h_prior|threshold=0.140,12h_prior,0.14,30,28,7,0.5429999999999999,0.018099999999999998,0.03202764969253265,False,5,True
out_of_sample_validation,12h_prior|threshold=0.130,12h_prior,0.13,30,28,8,0.44299999999999995,0.014766666666666666,0.03226518829139119,False,6,True
out_of_sample_validation,12h_prior|threshold=0.120,12h_prior,0.12,30,28,9,0.353,0.011766666666666667,0.032451464495346284,False,7,True
out_of_sample_validation,12h_prior|threshold=0.110,12h_prior,0.11,30,28,10,0.258,0.0086,0.032644985181054444,False,8,True
out_of_sample_validation,event_day_open|threshold=0.140,event_day_open,0.14,30,30,13,0.1944999999999999,0.00648333333333333,0.032643700729512996,False,9,True
out_of_sample_validation,12h_prior|threshold=0.100,12h_prior,0.1,30,28,11,0.17999999999999988,0.005999999999999996,0.03277189537449401,False,10,True
out_of_sample_validation,event_day_open|threshold=0.130,event_day_open,0.13,30,30,14,0.13149999999999984,0.004383333333333328,0.032725527693762996,False,11,True
out_of_sample_validation,12h_prior|threshold=0.090,12h_prior,0.09,30,28,14,0.09749999999999988,0.003249999999999996,0.03282568686853033,False,12,True
out_of_sample_validation,event_day_open|threshold=0.120,event_day_open,0.12,30,30,16,0.023499999999999917,0.0007833333333333305,0.03284441451958156,True,13,True
out_of_sample_validation,24h_prior|threshold=0.240,24h_prior,0.24,30,27,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,24h_prior|threshold=0.250,24h_prior,0.25,30,27,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,12h_prior|threshold=0.190,12h_prior,0.19,30,28,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,12h_prior|threshold=0.200,12h_prior,0.2,30,28,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,12h_prior|threshold=0.210,12h_prior,0.21,30,28,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,12h_prior|threshold=0.220,12h_prior,0.22,30,28,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,12h_prior|threshold=0.230,12h_prior,0.23,30,28,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,12h_prior|threshold=0.240,12h_prior,0.24,30,28,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,12h_prior|threshold=0.250,12h_prior,0.25,30,28,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,6h_prior|threshold=0.200,6h_prior,0.2,30,29,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,6h_prior|threshold=0.210,6h_prior,0.21,30,29,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,6h_prior|threshold=0.220,6h_prior,0.22,30,29,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,6h_prior|threshold=0.230,6h_prior,0.23,30,29,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,6h_prior|threshold=0.240,6h_prior,0.24,30,29,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,6h_prior|threshold=0.250,6h_prior,0.25,30,29,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,event_day_open|threshold=0.210,event_day_open,0.21,30,30,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,event_day_open|threshold=0.220,event_day_open,0.22,30,30,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,event_day_open|threshold=0.230,event_day_open,0.23,30,30,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,event_day_open|threshold=0.240,event_day_open,0.24,30,30,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,event_day_open|threshold=0.250,event_day_open,0.25,30,30,0,0.0,0.0,0.0,False,14,True
out_of_sample_validation,24h_prior|threshold=0.180,24h_prior,0.18,30,27,1,-0.0235,-0.0007833333333333334,0.0007833333333333335,False,34,True
out_of_sample_validation,24h_prior|threshold=0.190,24h_prior,0.19,30,27,1,-0.0235,-0.0007833333333333334,0.0007833333333333335,False,34,True
out_of_sample_validation,24h_prior|threshold=0.200,24h_prior,0.2,30,27,1,-0.0235,-0.0007833333333333334,0.0007833333333333335,False,34,True
out_of_sample_validation,24h_prior|threshold=0.210,24h_prior,0.21,30,27,1,-0.0235,-0.0007833333333333334,0.0007833333333333335,False,34,True
out_of_sample_validation,24h_prior|threshold=0.220,24h_prior,0.22,30,27,1,-0.0235,-0.0007833333333333334,0.0007833333333333335,False,34,True
out_of_sample_validation,24h_prior|threshold=0.230,24h_prior,0.23,30,27,1,-0.0235,-0.0007833333333333334,0.0007833333333333335,False,34,True
out_of_sample_validation,event_day_open|threshold=0.200,event_day_open,0.2,30,30,1,-0.0395,-0.0013166666666666667,0.0013166666666666665,False,40,True
out_of_sample_validation,12h_prior|threshold=0.080,12h_prior,0.08,30,28,17,-0.052500000000000095,-0.001750000000000003,0.03299269119689682,False,41,True
out_of_sample_validation,6h_prior|threshold=0.180,6h_prior,0.18,30,29,2,-0.115,-0.0038333333333333336,0.002666127819121342,False,42,True
out_of_sample_validation,6h_prior|threshold=0.190,6h_prior,0.19,30,29,2,-0.115,-0.0038333333333333336,0.002666127819121342,False,42,True
out_of_sample_validation,24h_prior|threshold=0.170,24h_prior,0.17,30,27,4,-0.1195,-0.0039833333333333335,0.001905147795475554,False,44,True
out_of_sample_validation,24h_prior|threshold=0.160,24h_prior,0.16,30,27,5,-0.1335,-0.00445,0.0019285141084956225,False,45,True
