phase,section,metric,value,unit,note
phase9,certified_support,settlement_and_market_dates,103,dates,
phase9,certified_support,forecast_supported_dates,102,dates,
phase9,certified_support,forecast_supported_date_rule_rows,375,rows,
phase9,certified_support,weather_plus_market_training_dates,72,dates,
phase9,certified_support,june_out_of_sample_validation_dates,30,dates,
phase9,certified_support,unsupported_date_rule_rows,37,rows,
phase9,overall_proper_scores,mean_binary_brier,0.06664735,,
phase9,overall_proper_scores,mean_binary_log,0.21621827,,
phase9,overall_proper_scores,mean_categorical_log,1.53611577,,
phase9,overall_proper_scores,mean_multiclass_brier,0.73312081,,
phase9,overall_proper_scores,mean_continuous_crps,0.64254297,degrees Celsius,
phase9,overall_proper_scores,mean_gp_absolute_error,0.88111502,degrees Celsius,
phase9,june_out_of_sample_proper_scores,mean_binary_brier,0.06793796,,
phase9,june_out_of_sample_proper_scores,mean_binary_log,0.22272225,,
phase9,june_out_of_sample_proper_scores,mean_categorical_log,1.59453885,,
phase9,june_out_of_sample_proper_scores,mean_multiclass_brier,0.74731751,,
phase9,june_out_of_sample_proper_scores,mean_continuous_crps,0.61501747,degrees Celsius,
phase9,june_out_of_sample_proper_scores,mean_gp_absolute_error,0.80092935,degrees Celsius,
phase10,exact_common_support,phase9_gp_supported_dates,102,dates,
phase10,exact_common_support,phase9_gp_supported_date_rule_books,375,books,
phase10,exact_common_support,complete_common_support_dates,97,dates,
phase10,exact_common_support,complete_common_support_date_rule_books,350,books,
phase10,exact_common_support,complete_common_support_contract_event_rows,3850,rows,
phase10,exact_common_support,weather_plus_market_training_dates,67,dates,
phase10,exact_common_support,june_out_of_sample_validation_dates,30,dates,
phase11,primary_strategy,decision_rule,event_day_open,,
phase11,primary_strategy,frozen_value_gap_threshold,0.12,,
phase11,primary_strategy,june_dates_evaluated,30,dates,
phase11,primary_strategy,june_trades_at_reference_cost,16,trades,
phase11,primary_june_uncertainty,total_net_pnl,0.0235,,
phase11,primary_june_uncertainty,mean_date_net_pnl,,,
phase11,primary_june_uncertainty,return_on_committed_capital,0.024066,,
phase11,primary_june_uncertainty,maximum_drawdown,0.7965,,
phase11,primary_june_uncertainty,bootstrap_probability_positive,0.4705,,
phase12,post_hoc_june_ranking,june_trades,,trades,
phase12,post_hoc_june_ranking,total_net_pnl,0.0235,,
phase12,post_hoc_june_ranking,mean_date_net_pnl,0.000783,,
phase12,post_hoc_june_ranking,return_on_committed_capital,0.024066,,
phase12,post_hoc_june_ranking,maximum_drawdown,0.7965,,
phase12,post_hoc_june_ranking,post_hoc_candidate_count,104,candidates,
phase12,post_hoc_june_ranking,post_hoc_rank,13,rank,
