phase,section,metric,value,unit,note
phase9,certified_support,settlement_and_market_dates,103,dates,
phase9,certified_support,forecast_supported_dates,102,dates,
phase9,certified_support,forecast_supported_date_rule_rows,375,rows,
phase9,certified_support,weather_plus_market_training_dates,72,dates,
phase9,certified_support,june_out_of_sample_validation_dates,30,dates,
phase9,certified_support,unsupported_date_rule_rows,37,rows,
phase9,overall_proper_scores,mean_binary_brier,0.06664735,,
phase9,overall_proper_scores,mean_binary_log,0.21621827,,
phase9,overall_proper_scores,mean_categorical_log,1.53611577,,
phase9,overall_proper_scores,mean_multiclass_brier,0.73312081,,
phase9,overall_proper_scores,mean_continuous_crps,0.64254297,degrees Celsius,
phase9,overall_proper_scores,mean_gp_absolute_error,0.88111502,degrees Celsius,
phase9,june_out_of_sample_proper_scores,mean_binary_brier,0.06793796,,
phase9,june_out_of_sample_proper_scores,mean_binary_log,0.22272225,,
phase9,june_out_of_sample_proper_scores,mean_categorical_log,1.59453885,,
phase9,june_out_of_sample_proper_scores,mean_multiclass_brier,0.74731751,,
phase9,june_out_of_sample_proper_scores,mean_continuous_crps,0.61501747,degrees Celsius,
phase9,june_out_of_sample_proper_scores,mean_gp_absolute_error,0.80092935,degrees Celsius,
