target_date,source_contract_id,event_label,source_event_type,lower_bound_c,upper_bound_c,event_type,observed_temperature_c,provided_outcome,contract_key,derived_outcome,realised_yes,decision_rule,forecast_daily_max_c,gp_temperature_mean_c,gp_temperature_std_c,gp_event_probability,sample_period,binary_brier,binary_log
2026-03-16,nan,Will the highest temperature in Hong Kong be 14°C or below on March 16?,lower_tail,-inf,15.0,lower_tail,24.0,,2026-03-16|-inf|15.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,8.745046597750813e-10,weather_plus_market_training,7.647583999683308e-19,8.745046912666161e-10
2026-03-16,nan,Will the highest temperature in Hong Kong be 15°C on March 16?,interior,15.0,16.0,interior,24.0,,2026-03-16|15.0|16.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,5.667851626128791e-08,weather_plus_market_training,3.212454205581078e-15,5.6678517819942275e-08
2026-03-16,nan,Will the highest temperature in Hong Kong be 16°C on March 16?,interior,16.0,17.0,interior,24.0,,2026-03-16|16.0|17.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,2.2380310521930142e-06,weather_plus_market_training,5.008782990580171e-12,2.238033556543824e-06
2026-03-16,nan,Will the highest temperature in Hong Kong be 17°C on March 16?,interior,17.0,18.0,interior,24.0,,2026-03-16|17.0|18.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,5.3431013602183945e-05,weather_plus_market_training,2.8548732145567656e-09,5.3432441089678704e-05
2026-03-16,nan,Will the highest temperature in Hong Kong be 18°C on March 16?,interior,18.0,19.0,interior,24.0,,2026-03-16|18.0|19.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,0.0007725769783136728,weather_plus_market_training,5.968751874202852e-07,0.0007728755697071836
2026-03-16,nan,Will the highest temperature in Hong Kong be 19°C on March 16?,interior,19.0,20.0,interior,24.0,,2026-03-16|19.0|20.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,0.0067775019567123465,weather_plus_market_training,4.593453277323969e-05,0.006800573527265864
2026-03-16,nan,Will the highest temperature in Hong Kong be 20°C on March 16?,interior,20.0,21.0,interior,24.0,,2026-03-16|20.0|21.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,0.03613343268178973,weather_plus_market_training,0.00130562495736943,0.03680240959693095
2026-03-16,nan,Will the highest temperature in Hong Kong be 21°C on March 16?,interior,21.0,22.0,interior,24.0,,2026-03-16|21.0|22.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,0.11724974559828766,weather_plus_market_training,0.013747502842863177,0.12471295598142872
2026-03-16,nan,Will the highest temperature in Hong Kong be 22°C on March 16?,interior,22.0,23.0,interior,24.0,,2026-03-16|22.0|23.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,0.23184072521962595,weather_plus_market_training,0.05375012187036211,0.26375817829965303
2026-03-16,nan,Will the highest temperature in Hong Kong be 23°C on March 16?,interior,23.0,24.0,interior,24.0,,2026-03-16|23.0|24.0,0.0,0.0,24h_prior,21.6,23.378525091339007,1.391885258831647,0.2795517522848656,weather_plus_market_training,0.07814918220553888,0.3278816944150013
