sample_period,decision_rule,dates,date_rule_rows,contract_event_rows,mean_binary_brier,mean_binary_log,mean_categorical_log,mean_multiclass_brier,mean_continuous_crps_c,mean_gp_absolute_error_c,mean_gp_error_c,pit_mean,coverage_50,coverage_80,coverage_90,coverage_95
weather_plus_market_training,12h_prior,63,63,693,0.06730744708470447,0.21865390876523877,1.5613775806660954,0.7403819179317492,0.7129556248438835,1.049550171270728,-0.5316664863155594,0.6177940118038411,0.5555555555555556,0.8888888888888888,0.9523809523809523,1.0
weather_plus_market_training,24h_prior,66,66,726,0.06679212126186852,0.2172514266447431,1.5461754038974966,0.7347133338805538,0.684636053626,0.9514092127507536,-0.40715353984194375,0.5899400828020317,0.5909090909090909,0.9393939393939394,0.9545454545454546,0.9848484848484849
weather_plus_market_training,6h_prior,62,62,682,0.06643602207893765,0.21248500727324218,1.4978625189132067,0.7307962428683142,0.6476782033295133,0.9097631905883425,-0.33334527139675296,0.580460510643428,0.5806451612903226,0.9354838709677419,1.0,1.0
weather_plus_market_training,event_day_open,65,65,715,0.06369931962222662,0.20446220555227068,1.4309453600799886,0.7006925158444928,0.5770507935032079,0.7659623497393993,-0.2800689878461641,0.5696022310400987,0.676923076923077,0.9076923076923077,0.9846153846153847,1.0
weather_plus_market_training,all_rules,72,256,2816,0.06604741528890067,0.2131949383695379,1.5089581594414723,0.7265215681779074,0.6553380237836679,0.918388825707593,-0.38765239571893706,0.5893350190862305,0.6015625,0.91796875,0.97265625,0.99609375
out_of_sample_validation,12h_prior,30,30,330,0.06673005931062621,0.21604003319698134,1.5264968874576383,0.7340306524168881,0.5327703278139578,0.6712787610017501,-0.23938553473398574,0.5526673522947949,0.7333333333333333,1.0,1.0,1.0
out_of_sample_validation,24h_prior,30,30,330,0.070089997129084,0.22950524622224844,1.6549692559630125,0.770989968419924,0.6544150177118979,0.9030196013135311,-0.35140649211874153,0.5764501323246629,0.6333333333333333,0.9333333333333333,1.0,1.0
out_of_sample_validation,6h_prior,29,29,319,0.06823960784308655,0.22273108842014935,1.592869604721091,0.750635686273952,0.6376594400377388,0.833082047866111,-0.12143339147134581,0.529134074756704,0.6896551724137931,0.896551724137931,1.0,1.0
out_of_sample_validation,event_day_open,30,30,330,0.06670221310061748,0.22261293715521432,1.6037640154790993,0.7337243441067925,0.6359798225869191,0.7974087658968708,-0.11705565415455604,0.5211992065915393,0.6333333333333333,0.9,0.9333333333333333,0.9333333333333333
out_of_sample_validation,all_rules,30,119,1309,0.06793795557696924,0.22272225261695508,1.5945388512933119,0.7473175113466617,0.6150174689451905,0.8009293549116115,-0.2080420065788868,0.5449948647418013,0.6722689075630253,0.9327731092436975,0.9831932773109243,0.9831932773109243
all_period,12h_prior,93,93,1023,0.06712119296403407,0.21781072309805896,1.550125744147239,0.7383331226043746,0.6548313354793913,0.92752713570009,-0.4373823083860196,0.5967854119622132,0.6129032258064516,0.9247311827956989,0.967741935483871,1.0
all_period,24h_prior,96,96,1056,0.06782270747037336,0.2210807452627135,1.5801734826679705,0.746049782174107,0.6751919799028431,0.9362874591766216,-0.389732587428443,0.5857244732778539,0.6041666666666666,0.9375,0.96875,0.9895833333333334
all_period,6h_prior,91,91,1001,0.06701079116861147,0.21575024192445436,1.5281395023025328,0.7371187028547262,0.6444854106321346,0.8853263429076315,-0.26581291405788693,0.5641037343718348,0.6153846153846154,0.9230769230769231,1.0,1.0
all_period,event_day_open,95,95,1045,0.06464760177329741,0.2101940155321476,1.485519672311287,0.7111236195062717,0.5956599605822748,0.7758927969470218,-0.2285910929961826,0.554317065424764,0.6631578947368421,0.9052631578947369,0.968421052631579,0.9789473684210527
all_period,all_rules,102,375,4125,0.06664734674031443,0.21621827275738492,1.5361157656557891,0.7331208141434588,0.6425429677149244,0.8811150203083348,-0.3306560322318277,0.5752644101075983,0.624,0.9226666666666666,0.976,0.992
