target_date,source_contract_id,event_label,source_event_type,lower_bound_c,upper_bound_c,event_type,observed_temperature_c,provided_outcome,contract_key,derived_outcome,realised_yes,decision_rule
2026-03-16,nan,Will the highest temperature in Hong Kong be 14°C or below on March 16?,lower_tail,-inf,15.0,lower_tail,24.0,,2026-03-16|-inf|15.0,0.0,0.0,12h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 14°C or below on March 16?,lower_tail,-inf,15.0,lower_tail,24.0,,2026-03-16|-inf|15.0,0.0,0.0,6h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 14°C or below on March 16?,lower_tail,-inf,15.0,lower_tail,24.0,,2026-03-16|-inf|15.0,0.0,0.0,event_day_open
2026-03-16,nan,Will the highest temperature in Hong Kong be 15°C on March 16?,interior,15.0,16.0,interior,24.0,,2026-03-16|15.0|16.0,0.0,0.0,12h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 15°C on March 16?,interior,15.0,16.0,interior,24.0,,2026-03-16|15.0|16.0,0.0,0.0,6h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 15°C on March 16?,interior,15.0,16.0,interior,24.0,,2026-03-16|15.0|16.0,0.0,0.0,event_day_open
2026-03-16,nan,Will the highest temperature in Hong Kong be 16°C on March 16?,interior,16.0,17.0,interior,24.0,,2026-03-16|16.0|17.0,0.0,0.0,12h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 16°C on March 16?,interior,16.0,17.0,interior,24.0,,2026-03-16|16.0|17.0,0.0,0.0,6h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 16°C on March 16?,interior,16.0,17.0,interior,24.0,,2026-03-16|16.0|17.0,0.0,0.0,event_day_open
2026-03-16,nan,Will the highest temperature in Hong Kong be 17°C on March 16?,interior,17.0,18.0,interior,24.0,,2026-03-16|17.0|18.0,0.0,0.0,12h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 17°C on March 16?,interior,17.0,18.0,interior,24.0,,2026-03-16|17.0|18.0,0.0,0.0,6h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 17°C on March 16?,interior,17.0,18.0,interior,24.0,,2026-03-16|17.0|18.0,0.0,0.0,event_day_open
2026-03-16,nan,Will the highest temperature in Hong Kong be 18°C on March 16?,interior,18.0,19.0,interior,24.0,,2026-03-16|18.0|19.0,0.0,0.0,12h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 18°C on March 16?,interior,18.0,19.0,interior,24.0,,2026-03-16|18.0|19.0,0.0,0.0,6h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 18°C on March 16?,interior,18.0,19.0,interior,24.0,,2026-03-16|18.0|19.0,0.0,0.0,event_day_open
2026-03-16,nan,Will the highest temperature in Hong Kong be 19°C on March 16?,interior,19.0,20.0,interior,24.0,,2026-03-16|19.0|20.0,0.0,0.0,12h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 19°C on March 16?,interior,19.0,20.0,interior,24.0,,2026-03-16|19.0|20.0,0.0,0.0,6h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 19°C on March 16?,interior,19.0,20.0,interior,24.0,,2026-03-16|19.0|20.0,0.0,0.0,event_day_open
2026-03-16,nan,Will the highest temperature in Hong Kong be 20°C on March 16?,interior,20.0,21.0,interior,24.0,,2026-03-16|20.0|21.0,0.0,0.0,12h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 20°C on March 16?,interior,20.0,21.0,interior,24.0,,2026-03-16|20.0|21.0,0.0,0.0,6h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 20°C on March 16?,interior,20.0,21.0,interior,24.0,,2026-03-16|20.0|21.0,0.0,0.0,event_day_open
2026-03-16,nan,Will the highest temperature in Hong Kong be 21°C on March 16?,interior,21.0,22.0,interior,24.0,,2026-03-16|21.0|22.0,0.0,0.0,12h_prior
2026-03-16,nan,Will the highest temperature in Hong Kong be 21°C on March 16?,interior,21.0,22.0,interior,24.0,,2026-03-16|21.0|22.0,0.0,0.0,6h_prior
