metric,expected,observed,tolerance,status,method,source,line,evidence
phase7_rbf_mean_date_crps_c,0.877561,0.877561468439,5e-06,PASSED,derived_from_validation_panel,outputs/v2/diagnostics/07_gp_validation_predictions.csv,,"derived mean-date CRPS from 1460 rows, 365 dates, model column kernel, CRPS column crps_c"
phase7_matern32_mean_date_crps_c,0.86334,0.863339998959,5e-06,PASSED,derived_from_validation_panel,outputs/v2/diagnostics/07_gp_validation_predictions.csv,,"derived mean-date CRPS from 1460 rows, 365 dates, model column kernel, CRPS column crps_c"
phase9_binary_brier,0.06664735,0.06664735,5e-08,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_key_metrics_long.csv,8,"phase9,overall_proper_scores,mean_binary_brier,0.06664735,,"
phase9_binary_log,0.21621827,0.21621827,5e-08,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_key_metrics_long.csv,9,"phase9,overall_proper_scores,mean_binary_log,0.21621827,,"
phase9_categorical_log,1.53611577,1.53611577,5e-08,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_key_metrics_long.csv,10,"phase9,overall_proper_scores,mean_categorical_log,1.53611577,,"
phase9_multiclass_brier,0.73312081,0.73312081,5e-08,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_key_metrics_long.csv,11,"phase9,overall_proper_scores,mean_multiclass_brier,0.73312081,,"
phase9_continuous_crps_c,0.64254297,0.64254297,5e-08,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_key_metrics_long.csv,12,"phase9,overall_proper_scores,mean_continuous_crps,0.64254297,degrees Celsius,"
phase9_absolute_error_c,0.88111502,0.88111502,5e-08,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_key_metrics_long.csv,13,"phase9,overall_proper_scores,mean_gp_absolute_error,0.88111502,degrees Celsius,"
phase10_june_binary_brier_difference,0.009324,0.009324,5e-06,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_report.md,53,"| Mean binary Brier | 0.068198 | 0.058874 | 0.009324 | [0.003825, 0.014640] | 30 |"
phase10_june_binary_log_difference,0.038628,0.038628,5e-06,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_report.md,54,"| Mean binary log | 0.225029 | 0.186401 | 0.038628 | [0.022004, 0.054204] | 30 |"
phase10_june_categorical_log_difference,0.357342,0.357342,5e-06,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_report.md,55,"| Categorical log | 1.618265 | 1.260923 | 0.357342 | [0.214437, 0.492830] | 30 |"
phase10_june_multiclass_brier_difference,0.10171,0.10171,5e-06,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_report.md,56,"| Multiclass Brier | 0.750180 | 0.648471 | 0.101710 | [0.043014, 0.158161] | 30 |"
phase11_selected_threshold,0.12,0.12,0.0005,PASSED,matched_certified_text_evidence,data/processed/17l_all_formally_certified_rows_for_manual_inspection.csv,91,"Any revisions to temperatures recorded after data is initially published for this market's timeframe will not be considered for this market's resolution."",,916.0061999999996,7679.36594,False,True,2026-07-10T12:00:00Z,2026-07-08T04:30:31.941246Z,True,True,True,True,True,True,False,False,True,True,formally_certified_by_contract_rule_text,""public rule text identifies HKO/Hong Kong Observatory, Absolute Daily Max/Daily Extract, one-decimal convention, and child label is an explicit upper-tail K°C-or"
phase11_june_trades,16,16,1e-09,PASSED,matched_certified_text_evidence,data/processed/17l_all_formally_certified_rows_for_manual_inspection.csv,10,"Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution."",,60191.08681600005,,True,True,2026-04-24T12:00:00Z,2026-04-22T04:04:42.894676Z,True,True,True,True,True,True,False,False,True,True,formally_certified_by_contract_rule_text,""public rule text identifies HKO/Hong Kong Observatory, Absolute Daily Max/Daily Extract, one-decimal convention, and child label is an explicit upper-tail K°C-or-higher outcome"",hong"
phase11_june_net_pnl_cost_0_01,0.0235,0.0235,5e-06,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_key_metrics_long.csv,31,"phase11,primary_june_uncertainty,total_net_pnl,0.0235,,"
phase12_probability_positive_total_pnl,0.4705,0.4705,5e-05,PASSED,matched_certified_text_evidence,outputs/v2/diagnostics/phase11_frozen_value_gap_trading/phase11_manifest.json,48,"""bootstrap_probability_total_positive"": 0.4705"
phase12_summary_file_present,non-empty Phase 12 summary,3,,PASSED,tracked_file_inventory,outputs/v2/diagnostics/phase12_robustness_attribution/phase12_june_trade_concentration_summary.csv|outputs/v2/diagnostics/phase12_robustness_attribution/phase12_leave_one_date_out_selection_summary.csv|outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_phase12_summary.csv,,Phase 12 summary file inventory
phase13_report_status,PASSED,PASSED,,PASSED,tracked_report_status,outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_report.md,,Phase 13 report contains PASSED
