model,fold_id,fold_number,observations,dates,decision_rules,mean_crps_c,median_crps_c,mean_absolute_temperature_error_c
matern32,fold_01,1,364,91,4,0.9624694816780478,0.7097516855171597,1.36298397534478
matern32,fold_02,2,364,91,4,0.8840643730510727,0.6830586915292196,1.280000830504945
matern32,fold_03,3,364,91,4,0.8524678279638267,0.606841856077192,1.212899038188187
matern32,fold_04,4,368,92,4,0.755542896680799,0.558177164444351,1.0682740410192935
raw_point,fold_01,1,364,91,4,1.9203296703296704,1.8999999999999986,1.9203296703296704
raw_point,fold_02,2,364,91,4,2.460989010989011,2.5,2.460989010989011
raw_point,fold_03,3,364,91,4,1.4978021978021976,1.3000000000000007,1.4978021978021976
raw_point,fold_04,4,368,92,4,1.1105978260869567,0.8000000000000007,1.1105978260869567
rbf,fold_01,1,364,91,4,0.9554844276546655,0.6795030422605053,1.344827781479121
rbf,fold_02,2,364,91,4,0.89917732673526,0.6881235181569028,1.3013372189346153
rbf,fold_03,3,364,91,4,0.8464228363785237,0.6143083626696328,1.2048326469076922
rbf,fold_04,4,368,92,4,0.8099047632689578,0.6064868839647487,1.1652549681809783
static_gaussian,fold_01,1,364,91,4,0.927669407972058,0.6800634103342612,1.3025748908625618
static_gaussian,fold_02,2,364,91,4,0.9453057737004181,0.7454573792739263,1.3689927944862152
static_gaussian,fold_03,3,364,91,4,0.8939333046027987,0.7255731496688268,1.2872375796050384
static_gaussian,fold_04,4,368,92,4,0.8804536795226945,0.667176823542176,1.2795394916178278
