model,first_rule,second_rule,dates,pearson_correlation,pearson_nominal_iid_p_value,spearman_correlation,spearman_nominal_iid_p_value,p_value_interpretation
rbf,24h_prior,12h_prior,365,0.8910828227348448,1.3409691277662222e-126,0.8910138672615749,1.4943965780977017e-126,nominal i.i.d. reference only
rbf,24h_prior,6h_prior,365,0.8827711086488692,3.8110481776022698e-121,0.8822811323937957,7.754255669768693e-121,nominal i.i.d. reference only
rbf,24h_prior,event_day_open,365,0.8351818241950947,2.776993751694015e-96,0.8354284686992357,2.1676765389450822e-96,nominal i.i.d. reference only
rbf,12h_prior,6h_prior,365,0.9835467748138578,7.315104772191236e-272,0.9813998711820406,2.8014514093809306e-262,nominal i.i.d. reference only
rbf,12h_prior,event_day_open,365,0.8773487831598799,8.327491911227147e-118,0.8778378818576439,4.2252152435438605e-118,nominal i.i.d. reference only
rbf,6h_prior,event_day_open,365,0.8915986248989853,5.949605027401998e-127,0.8923106536400947,1.9246284605916127e-127,nominal i.i.d. reference only
matern32,24h_prior,12h_prior,365,0.8918751674069364,3.841771008647349e-127,0.8914498930218672,7.523828025385923e-127,nominal i.i.d. reference only
matern32,24h_prior,6h_prior,365,0.8840577973170636,5.811885247543044e-122,0.8833713782287778,1.589356911325129e-121,nominal i.i.d. reference only
matern32,24h_prior,event_day_open,365,0.8331890497547417,2.0243946430224158e-95,0.8300451849969029,4.4095556491212805e-94,nominal i.i.d. reference only
matern32,12h_prior,6h_prior,365,0.9835280254229362,8.979610923044865e-272,0.9817026674201614,1.4639694655392036e-263,nominal i.i.d. reference only
matern32,12h_prior,event_day_open,365,0.8756590828592254,8.489422548786078e-117,0.875220557569536,1.5423105445738428e-116,nominal i.i.d. reference only
matern32,6h_prior,event_day_open,365,0.8907275713180138,2.3413284473202146e-126,0.889791300098958,1.007817856778637e-125,nominal i.i.d. reference only
