model,scope,scope_value,dates,block_bootstrap_length_days,block_bootstrap_replications,standardised_residual_lag1,standardised_residual_lag1_block_bootstrap_lower_95,standardised_residual_lag1_block_bootstrap_upper_95,standardised_residual_ljung_box_q7,standardised_residual_ljung_box_q7_nominal_iid_p_value,standardised_residual_ljung_box_q14,standardised_residual_ljung_box_q14_nominal_iid_p_value,absolute_standardised_residual_lag1,absolute_standardised_residual_lag1_block_bootstrap_lower_95,absolute_standardised_residual_lag1_block_bootstrap_upper_95,absolute_standardised_residual_ljung_box_q7,absolute_standardised_residual_ljung_box_q7_nominal_iid_p_value,absolute_standardised_residual_ljung_box_q14,absolute_standardised_residual_ljung_box_q14_nominal_iid_p_value,squared_standardised_residual_lag1,squared_standardised_residual_lag1_block_bootstrap_lower_95,squared_standardised_residual_lag1_block_bootstrap_upper_95,squared_standardised_residual_ljung_box_q7,squared_standardised_residual_ljung_box_q7_nominal_iid_p_value,squared_standardised_residual_ljung_box_q14,squared_standardised_residual_ljung_box_q14_nominal_iid_p_value
rbf,overall,all,365,7,5000,0.5147633925977166,0.3271137113798323,0.5236459011279555,264.4558487317578,2.312597380620384e-53,356.56036531210196,1.7296863683714933e-67,0.21561616547889292,0.057636746157368926,0.2941303053067036,33.50795115280396,2.128757812445388e-05,42.702924696029775,9.556178347152831e-05,0.21410686383635452,0.06124195851732827,0.29056660489018477,29.552743254342783,0.0001146755228276446,39.44656968385738,0.0003110522980168955
rbf,decision_rule,24h_prior,365,7,5000,0.4970800735217117,0.3048473673617881,0.5065909199829339,263.5384462381576,3.6271636375785033e-53,358.02617853820476,8.517245695424579e-68,0.225671134856338,0.04384566795800272,0.32271335530268735,30.892248446840856,6.508413321564753e-05,41.61250861859898,0.0001423952638543498,0.30683442642819236,0.08014485565215229,0.38330053688520904,53.045029543131605,3.6320236906835073e-09,61.8787189150253,5.479679170914405e-08
rbf,decision_rule,12h_prior,365,7,5000,0.4792669616867272,0.2938840240525929,0.4950870322445949,221.2051420433907,3.6609060184482837e-44,301.9940668444653,4.537187323896352e-56,0.19011595620293015,0.041745455695575744,0.27188409894383064,26.05699347768261,0.000491993502327865,32.98923904877582,0.002891316089090652,0.18656633062537664,0.03919637346966364,0.27982904969124306,21.64138536217435,0.002928250195610437,33.69382346139191,0.0022857612713734652
rbf,decision_rule,6h_prior,365,7,5000,0.4839348301522818,0.2984403821484983,0.4977017142307805,226.51123629445937,2.7345775928068702e-45,298.33676020206354,2.6268069392630087e-55,0.20155743138889534,0.05623523539298538,0.28613264750574685,28.08880732267931,0.0002118915011495666,35.91031299414728,0.001076195155931132,0.17842180454028833,0.03427165035492253,0.2689546110366259,21.39472529577956,0.0032278179650478047,33.68521526889869,0.002292364439380433
rbf,decision_rule,event_day_open,365,7,5000,0.4754361801946552,0.29447230538867464,0.49574484739115954,221.4627589682234,3.2277510193970315e-44,295.8733117343653,8.56845920408996e-55,0.18417599865704767,0.0427814545319142,0.25759194247578543,20.484358215967045,0.004613213967959438,27.411708820448588,0.017012008604368554,0.16387571237826465,0.023475249625417006,0.24785931028427244,16.00843714346826,0.025039389475673378,21.466211187059823,0.09026815110741124
matern32,overall,all,365,7,5000,0.5064494077518977,0.31934077515604514,0.5149319722480965,238.47883553720723,7.826656368150992e-48,312.9277653355258,2.3692973851247853e-58,0.24024107637989314,0.07969150817535343,0.3171684662171065,40.8237622152738,8.751709432682484e-07,50.507415874719335,5.0197691423457e-06,0.22975867264770208,0.06949000723066857,0.30758461411899873,34.1412381994987,1.6207336405270298e-05,43.6935378001594,6.631781288324457e-05
matern32,decision_rule,24h_prior,365,7,5000,0.4871441440637662,0.2956440856985196,0.5012092952248278,246.22455846618215,1.7620983549386007e-49,329.34768845426146,8.739578938368465e-62,0.24208062424927318,0.054589375596683816,0.33840547035251095,37.114272089447105,4.462560164788615e-06,47.33004889757629,1.696058273616932e-05,0.3179978552534519,0.08660969428243841,0.3896523280204904,57.726471691512764,4.285919499013963e-10,65.9089285952935,1.052457859943956e-08
matern32,decision_rule,12h_prior,365,7,5000,0.4754761694678896,0.2930941330035847,0.4918724018197538,203.11539714877674,2.5117362587417587e-40,271.7854014361389,8.787263009625237e-50,0.20328094545162334,0.0553981814962411,0.28041612683879347,29.95327606325627,9.685197305360023e-05,37.298967825596684,0.0006646203587072111,0.20121703132285856,0.04340019753890393,0.28787160199103135,25.003853501387887,0.0007576076176323543,36.61606425042075,0.0008431603320803762
matern32,decision_rule,6h_prior,365,7,5000,0.48150327398718157,0.29835829646344,0.5008992228051395,209.48105266046792,1.1242629407453148e-41,270.0501611710055,2.014155712423088e-49,0.2136064449853149,0.06513765320821606,0.29599512970963593,32.00800196306229,4.047740753899115e-05,40.148327275149214,0.00024188156105478498,0.19268536975329445,0.044223041248067876,0.2836682433520957,25.14167159325327,0.000716140580786714,36.736725618636655,0.0008085507548085154
matern32,decision_rule,event_day_open,365,7,5000,0.4613486241734763,0.28140267182062345,0.4822485049774509,185.2531616664769,1.51287128486307e-36,235.20492677146686,3.2628899300625114e-42,0.21397905528988315,0.07023853265956545,0.27716629135556675,29.133035033840866,0.00013682355274773466,36.93977197269546,0.0007533933289119105,0.18660542906570204,0.04380813352459885,0.2757546193790986,24.575733878213825,0.0009020004719048361,29.65111126326358,0.008521757087690589
