model,scope,scope_value,stratification_variable,quartile,rows,dates,variable_minimum,variable_maximum,variable_mean,mean_squared_standardised_residual,mean_absolute_standardised_residual,central_90_empirical_coverage,mean_crps_c
rbf,overall,all,predictive_standard_deviation_c,Q1,365,203,1.2123394718,1.3956739117,1.3404955967758905,1.130426772670956,0.8311538791566018,0.8794520547945206,0.7943291357802741
rbf,overall,all,predictive_standard_deviation_c,Q2,365,277,1.3956777771,1.4442734118,1.4135913187172604,1.0882198585578093,0.838981751208405,0.8931506849315068,0.8337859963520547
rbf,overall,all,predictive_standard_deviation_c,Q3,365,230,1.4442819612,1.4978375868,1.4626151134753425,1.294121406240609,0.9434331037185719,0.8438356164383561,0.9566478709690411
rbf,overall,all,predictive_standard_deviation_c,Q4,365,253,1.4981692105,1.5632055454,1.5302485175756164,1.1187690838588038,0.875379176467541,0.8602739726027397,0.9254828706539725
rbf,overall,all,temperature_predictive_mean_c,Q1,365,96,14.7541456707,23.9098720292,21.249675425951782,1.0725489530366439,0.8078803058705232,0.9013698630136986,0.82908233400137
rbf,overall,all,temperature_predictive_mean_c,Q2,365,107,23.9112911366,28.0469298246,26.231280805260823,1.3936141952200052,0.9747710193856375,0.8328767123287671,0.9782457757378081
rbf,overall,all,temperature_predictive_mean_c,Q3,365,121,28.0502238784,31.0997614861,29.74319212715452,1.0904078935245345,0.8627704706842457,0.8821917808219178,0.8586200397786302
rbf,overall,all,temperature_predictive_mean_c,Q4,365,106,31.1021917808,35.2562976303,32.53255693501644,1.0749660795469944,0.8435261146107133,0.8602739726027397,0.8442977242375344
rbf,overall,all,forecast_daily_max_c,Q1,365,97,13.5,22.5,19.76904109589041,1.1349425413098182,0.8296604256854666,0.8931506849315068,0.8515779685257534
rbf,overall,all,forecast_daily_max_c,Q2,365,111,22.5,26.6,24.811232876712328,1.3174691362874567,0.945694952404537,0.8410958904109589,0.9501958640920548
rbf,overall,all,forecast_daily_max_c,Q3,365,115,26.6,29.3,28.175068493150683,1.0824332940367423,0.8602127857585796,0.8849315068493151,0.8501621807227397
rbf,overall,all,forecast_daily_max_c,Q4,365,105,29.3,33.8,30.74958904109589,1.096692149694161,0.8533797467025362,0.8575342465753425,0.8583098604147944
rbf,decision_rule,24h_prior,predictive_standard_deviation_c,Q1,92,92,1.3569995968,1.4564313331,1.4406343382097828,1.3934416942249575,0.9233475241841645,0.8586956521739131,0.9485244446402173
rbf,decision_rule,24h_prior,predictive_standard_deviation_c,Q2,91,91,1.4564313331,1.5129446535,1.5016335181230769,1.0349882373356534,0.8712728968928783,0.9010989010989011,0.883371217245055
rbf,decision_rule,24h_prior,predictive_standard_deviation_c,Q3,91,91,1.5129446535,1.5510966056,1.5393122807021977,1.3391915252087163,0.9499775196048555,0.7912087912087912,1.030709378512088
rbf,decision_rule,24h_prior,predictive_standard_deviation_c,Q4,91,91,1.5510966056,1.5632055454,1.560713472046154,0.9671014168037456,0.8108139475127454,0.9010989010989011,0.8741442528813188
rbf,decision_rule,24h_prior,temperature_predictive_mean_c,Q1,92,92,16.5207898191,23.9098720292,21.319637165366306,1.2251663316540593,0.8450769410496967,0.8913043478260869,0.9236543079228261
rbf,decision_rule,24h_prior,temperature_predictive_mean_c,Q2,91,91,23.9863289957,28.1016141907,26.228957235904396,1.2951980842853972,0.9496658076922683,0.8351648351648352,0.9954216800230768
rbf,decision_rule,24h_prior,temperature_predictive_mean_c,Q3,91,91,28.1021915691,30.9469298246,29.705218382454945,1.122778561234893,0.870994116230604,0.8681318681318682,0.9096268912461539
rbf,decision_rule,24h_prior,temperature_predictive_mean_c,Q4,91,91,30.9667417434,35.2469298275,32.235424811230764,1.0934290762071948,0.890535139520256,0.8571428571428571,0.9083197122923077
rbf,decision_rule,24h_prior,forecast_daily_max_c,Q1,92,92,15.1,22.5,19.81304347826087,1.2447073583198576,0.8611176159990308,0.8913043478260869,0.93536304775
rbf,decision_rule,24h_prior,forecast_daily_max_c,Q2,91,91,22.6,26.6,24.76813186813187,1.2633401440761598,0.9249762576342342,0.8351648351648352,0.9775273971736265
rbf,decision_rule,24h_prior,forecast_daily_max_c,Q3,91,91,26.6,29.4,28.2021978021978,1.1266720572422233,0.8777575346064321,0.8681318681318682,0.9115647697835165
rbf,decision_rule,24h_prior,forecast_daily_max_c,Q4,91,91,29.5,33.8,30.636263736263736,1.1016377571865361,0.8922443250998384,0.8571428571428571,0.9124387093065934
rbf,decision_rule,12h_prior,predictive_standard_deviation_c,Q1,92,92,1.2409627423,1.4088443683,1.348778854551087,1.277406473058662,0.8716625392095096,0.8695652173913043,0.8474831272695652
rbf,decision_rule,12h_prior,predictive_standard_deviation_c,Q2,91,91,1.4091860789,1.452596478,1.4243539330615382,1.0449261995378094,0.7907485838809669,0.9010989010989011,0.8086503392758242
rbf,decision_rule,12h_prior,predictive_standard_deviation_c,Q3,91,91,1.4527337053,1.480449584,1.4641366751483516,1.4649250065252302,1.0219131430813562,0.7692307692307693,1.0416507091164835
rbf,decision_rule,12h_prior,predictive_standard_deviation_c,Q4,91,91,1.4804549286,1.5148610596,1.5014820317747253,0.9787546874524963,0.832575079675497,0.9120879120879121,0.8486749711340659
rbf,decision_rule,12h_prior,temperature_predictive_mean_c,Q1,92,92,16.4327040742,23.7991126014,21.32087438472826,1.06405031071784,0.8277737424782289,0.9021739130434783,0.8341971261489131
rbf,decision_rule,12h_prior,temperature_predictive_mean_c,Q2,91,91,23.9333495514,28.1219582569,26.319569309086813,1.5169485642916236,0.9887716484973372,0.8131868131868132,1.0091848237065935
rbf,decision_rule,12h_prior,temperature_predictive_mean_c,Q3,91,91,28.1484549515,31.1464529975,29.81973163601978,1.0933843109131316,0.8534315311213382,0.8901098901098901,0.8509965066461539
rbf,decision_rule,12h_prior,temperature_predictive_mean_c,Q4,91,91,31.2438526075,35.1211666898,32.5768723821945,1.093973753864139,0.8474047182199999,0.8461538461538461,0.8522266903065934
rbf,decision_rule,12h_prior,forecast_daily_max_c,Q1,92,92,15.0,22.6,19.827173913043477,1.1672462151345022,0.8581441048160073,0.8804347826086957,0.8679132532880436
rbf,decision_rule,12h_prior,forecast_daily_max_c,Q2,91,91,22.6,26.7,24.89120879120879,1.4096769820341022,0.9568027798651286,0.8351648351648352,0.974360391443956
rbf,decision_rule,12h_prior,forecast_daily_max_c,Q3,91,91,26.8,29.3,28.20659340659341,1.0734443695280511,0.8487020271250484,0.8901098901098901,0.8407685000934065
