model,scope,scope_value,bin_number,lower_bound,upper_bound,count,proportion,uniform_reference_proportion,proportion_error
rbf,overall,all,1,0.0,0.1,188,0.12876712328767123,0.1,0.028767123287671226
rbf,overall,all,2,0.1,0.2,169,0.11575342465753424,0.1,0.015753424657534237
rbf,overall,all,3,0.2,0.30000000000000004,147,0.10068493150684932,0.1,0.0006849315068493123
rbf,overall,all,4,0.30000000000000004,0.4,148,0.10136986301369863,0.1,0.0013698630136986245
rbf,overall,all,5,0.4,0.5,119,0.08150684931506849,0.1,-0.018493150684931514
rbf,overall,all,6,0.5,0.6000000000000001,125,0.08561643835616438,0.1,-0.014383561643835627
rbf,overall,all,7,0.6000000000000001,0.7000000000000001,123,0.08424657534246575,0.1,-0.01575342465753425
rbf,overall,all,8,0.7000000000000001,0.8,137,0.09383561643835617,0.1,-0.006164383561643838
rbf,overall,all,9,0.8,0.9,153,0.1047945205479452,0.1,0.0047945205479452
rbf,overall,all,10,0.9,1.0,151,0.10342465753424658,0.1,0.003424657534246575
rbf,decision_rule,24h_prior,1,0.0,0.1,45,0.1232876712328767,0.1,0.0232876712328767
rbf,decision_rule,24h_prior,2,0.1,0.2,46,0.12602739726027398,0.1,0.026027397260273977
rbf,decision_rule,24h_prior,3,0.2,0.30000000000000004,27,0.07397260273972603,0.1,-0.026027397260273977
rbf,decision_rule,24h_prior,4,0.30000000000000004,0.4,40,0.1095890410958904,0.1,0.0095890410958904
rbf,decision_rule,24h_prior,5,0.4,0.5,29,0.07945205479452055,0.1,-0.02054794520547945
rbf,decision_rule,24h_prior,6,0.5,0.6000000000000001,27,0.07397260273972603,0.1,-0.026027397260273977
rbf,decision_rule,24h_prior,7,0.6000000000000001,0.7000000000000001,29,0.07945205479452055,0.1,-0.02054794520547945
rbf,decision_rule,24h_prior,8,0.7000000000000001,0.8,37,0.10136986301369863,0.1,0.0013698630136986245
rbf,decision_rule,24h_prior,9,0.8,0.9,44,0.12054794520547946,0.1,0.02054794520547945
rbf,decision_rule,24h_prior,10,0.9,1.0,41,0.11232876712328767,0.1,0.012328767123287662
rbf,decision_rule,12h_prior,1,0.0,0.1,50,0.136986301369863,0.1,0.036986301369863
rbf,decision_rule,12h_prior,2,0.1,0.2,42,0.11506849315068493,0.1,0.015068493150684925
rbf,decision_rule,12h_prior,3,0.2,0.30000000000000004,39,0.10684931506849316,0.1,0.00684931506849315
rbf,decision_rule,12h_prior,4,0.30000000000000004,0.4,36,0.09863013698630137,0.1,-0.0013698630136986384
rbf,decision_rule,12h_prior,5,0.4,0.5,29,0.07945205479452055,0.1,-0.02054794520547945
rbf,decision_rule,12h_prior,6,0.5,0.6000000000000001,34,0.09315068493150686,0.1,-0.00684931506849315
rbf,decision_rule,12h_prior,7,0.6000000000000001,0.7000000000000001,30,0.0821917808219178,0.1,-0.017808219178082202
rbf,decision_rule,12h_prior,8,0.7000000000000001,0.8,31,0.08493150684931507,0.1,-0.015068493150684939
rbf,decision_rule,12h_prior,9,0.8,0.9,39,0.10684931506849316,0.1,0.00684931506849315
rbf,decision_rule,12h_prior,10,0.9,1.0,35,0.0958904109589041,0.1,-0.004109589041095901
rbf,decision_rule,6h_prior,1,0.0,0.1,48,0.13150684931506848,0.1,0.031506849315068475
rbf,decision_rule,6h_prior,2,0.1,0.2,42,0.11506849315068493,0.1,0.015068493150684925
rbf,decision_rule,6h_prior,3,0.2,0.30000000000000004,38,0.10410958904109589,0.1,0.004109589041095887
rbf,decision_rule,6h_prior,4,0.30000000000000004,0.4,37,0.10136986301369863,0.1,0.0013698630136986245
rbf,decision_rule,6h_prior,5,0.4,0.5,27,0.07397260273972603,0.1,-0.026027397260273977
rbf,decision_rule,6h_prior,6,0.5,0.6000000000000001,33,0.09041095890410959,0.1,-0.009589041095890413
rbf,decision_rule,6h_prior,7,0.6000000000000001,0.7000000000000001,33,0.09041095890410959,0.1,-0.009589041095890413
rbf,decision_rule,6h_prior,8,0.7000000000000001,0.8,34,0.09315068493150686,0.1,-0.00684931506849315
rbf,decision_rule,6h_prior,9,0.8,0.9,38,0.10410958904109589,0.1,0.004109589041095887
rbf,decision_rule,6h_prior,10,0.9,1.0,35,0.0958904109589041,0.1,-0.004109589041095901
rbf,decision_rule,event_day_open,1,0.0,0.1,45,0.1232876712328767,0.1,0.0232876712328767
rbf,decision_rule,event_day_open,2,0.1,0.2,39,0.10684931506849316,0.1,0.00684931506849315
rbf,decision_rule,event_day_open,3,0.2,0.30000000000000004,43,0.1178082191780822,0.1,0.017808219178082188
rbf,decision_rule,event_day_open,4,0.30000000000000004,0.4,35,0.0958904109589041,0.1,-0.004109589041095901
rbf,decision_rule,event_day_open,5,0.4,0.5,34,0.09315068493150686,0.1,-0.00684931506849315
rbf,decision_rule,event_day_open,6,0.5,0.6000000000000001,31,0.08493150684931507,0.1,-0.015068493150684939
rbf,decision_rule,event_day_open,7,0.6000000000000001,0.7000000000000001,31,0.08493150684931507,0.1,-0.015068493150684939
rbf,decision_rule,event_day_open,8,0.7000000000000001,0.8,35,0.0958904109589041,0.1,-0.004109589041095901
rbf,decision_rule,event_day_open,9,0.8,0.9,32,0.08767123287671233,0.1,-0.012328767123287676
rbf,decision_rule,event_day_open,10,0.9,1.0,40,0.1095890410958904,0.1,0.0095890410958904
rbf,validation_block,fold_01,1,0.0,0.1,50,0.13736263736263737,0.1,0.03736263736263737
rbf,validation_block,fold_01,2,0.1,0.2,28,0.07692307692307693,0.1,-0.023076923076923078
rbf,validation_block,fold_01,3,0.2,0.30000000000000004,20,0.054945054945054944,0.1,-0.04505494505494506
rbf,validation_block,fold_01,4,0.30000000000000004,0.4,22,0.06043956043956044,0.1,-0.039560439560439566
rbf,validation_block,fold_01,5,0.4,0.5,18,0.04945054945054945,0.1,-0.05054945054945056
rbf,validation_block,fold_01,6,0.5,0.6000000000000001,41,0.11263736263736264,0.1,0.012637362637362634
rbf,validation_block,fold_01,7,0.6000000000000001,0.7000000000000001,40,0.10989010989010989,0.1,0.009890109890109883
rbf,validation_block,fold_01,8,0.7000000000000001,0.8,43,0.11813186813186813,0.1,0.018131868131868123
rbf,validation_block,fold_01,9,0.8,0.9,59,0.1620879120879121,0.1,0.06208791208791209
rbf,validation_block,fold_01,10,0.9,1.0,43,0.11813186813186813,0.1,0.018131868131868123
rbf,validation_block,fold_02,1,0.0,0.1,15,0.04120879120879121,0.1,-0.0587912087912088
rbf,validation_block,fold_02,2,0.1,0.2,13,0.03571428571428571,0.1,-0.0642857142857143
rbf,validation_block,fold_02,3,0.2,0.30000000000000004,26,0.07142857142857142,0.1,-0.02857142857142858
rbf,validation_block,fold_02,4,0.30000000000000004,0.4,20,0.054945054945054944,0.1,-0.04505494505494506
rbf,validation_block,fold_02,5,0.4,0.5,29,0.07967032967032966,0.1,-0.02032967032967034
rbf,validation_block,fold_02,6,0.5,0.6000000000000001,31,0.08516483516483517,0.1,-0.014835164835164838
rbf,validation_block,fold_02,7,0.6000000000000001,0.7000000000000001,35,0.09615384615384616,0.1,-0.0038461538461538464
rbf,validation_block,fold_02,8,0.7000000000000001,0.8,47,0.12912087912087913,0.1,0.02912087912087913
rbf,validation_block,fold_02,9,0.8,0.9,60,0.16483516483516483,0.1,0.06483516483516483
rbf,validation_block,fold_02,10,0.9,1.0,88,0.24175824175824176,0.1,0.14175824175824175
rbf,validation_block,fold_03,1,0.0,0.1,71,0.19505494505494506,0.1,0.09505494505494505
rbf,validation_block,fold_03,2,0.1,0.2,63,0.17307692307692307,0.1,0.07307692307692307
rbf,validation_block,fold_03,3,0.2,0.30000000000000004,37,0.10164835164835165,0.1,0.0016483516483516425
rbf,validation_block,fold_03,4,0.30000000000000004,0.4,45,0.12362637362637363,0.1,0.023626373626373626
rbf,validation_block,fold_03,5,0.4,0.5,35,0.09615384615384616,0.1,-0.0038461538461538464
rbf,validation_block,fold_03,6,0.5,0.6000000000000001,30,0.08241758241758242,0.1,-0.01758241758241759
rbf,validation_block,fold_03,7,0.6000000000000001,0.7000000000000001,28,0.07692307692307693,0.1,-0.023076923076923078
rbf,validation_block,fold_03,8,0.7000000000000001,0.8,31,0.08516483516483517,0.1,-0.014835164835164838
rbf,validation_block,fold_03,9,0.8,0.9,18,0.04945054945054945,0.1,-0.05054945054945056
rbf,validation_block,fold_03,10,0.9,1.0,6,0.016483516483516484,0.1,-0.08351648351648353
rbf,validation_block,fold_04,1,0.0,0.1,52,0.14130434782608695,0.1,0.04130434782608694
rbf,validation_block,fold_04,2,0.1,0.2,65,0.1766304347826087,0.1,0.0766304347826087
rbf,validation_block,fold_04,3,0.2,0.30000000000000004,64,0.17391304347826086,0.1,0.07391304347826086
rbf,validation_block,fold_04,4,0.30000000000000004,0.4,61,0.16576086956521738,0.1,0.06576086956521737
rbf,validation_block,fold_04,5,0.4,0.5,37,0.10054347826086957,0.1,0.0005434782608695621
rbf,validation_block,fold_04,6,0.5,0.6000000000000001,23,0.0625,0.1,-0.037500000000000006
rbf,validation_block,fold_04,7,0.6000000000000001,0.7000000000000001,20,0.05434782608695652,0.1,-0.045652173913043485
rbf,validation_block,fold_04,8,0.7000000000000001,0.8,16,0.043478260869565216,0.1,-0.05652173913043479
rbf,validation_block,fold_04,9,0.8,0.9,16,0.043478260869565216,0.1,-0.05652173913043479
rbf,validation_block,fold_04,10,0.9,1.0,14,0.03804347826086957,0.1,-0.06195652173913044
matern32,overall,all,1,0.0,0.1,171,0.11712328767123288,0.1,0.017123287671232876
