model,scope,scope_value,rows,dates,mean_pit,variance_pit,variance_error_from_uniform,mean_absolute_deviation_from_half,ks_statistic,ks_nominal_iid_p_value,cramer_von_mises_statistic,cramer_von_mises_nominal_iid_p_value,ten_bin_chi_square,ten_bin_nominal_iid_p_value,p_value_interpretation
rbf,overall,all,1460,365,0.4808956114872839,0.09218007950361272,0.00884674617027939,0.2677418092706878,0.05697118827900077,0.00014660568524446895,1.1686370879164982,0.0009927631868806852,28.438356164383563,0.0008055428217304703,nominal i.i.d. reference only; rows share target dates and may be serially dependent
rbf,decision_rule,24h_prior,365,365,0.49673652722501366,0.09502387513357281,0.011690541800239485,0.2726854420856041,0.05586364992128434,0.19722608219531013,0.2562666290782665,0.1805397116796693,14.917808219178083,0.09321852692263095,nominal i.i.d. reference only; rows share target dates and may be serially dependent
rbf,decision_rule,12h_prior,365,365,0.47179697109070384,0.09234977886157102,0.009016445528237688,0.2676451933176351,0.07294235404438937,0.03909290507224816,0.47444296828319393,0.046222490574550856,9.931506849315069,0.35605856364413635,nominal i.i.d. reference only; rows share target dates and may be serially dependent
rbf,decision_rule,6h_prior,365,365,0.47615847600574357,0.0921294644706939,0.008796131137360566,0.26759215701106065,0.07052417542275596,0.05046275293312674,0.3619338020719196,0.09123788359847107,7.9589041095890405,0.5382929620278292,nominal i.i.d. reference only; rows share target dates and may be serially dependent
rbf,decision_rule,event_day_open,365,365,0.47889047162767456,0.08961575506369872,0.0062824217303653895,0.2630444446684513,0.062098684444938934,0.11483797134641638,0.3223058804422664,0.11708269447022068,6.1506849315068495,0.7247475149110167,nominal i.i.d. reference only; rows share target dates and may be serially dependent
rbf,validation_block,fold_01,364,91,0.5478026644196758,0.09916833186955576,0.01583499853622243,0.2815187838605784,0.13358231917259317,3.992938116022337e-06,1.954160977005059,1.5584592173212286e-05,46.76923076923077,4.3328011658994e-07,nominal i.i.d. reference only; rows share target dates and may be serially dependent
rbf,validation_block,fold_02,364,91,0.6583822408649798,0.07344473499917847,-0.009888598334154855,0.2791515662017584,0.2571448790639764,1.0321337077198396e-21,11.041685113696358,2.3903090617949374e-10,131.87912087912088,4.869548663602334e-24,nominal i.i.d. reference only; rows share target dates and may be serially dependent
rbf,validation_block,fold_03,364,91,0.3631400440015257,0.06925381471401265,-0.014079518619320677,0.2581826699420184,0.19787618160382303,5.771158624311235e-13,7.787123480364633,1.3963706857467173e-09,92.97802197802199,4.105540617677797e-16,nominal i.i.d. reference only; rows share target dates and may be serially dependent
rbf,validation_block,fold_04,368,92,0.3556339979110449,0.062058832306941814,-0.021274501026391515,0.2522840822109209,0.27094717147474795,2.351698866183923e-24,10.271625260593911,2.857996395100315e-09,114.39130434782608,1.8719182970771695e-20,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,overall,all,1460,365,0.48757695472860396,0.08915746166983668,0.005824128336503351,0.2616561199513836,0.034307128785752816,0.06285552004653294,0.5113982428040402,0.03725550216855955,14.10958904109589,0.11847998644282638,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,decision_rule,24h_prior,365,365,0.4966565181447519,0.0930142634300849,0.00968093009675157,0.2688264910719264,0.05041542237175567,0.30141274988833544,0.18218969588056255,0.3048897907441618,8.17808219178082,0.5163043682088906,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,decision_rule,12h_prior,365,365,0.47828086552955895,0.08950646510675439,0.006173131773421062,0.26142620327892796,0.050751545407892396,0.29402624266681887,0.2655930641461722,0.16955562940598656,7.465753424657533,0.5887462220931798,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,decision_rule,6h_prior,365,365,0.48279966010377473,0.08895078451779805,0.005617451184464717,0.26085372234990406,0.043558168319794255,0.47947230674073016,0.1699580487144382,0.3342062739786025,5.602739726027397,0.7789246071342395,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,decision_rule,event_day_open,365,365,0.4925707751363302,0.08567593623645572,0.0023426029031223955,0.25551806310477604,0.03226726492138121,0.8296722634393885,0.07905667681703955,0.6976241191508321,4.013698630136987,0.910508602862926,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,validation_block,fold_01,364,91,0.5599436639749705,0.09807934933221191,0.014746015998878578,0.2830471711037059,0.15431080209372938,4.918582480494183e-08,2.575691712383321,6.159515754111666e-07,47.318681318681314,3.423038765635551e-07,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,validation_block,fold_02,364,91,0.6464200423861938,0.07436853132197795,-0.008964802011355383,0.2744873033584974,0.23609125293926686,2.4816951821679744e-18,9.491051645894192,7.179357108810791e-10,109.79120879120879,1.6215792104667462e-19,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,validation_block,fold_03,364,91,0.35408152884808486,0.06624845772839784,-0.01708487560493549,0.25761226480452676,0.21112361988864387,1.028813253143726e-14,8.898815447934325,2.1567980734715775e-10,104.2967032967033,2.1208676789806426e-18,nominal i.i.d. reference only; rows share target dates and may be serially dependent
matern32,validation_block,fold_04,368,92,0.39092469643368233,0.06108720527309676,-0.02224612806023657,0.2318057664019846,0.22752343142365838,3.175270091606441e-17,6.421430600519346,3.3608449356847814e-11,79.3913043478261,2.134741813054885e-13,nominal i.i.d. reference only; rows share target dates and may be serially dependent
