model,scope,scope_value,nominal_points,dates,integrated_absolute_calibration_error,root_mean_squared_calibration_error,maximum_absolute_calibration_error,mean_signed_calibration_error,calibration_error_q10,calibration_error_q50,calibration_error_q90
matern32,decision_rule,12h_prior,99,365,0.022803376228033762,0.02681217657206132,0.04794520547945208,0.021488861214888615,0.0232876712328767,0.02876712328767128,0.009589041095890427
rbf,decision_rule,12h_prior,99,365,0.030087173100871726,0.03618871067930542,0.07178082191780821,0.02832433928324339,0.036986301369863,0.03698630136986303,0.004109589041095818
matern32,decision_rule,24h_prior,99,365,0.019299847792998474,0.022786631760159895,0.048630136986301364,0.0033623910336239115,0.02054794520547945,0.00136986301369868,-0.009589041095890427
rbf,decision_rule,24h_prior,99,365,0.02370278123702781,0.027121449663988797,0.05410958904109586,0.0031963470319634744,0.0232876712328767,0.012328767123287676,-0.012328767123287676
matern32,decision_rule,6h_prior,99,365,0.01814584198145842,0.02166061742011503,0.03972602739726028,0.01731008717310087,0.017808219178082188,0.009589041095890427,0.009589041095890427
rbf,decision_rule,6h_prior,99,365,0.02531340805313408,0.03171817757301921,0.06630136986301371,0.024062543240625435,0.031506849315068475,0.02602739726027392,0.004109589041095818
matern32,decision_rule,event_day_open,99,365,0.012276186522761863,0.014902096474792147,0.030547945205479432,0.00759651307596513,0.00684931506849315,0.02876712328767128,-0.009589041095890427
rbf,decision_rule,event_day_open,99,365,0.023495226234952267,0.029835943111750106,0.06082191780821916,0.021267469212674694,0.0232876712328767,0.03698630136986303,-0.009589041095890427
matern32,overall,all,99,365,0.01558876435588764,0.018825506425436043,0.032465753424657545,0.012439463124394626,0.017123287671232876,0.017123287671232834,0.0
rbf,overall,all,99,365,0.023039988930399893,0.028516055683803665,0.05602739726027395,0.019212674692126747,0.028767123287671226,0.02808219178082194,-0.003424657534246589
