source_row_id,target_date,decision_rule,gp_probability,market_source_probability,realised_yes,lower_bound,upper_bound,event_label,event_key,forecast_daily_max_c,gp_temperature_mean_c,book_key,market_probability,sample_period,contract_rank,gp_modal_rank,market_modal_rank,signed_rank_from_gp_mode,gp_minus_market_probability,market_minus_gp_probability,absolute_probability_gap,log_ratio_market_to_gp,clr_log_ratio_market_minus_gp,signed_rank_bucket
0,2026-03-18,12h_prior,6.980884878977396e-07,0.0269230769230769,0,-inf,19.0,Will the highest temperature in Hong Kong be 18°C or below on March 18?,2026-03-18|-inf|19.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0269230769230769,weather_plus_market_development,1,8,10,-7,-0.026922378834589002,0.026922378834589002,0.026922378834589002,10.56014848676644,8.207991971055758,<=-3
1,2026-03-18,12h_prior,2.172474947744784e-05,0.0346153846153846,0,19.0,20.0,Will the highest temperature in Hong Kong be 19°C on March 18?,2026-03-18|19.0|20.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0346153846153846,weather_plus_market_development,2,8,10,-6,-0.03459365986590716,0.03459365986590716,0.03459365986590716,7.373601364732894,5.021444849022211,<=-3
2,2026-03-18,12h_prior,0.0004019075751604,0.0461538461538461,0,20.0,21.0,Will the highest temperature in Hong Kong be 20°C on March 18?,2026-03-18|20.0|21.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0461538461538461,weather_plus_market_development,3,8,10,-5,-0.0457519385786857,0.0457519385786857,0.0457519385786857,4.743513427087982,2.3913569113772994,<=-3
3,2026-03-18,12h_prior,0.0043487508435201,0.0615384615384615,0,21.0,22.0,Will the highest temperature in Hong Kong be 21°C on March 18?,2026-03-18|21.0|22.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0615384615384615,weather_plus_market_development,4,8,10,-4,-0.0571897106949414,0.0571897106949414,0.0571897106949414,2.6497737287539893,0.2976172130433068,<=-3
4,2026-03-18,12h_prior,0.0275800371791277,0.0846153846153846,0,22.0,23.0,Will the highest temperature in Hong Kong be 22°C on March 18?,2026-03-18|22.0|23.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0846153846153846,weather_plus_market_development,5,8,10,-3,-0.057035347436256906,0.057035347436256906,0.057035347436256906,1.1210238809139883,-1.2311326347966942,<=-3
5,2026-03-18,12h_prior,0.102722254822872,0.073076923076923,0,23.0,24.0,Will the highest temperature in Hong Kong be 23°C on March 18?,2026-03-18|23.0|24.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.073076923076923,weather_plus_market_development,6,8,10,-2,0.029645331745949008,-0.029645331745949008,0.029645331745949008,-0.3405161637249223,-2.6926726794356046,-2
6,2026-03-18,12h_prior,0.2250406669890661,0.0769230769230769,0,24.0,25.0,Will the highest temperature in Hong Kong be 24°C on March 18?,2026-03-18|24.0|25.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0769230769230769,weather_plus_market_development,7,8,10,-1,0.1481175900659892,-0.1481175900659892,0.1481175900659892,-1.0734752065255484,-3.425631722236231,-1
7,2026-03-18,12h_prior,0.2902904693882797,0.1576923076923077,0,25.0,26.0,Will the highest temperature in Hong Kong be 25°C on March 18?,2026-03-18|25.0|26.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.1576923076923077,weather_plus_market_development,8,8,10,0,0.132598161695972,-0.132598161695972,0.132598161695972,-0.6102363256046904,-2.962392841315373,0
8,2026-03-18,12h_prior,0.2205627920916552,0.1692307692307692,0,26.0,27.0,Will the highest temperature in Hong Kong be 26°C on March 18?,2026-03-18|26.0|27.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.1692307692307692,weather_plus_market_development,9,8,10,1,0.05133202286088598,-0.05133202286088598,0.05133202286088598,-0.26491914385308046,-2.617075659563763,1
9,2026-03-18,12h_prior,0.0986722765679981,0.173076923076923,1,27.0,28.0,Will the highest temperature in Hong Kong be 27°C on March 18?,2026-03-18|27.0|28.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.173076923076923,weather_plus_market_development,10,8,10,2,-0.0744046465089249,0.0744046465089249,0.0744046465089249,0.5619321165891932,-1.7902243991214895,2
10,2026-03-18,12h_prior,0.0303584217043551,0.0961538461538461,0,28.0,inf,Will the highest temperature in Hong Kong be 28°C or higher on March 18?,2026-03-18|28.0|inf,25.0,25.48101610980937,2026-03-18|12h_prior,0.0961538461538461,weather_plus_market_development,11,8,10,3,-0.065795424449491,0.065795424449491,0.065795424449491,1.1528755076812598,-1.1992810080294227,>=3
11,2026-03-18,6h_prior,1.2917480582255465e-07,0.002002002002002,0,-inf,19.0,Will the highest temperature in Hong Kong be 18°C or below on March 18?,2026-03-18|-inf|19.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.002002002002002,weather_plus_market_development,1,9,7,-8,-0.0020018728271961775,0.0020018728271961775,0.0020018728271961775,9.648491667897956,7.268557479301487,<=-3
12,2026-03-18,6h_prior,4.880911359077443e-06,0.0025025025025025,0,19.0,20.0,Will the highest temperature in Hong Kong be 19°C on March 18?,2026-03-18|19.0|20.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.0025025025025025,weather_plus_market_development,2,9,7,-7,-0.0024976215911434226,0.0024976215911434226,0.0024976215911434226,6.239714554851847,3.859780366255379,<=-3
13,2026-03-18,6h_prior,0.0001107271322731,0.0245245245245245,0,20.0,21.0,Will the highest temperature in Hong Kong be 20°C on March 18?,2026-03-18|20.0|21.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.0245245245245245,weather_plus_market_development,3,9,7,-6,-0.0244137973922514,0.0244137973922514,0.0244137973922514,5.400359989865274,3.020425801268806,<=-3
14,2026-03-18,6h_prior,0.0014879880007639,0.045045045045045,0,21.0,22.0,Will the highest temperature in Hong Kong be 21°C on March 18?,2026-03-18|21.0|22.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.045045045045045,weather_plus_market_development,4,9,7,-5,-0.0435570570442811,0.0435570570442811,0.0435570570442811,3.4102381177282717,1.0303039291318035,<=-3
15,2026-03-18,6h_prior,0.0118686777498214,0.06006006006006,0,22.0,23.0,Will the highest temperature in Hong Kong be 22°C on March 18?,2026-03-18|22.0|23.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.06006006006006,weather_plus_market_development,5,9,7,-4,-0.0481913823102386,0.0481913823102386,0.0481913823102386,1.6214422544252294,-0.7584919341712388,<=-3
16,2026-03-18,6h_prior,0.056297166123422,0.1001001001001001,0,23.0,24.0,Will the highest temperature in Hong Kong be 23°C on March 18?,2026-03-18|23.0|24.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.1001001001001001,weather_plus_market_development,6,9,7,-3,-0.04380293397667811,0.04380293397667811,0.04380293397667811,0.5755264877284706,-1.8044077008679977,<=-3
17,2026-03-18,6h_prior,0.1590613849805067,0.2052052052052052,0,24.0,25.0,Will the highest temperature in Hong Kong be 24°C on March 18?,2026-03-18|24.0|25.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.2052052052052052,weather_plus_market_development,7,9,7,-2,-0.046143820224698484,0.046143820224698484,0.046143820224698484,0.2547202826974535,-2.125213905899015,-2
18,2026-03-18,6h_prior,0.2680193149400972,0.1601601601601601,0,25.0,26.0,Will the highest temperature in Hong Kong be 25°C on March 18?,2026-03-18|25.0|26.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.1601601601601601,weather_plus_market_development,8,9,7,-1,0.10785915477993707,-0.10785915477993707,0.10785915477993707,-0.5148847330184848,-2.894818921614953,-1
19,2026-03-18,6h_prior,0.2695097289790009,0.2002002002002002,0,26.0,27.0,Will the highest temperature in Hong Kong be 26°C on March 18?,2026-03-18|26.0|27.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.2002002002002002,weather_plus_market_development,9,9,7,0,0.06930952877880067,-0.06930952877880067,0.06930952877880067,-0.29728662292344826,-2.6772208115199163,0
20,2026-03-18,6h_prior,0.161730865142006,0.1101101101101101,1,27.0,28.0,Will the highest temperature in Hong Kong be 27°C on March 18?,2026-03-18|27.0|28.0,25.6,26.010744707278807,2026-03-18|6h_prior,0.1101101101101101,weather_plus_market_development,10,9,7,1,0.05162075503189589,-0.05162075503189589,0.05162075503189589,-0.38445276128963013,-2.7643869498860982,1
21,2026-03-18,6h_prior,0.0719091368659436,0.09009009009009,0,28.0,inf,Will the highest temperature in Hong Kong be 28°C or higher on March 18?,2026-03-18|28.0|inf,25.6,26.010744707278807,2026-03-18|6h_prior,0.09009009009009,weather_plus_market_development,11,9,7,2,-0.01818095322414641,0.01818095322414641,0.01818095322414641,0.22540683659820782,-2.1545273519982606,2
22,2026-03-21,12h_prior,2.2094924636423915e-06,0.002730996813837,0,-inf,18.0,Will the highest temperature in Hong Kong be 17°C or below on March 21?,2026-03-21|-inf|18.0,22.8,24.07340625300518,2026-03-21|12h_prior,0.002730996813837,weather_plus_market_development,1,8,8,-7,-0.0027287873213733575,0.0027287873213733575,0.0027287873213733575,7.119659120113119,6.021030030974095,<=-3
23,2026-03-21,12h_prior,6.062963314084003e-05,0.0050068274920345,0,18.0,19.0,Will the highest temperature in Hong Kong be 18°C on March 21?,2026-03-21|18.0|19.0,22.8,24.07340625300518,2026-03-21|12h_prior,0.0050068274920345,weather_plus_market_development,2,8,8,-6,-0.0049461978588936605,0.0049461978588936605,0.0049461978588936605,4.413773989098762,3.315144899959738,<=-3
24,2026-03-21,12h_prior,0.0009759281637323,0.003641329085116,0,19.0,20.0,Will the highest temperature in Hong Kong be 19°C on March 21?,2026-03-21|19.0|20.0,22.8,24.07340625300518,2026-03-21|12h_prior,0.003641329085116,weather_plus_market_development,3,8,8,-5,-0.0026654009213837003,0.0026654009213837003,0.0026654009213837003,1.3167150462885022,0.2180859571494782,<=-3
25,2026-03-21,12h_prior,0.0090491943978711,0.0063723258989531,0,20.0,21.0,Will the highest temperature in Hong Kong be 20°C on March 21?,2026-03-21|20.0|21.0,22.8,24.07340625300518,2026-03-21|12h_prior,0.0063723258989531,weather_plus_market_development,4,8,8,-4,0.0026768684989180004,-0.0026768684989180004,0.0026768684989180004,-0.3507112007269975,-1.4493402898660215,<=-3
26,2026-03-21,12h_prior,0.0484458202935413,0.0172963131543013,0,21.0,22.0,Will the highest temperature in Hong Kong be 21°C on March 21?,2026-03-21|21.0|22.0,22.8,24.07340625300518,2026-03-21|12h_prior,0.0172963131543013,weather_plus_market_development,5,8,8,-3,0.03114950713924,-0.03114950713924,0.03114950713924,-1.029952699840367,-2.1285817889793908,<=-3
27,2026-03-21,12h_prior,0.1500505232526286,0.0641784251251706,1,22.0,23.0,Will the highest temperature in Hong Kong be 22°C on March 21?,2026-03-21|22.0|23.0,22.8,24.07340625300518,2026-03-21|12h_prior,0.0641784251251706,weather_plus_market_development,6,8,8,-2,0.08587209812745801,-0.08587209812745801,0.08587209812745801,-0.8493049620930635,-1.9479340512320875,-2
28,2026-03-21,12h_prior,0.2692918393366627,0.109239872553482,0,23.0,24.0,Will the highest temperature in Hong Kong be 23°C on March 21?,2026-03-21|23.0|24.0,22.8,24.07340625300518,2026-03-21|12h_prior,0.109239872553482,weather_plus_market_development,7,8,8,-1,0.16005196678318068,-0.16005196678318068,0.16005196678318068,-0.9022495661758922,-2.0008786553149163,-1
