source_row_id,target_date,decision_rule,gp_probability,market_source_probability,realised_yes,lower_bound,upper_bound,event_label,event_key,forecast_daily_max_c,gp_temperature_mean_c,book_key,market_probability,sample_period,contract_rank,gp_modal_rank,market_modal_rank,signed_rank_from_gp_mode
0,2026-03-18,12h_prior,6.980884878977396e-07,0.0269230769230769,0,-inf,19.0,Will the highest temperature in Hong Kong be 18°C or below on March 18?,2026-03-18|-inf|19.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0269230769230769,weather_plus_market_development,1,8,10,-7
1,2026-03-18,12h_prior,2.172474947744784e-05,0.0346153846153846,0,19.0,20.0,Will the highest temperature in Hong Kong be 19°C on March 18?,2026-03-18|19.0|20.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0346153846153846,weather_plus_market_development,2,8,10,-6
2,2026-03-18,12h_prior,0.0004019075751604,0.0461538461538461,0,20.0,21.0,Will the highest temperature in Hong Kong be 20°C on March 18?,2026-03-18|20.0|21.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0461538461538461,weather_plus_market_development,3,8,10,-5
3,2026-03-18,12h_prior,0.0043487508435201,0.0615384615384615,0,21.0,22.0,Will the highest temperature in Hong Kong be 21°C on March 18?,2026-03-18|21.0|22.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0615384615384615,weather_plus_market_development,4,8,10,-4
4,2026-03-18,12h_prior,0.0275800371791277,0.0846153846153846,0,22.0,23.0,Will the highest temperature in Hong Kong be 22°C on March 18?,2026-03-18|22.0|23.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0846153846153846,weather_plus_market_development,5,8,10,-3
5,2026-03-18,12h_prior,0.102722254822872,0.073076923076923,0,23.0,24.0,Will the highest temperature in Hong Kong be 23°C on March 18?,2026-03-18|23.0|24.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.073076923076923,weather_plus_market_development,6,8,10,-2
6,2026-03-18,12h_prior,0.2250406669890661,0.0769230769230769,0,24.0,25.0,Will the highest temperature in Hong Kong be 24°C on March 18?,2026-03-18|24.0|25.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.0769230769230769,weather_plus_market_development,7,8,10,-1
7,2026-03-18,12h_prior,0.2902904693882797,0.1576923076923077,0,25.0,26.0,Will the highest temperature in Hong Kong be 25°C on March 18?,2026-03-18|25.0|26.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.1576923076923077,weather_plus_market_development,8,8,10,0
8,2026-03-18,12h_prior,0.2205627920916552,0.1692307692307692,0,26.0,27.0,Will the highest temperature in Hong Kong be 26°C on March 18?,2026-03-18|26.0|27.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.1692307692307692,weather_plus_market_development,9,8,10,1
9,2026-03-18,12h_prior,0.0986722765679981,0.173076923076923,1,27.0,28.0,Will the highest temperature in Hong Kong be 27°C on March 18?,2026-03-18|27.0|28.0,25.0,25.48101610980937,2026-03-18|12h_prior,0.173076923076923,weather_plus_market_development,10,8,10,2
