sample_period,decision_rule,signed_rank_bucket,metric,event_rows,books,dates,mean,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,bootstrap_unit
june_out_of_sample,12h_prior,-1,gp_minus_market_probability,28,28,28,0.04444319511371973,0.00845247652165643,0.07857366415423642,10000,target_date
june_out_of_sample,12h_prior,-1,clr_log_ratio_market_minus_gp,28,28,28,-0.16996642224325162,-0.45850442080658166,0.11953868722814158,10000,target_date
june_out_of_sample,12h_prior,-2,gp_minus_market_probability,28,28,28,0.06703305806694841,0.049265661341434654,0.08233822845745757,10000,target_date
june_out_of_sample,12h_prior,-2,clr_log_ratio_market_minus_gp,28,28,28,-1.0141138271467633,-1.369044016330846,-0.6479168113453675,10000,target_date
june_out_of_sample,12h_prior,0,gp_minus_market_probability,28,28,28,-0.035807117409618915,-0.06885232047276026,-0.0016038885193821297,10000,target_date
june_out_of_sample,12h_prior,0,clr_log_ratio_market_minus_gp,28,28,28,0.35556769195295956,0.08744544075026008,0.6130654086286095,10000,target_date
june_out_of_sample,12h_prior,1,gp_minus_market_probability,26,26,26,-0.0916566064161786,-0.1322224525004977,-0.050234891048590205,10000,target_date
june_out_of_sample,12h_prior,1,clr_log_ratio_market_minus_gp,26,26,26,0.7170512697786151,0.4572569322330806,0.9719527628768339,10000,target_date
june_out_of_sample,12h_prior,2,gp_minus_market_probability,26,26,26,-0.04743226021416643,-0.0899156928939686,-0.008088740693320363,10000,target_date
june_out_of_sample,12h_prior,2,clr_log_ratio_market_minus_gp,26,26,26,0.48759573940076667,0.11992286016321711,0.8392729948717087,10000,target_date
june_out_of_sample,12h_prior,<=-3,gp_minus_market_probability,110,28,28,0.013405577691088117,0.011045075646479283,0.01589587227907129,10000,target_date
june_out_of_sample,12h_prior,<=-3,clr_log_ratio_market_minus_gp,110,28,28,-0.4787824545931921,-0.7577652542949324,-0.1902627579801024,10000,target_date
june_out_of_sample,12h_prior,>=3,gp_minus_market_probability,62,23,23,0.002753766659591514,-0.0038889084293458097,0.009071697648713743,10000,target_date
june_out_of_sample,12h_prior,>=3,clr_log_ratio_market_minus_gp,62,23,23,0.18387741579914071,-0.26273431146349446,0.5751865399221764,10000,target_date
june_out_of_sample,24h_prior,-1,gp_minus_market_probability,27,27,27,0.06643431501090695,0.02938186242427843,0.10220904054649545,10000,target_date
june_out_of_sample,24h_prior,-1,clr_log_ratio_market_minus_gp,27,27,27,-0.8734009100141953,-1.3500936009387294,-0.41349658696629427,10000,target_date
june_out_of_sample,24h_prior,-2,gp_minus_market_probability,27,27,27,0.04925513902939033,0.02498281627013718,0.07113655464009316,10000,target_date
june_out_of_sample,24h_prior,-2,clr_log_ratio_market_minus_gp,27,27,27,-1.6641415134220705,-2.1944912454805836,-1.1390376615618545,10000,target_date
june_out_of_sample,24h_prior,0,gp_minus_market_probability,27,27,27,0.03997967626553148,0.006711833789793739,0.07351695909841727,10000,target_date
june_out_of_sample,24h_prior,0,clr_log_ratio_market_minus_gp,27,27,27,-0.24759267610104896,-0.7188766887032247,0.16234218766567096,10000,target_date
