phase,relative_path,comparison_method,maximum_absolute_error,status,detail
15,config/v2_completion/phase15_gp_implementation_spec.json,semantic_json,0.0,PASSED,substantive JSON content identical after excluding explicit provenance fields
15,outputs/v2_completion/phase15_ast_call_registry.csv,structured_csv,0.0,PASSED,byte-identical CSV
15,outputs/v2_completion/phase15_crps_reconciliation.csv,structured_csv,0.0,PASSED,byte-identical CSV
15,outputs/v2_completion/phase15_feature_transformations.csv,structured_csv,0.0,PASSED,byte-identical CSV
15,outputs/v2_completion/phase15_fold_model_registry.csv,structured_csv,0.0,PASSED,byte-identical CSV
15,outputs/v2_completion/phase15_full_fit_model_registry.csv,structured_csv,0.0,PASSED,byte-identical CSV
15,outputs/v2_completion/phase15_gap_updates.csv,structured_csv,0.0,PASSED,byte-identical CSV
15,outputs/v2_completion/phase15_reconciliation_report.md,normalised_text,0.0,PASSED,normalised text identical
15,outputs/v2_completion/phase15_source_evidence.csv,structured_csv,0.0,PASSED,byte-identical CSV
15,outputs/v2_completion/phase15_variance_reconciliation.csv,structured_csv,0.0,PASSED,byte-identical CSV
16,config/v2_completion/phase16_static_benchmark_spec.json,semantic_json,0.0,PASSED,substantive JSON content identical after excluding explicit provenance fields
16,outputs/v2_completion/phase16_date_level_model_losses.csv,structured_csv,0.0,PASSED,byte-identical CSV
16,outputs/v2_completion/phase16_gap_updates.csv,structured_csv,0.0,PASSED,byte-identical CSV
16,outputs/v2_completion/phase16_model_scores_by_block.csv,structured_csv,0.0,PASSED,byte-identical CSV
16,outputs/v2_completion/phase16_model_scores_by_rule.csv,structured_csv,0.0,PASSED,byte-identical CSV
16,outputs/v2_completion/phase16_model_scores_overall.csv,structured_csv,0.0,PASSED,byte-identical CSV
16,outputs/v2_completion/phase16_paired_model_differences.csv,structured_csv,0.0,PASSED,byte-identical CSV
16,outputs/v2_completion/phase16_static_benchmark_report.md,normalised_text,0.0,PASSED,normalised text identical
16,outputs/v2_completion/phase16_static_event_probability_scores.csv,structured_csv,0.0,PASSED,byte-identical CSV
16,outputs/v2_completion/phase16_static_parameter_registry.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,config/v2_completion/phase17_error_missing_support_spec.json,semantic_json,0.0,PASSED,substantive JSON content identical after excluding explicit provenance fields
17,outputs/v2_completion/phase17_error_by_validation_block.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_error_missing_support_report.md,normalised_text,0.0,PASSED,normalised text identical
17,outputs/v2_completion/phase17_error_variance_decomposition.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_figures/phase17_missing_support_matrix.pdf,pdf_presence,0.0,PASSED,non-empty PDF regenerated
17,outputs/v2_completion/phase17_figures/phase17_missing_support_matrix.png,pixel_array,0.0,PASSED,PNG pixels identical
17,outputs/v2_completion/phase17_figures/phase17_rule_error_boxplot.pdf,pdf_presence,0.0,PASSED,non-empty PDF regenerated
17,outputs/v2_completion/phase17_figures/phase17_rule_error_boxplot.png,pixel_array,0.0,PASSED,PNG pixels identical
17,outputs/v2_completion/phase17_gap_updates.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_missing_key_registry.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_missing_pattern_summary.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_pairwise_rule_differences.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_rule_error_correlations.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_rule_error_summary.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_rule_rank_diagnostics.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_support_by_date.csv,structured_csv,0.0,PASSED,byte-identical CSV
17,outputs/v2_completion/phase17_support_by_rule_period.csv,structured_csv,0.0,PASSED,byte-identical CSV
18,config/v2_completion/phase18_gp_stability_spec.json,semantic_json,0.0,PASSED,substantive JSON content identical after excluding explicit provenance fields
18,outputs/v2_completion/phase18_feature_response_duplicate_audit.csv,structured_csv,0.0,PASSED,byte-identical CSV
18,outputs/v2_completion/phase18_figures/phase18_matern_crps_rule_block_heatmap.pdf,pdf_presence,0.0,PASSED,non-empty PDF regenerated
18,outputs/v2_completion/phase18_figures/phase18_matern_crps_rule_block_heatmap.png,pixel_array,0.0,PASSED,PNG pixels identical
18,outputs/v2_completion/phase18_figures/phase18_matern_length_scale_stability.pdf,pdf_presence,0.0,PASSED,non-empty PDF regenerated
18,outputs/v2_completion/phase18_figures/phase18_matern_length_scale_stability.png,pixel_array,0.0,PASSED,PNG pixels identical
18,outputs/v2_completion/phase18_figures/phase18_matern_minus_static_heatmap.pdf,pdf_presence,0.0,PASSED,non-empty PDF regenerated
