settlement_date,decision_rule,source_path
2024-03-16,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-16,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-16,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-16,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-17,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-17,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-17,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-17,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-18,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-18,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-18,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-18,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-19,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-19,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-19,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-19,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-20,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-20,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-20,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-20,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-21,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-21,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-21,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-21,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-22,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-22,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-22,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-22,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-23,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-23,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-23,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-23,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-24,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-24,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-24,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-24,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-25,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-25,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-25,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-25,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-26,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-26,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-26,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-26,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-27,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-27,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-27,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-27,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-28,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-28,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-28,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-28,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-29,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-29,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-29,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-29,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-30,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-30,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-30,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-30,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-31,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-31,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-31,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-03-31,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-01,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-01,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-01,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-01,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-02,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-02,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-02,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-02,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-03,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-03,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-03,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-03,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-04,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-04,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-04,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-04,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-05,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-05,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-05,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-05,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-06,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-06,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-06,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-06,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-07,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-07,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-07,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-07,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-08,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-08,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-08,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
