decision_rule,metric,phase2_value,phase17_value,phase2_minus_phase17,passed
24h_prior,mean_residual_c,1.4443835616438356,1.4443835616438356,0.0,True
12h_prior,mean_residual_c,1.422739726027397,1.422739726027397,0.0,True
6h_prior,mean_residual_c,1.4335616438356165,1.4335616438356165,0.0,True
event_day_open,mean_residual_c,1.417945205479452,1.417945205479452,0.0,True
24h_prior,standard_deviation_c,1.5490968086719121,1.549096808671912,2.220446049250313e-16,True
12h_prior,standard_deviation_c,1.4781826793984059,1.478182679398406,-2.220446049250313e-16,True
6h_prior,standard_deviation_c,1.4717773563721532,1.4717773563721532,0.0,True
event_day_open,standard_deviation_c,1.3926688896594432,1.3926688896594432,0.0,True
24h_prior,median_residual_c,1.3999999999999986,1.3999999999999986,0.0,True
12h_prior,median_residual_c,1.400000000000002,1.400000000000002,0.0,True
6h_prior,median_residual_c,1.5,1.5,0.0,True
event_day_open,median_residual_c,1.3999999999999986,1.3999999999999986,0.0,True
24h_prior,mean_absolute_error_c,1.7358904109589042,1.7358904109589042,0.0,True
12h_prior,mean_absolute_error_c,1.6742465753424658,1.6742465753424658,0.0,True
6h_prior,mean_absolute_error_c,1.6784931506849314,1.6784931506849314,0.0,True
event_day_open,mean_absolute_error_c,1.6316438356164382,1.6316438356164382,0.0,True
24h_prior,q05_c,-1.1549999999999978,-1.1549999999999978,0.0,True
12h_prior,q05_c,-0.9000000000000021,-0.9000000000000021,0.0,True
6h_prior,q05_c,-0.9000000000000021,-0.9000000000000021,0.0,True
event_day_open,q05_c,-0.7999999999999992,-0.7999999999999992,0.0,True
24h_prior,q25_c,0.3999999999999986,0.3999999999999986,0.0,True
12h_prior,q25_c,0.4000000000000021,0.4000000000000021,0.0,True
6h_prior,q25_c,0.4000000000000021,0.4000000000000021,0.0,True
event_day_open,q25_c,0.4000000000000021,0.4000000000000021,0.0,True
24h_prior,q75_c,2.5,2.5,0.0,True
12h_prior,q75_c,2.5,2.5,0.0,True
6h_prior,q75_c,2.5,2.5,0.0,True
event_day_open,q75_c,2.400000000000002,2.400000000000002,0.0,True
24h_prior,q95_c,4.0,4.0,0.0,True
12h_prior,q95_c,3.899999999999999,3.899999999999999,0.0,True
6h_prior,q95_c,3.899999999999999,3.899999999999999,0.0,True
event_day_open,q95_c,3.6999999999999993,3.6999999999999993,0.0,True
