scope,dates,rows,event,threshold_c,empirical_probability
pooled_all_rules,730,2920,residual_above_threshold,0.0,0.8246575342465754
pooled_all_rules,730,2920,residual_above_threshold,0.5,0.7167808219178082
pooled_all_rules,730,2920,residual_above_threshold,1.0,0.5859589041095891
pooled_all_rules,730,2920,residual_above_threshold,1.5,0.46335616438356164
pooled_all_rules,730,2920,residual_above_threshold,2.0,0.3407534246575342
pooled_all_rules,730,2920,absolute_residual_above_threshold,0.5,0.8017123287671233
pooled_all_rules,730,2920,absolute_residual_above_threshold,1.0,0.6291095890410959
pooled_all_rules,730,2920,absolute_residual_above_threshold,1.5,0.48424657534246573
pooled_all_rules,730,2920,absolute_residual_above_threshold,2.0,0.351027397260274
24h_prior,730,730,residual_above_threshold,0.0,0.8041095890410959
24h_prior,730,730,residual_above_threshold,0.5,0.7150684931506849
24h_prior,730,730,residual_above_threshold,1.0,0.5876712328767123
24h_prior,730,730,residual_above_threshold,1.5,0.46986301369863015
24h_prior,730,730,residual_above_threshold,2.0,0.35342465753424657
24h_prior,730,730,absolute_residual_above_threshold,0.5,0.810958904109589
24h_prior,730,730,absolute_residual_above_threshold,1.0,0.6410958904109589
24h_prior,730,730,absolute_residual_above_threshold,1.5,0.4931506849315068
24h_prior,730,730,absolute_residual_above_threshold,2.0,0.36712328767123287
12h_prior,730,730,residual_above_threshold,0.0,0.8287671232876712
12h_prior,730,730,residual_above_threshold,0.5,0.7123287671232876
12h_prior,730,730,residual_above_threshold,1.0,0.5835616438356165
12h_prior,730,730,residual_above_threshold,1.5,0.46301369863013697
12h_prior,730,730,residual_above_threshold,2.0,0.33972602739726027
12h_prior,730,730,absolute_residual_above_threshold,0.5,0.7972602739726027
12h_prior,730,730,absolute_residual_above_threshold,1.0,0.626027397260274
12h_prior,730,730,absolute_residual_above_threshold,1.5,0.4863013698630137
12h_prior,730,730,absolute_residual_above_threshold,2.0,0.3506849315068493
6h_prior,730,730,residual_above_threshold,0.0,0.8315068493150685
6h_prior,730,730,residual_above_threshold,0.5,0.7150684931506849
6h_prior,730,730,residual_above_threshold,1.0,0.5863013698630137
6h_prior,730,730,residual_above_threshold,1.5,0.4671232876712329
6h_prior,730,730,residual_above_threshold,2.0,0.33972602739726027
6h_prior,730,730,absolute_residual_above_threshold,0.5,0.7958904109589041
6h_prior,730,730,absolute_residual_above_threshold,1.0,0.6273972602739726
6h_prior,730,730,absolute_residual_above_threshold,1.5,0.4904109589041096
6h_prior,730,730,absolute_residual_above_threshold,2.0,0.3493150684931507
event_day_open,730,730,residual_above_threshold,0.0,0.8342465753424657
event_day_open,730,730,residual_above_threshold,0.5,0.7246575342465753
event_day_open,730,730,residual_above_threshold,1.0,0.5863013698630137
event_day_open,730,730,residual_above_threshold,1.5,0.4534246575342466
event_day_open,730,730,residual_above_threshold,2.0,0.33013698630136984
event_day_open,730,730,absolute_residual_above_threshold,0.5,0.8027397260273973
event_day_open,730,730,absolute_residual_above_threshold,1.0,0.6219178082191781
event_day_open,730,730,absolute_residual_above_threshold,1.5,0.4671232876712329
event_day_open,730,730,absolute_residual_above_threshold,2.0,0.336986301369863
