analysis,decision_rule,meteorological_season,rows,dates,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
residual_stability_by_season,12h_prior,DJF,180,180,0.7711111111111112,1.2191438010739677,0.6999999999999993,0.6000000000000014,1.2999999999999972,1.0833333333333333,1.439675889451048,0.5813891172157936,2.280376840173896,-3.0,5.199999999999999,-2.226000000000001,-1.0,-0.5099999999999996,0.1000000000000014,0.6999999999999993,1.3999999999999986,2.3000000000000007,2.904999999999997,4.963000000000001,0.7722222222222223,0.21666666666666667,0.011111111111111112
residual_stability_by_season,12h_prior,JJA,184,184,2.0684782608695653,1.315060251093349,2.099999999999998,0.9999999999999964,1.924999999999999,2.1532608695652176,2.4492012895067936,-0.3590961089197374,-0.17927631651399567,-2.0,4.699999999999996,-1.1189999999999998,-0.0999999999999978,0.3999999999999986,1.1749999999999998,2.099999999999998,3.0999999999999988,3.770000000000003,4.1000000000000005,4.516999999999999,0.9347826086956522,0.059782608695652176,0.005434782608695652
residual_stability_by_season,12h_prior,MAM,184,184,1.5027173913043474,1.500616706201441,1.5999999999999996,0.9000000000000004,1.9000000000000021,1.8016304347826086,2.120795072403374,-0.20907574781281535,0.3053233373474544,-2.900000000000002,6.5,-2.133999999999998,-0.9000000000000021,-0.5699999999999984,0.5999999999999979,1.5999999999999996,2.5,3.3,3.899999999999999,4.316999999999999,0.8152173913043478,0.17391304347826086,0.010869565217391304
residual_stability_by_season,12h_prior,SON,182,182,1.3335164835164834,1.5635445449125163,1.3500000000000014,1.1500000000000021,2.200000000000003,1.6456043956043955,2.051707945713886,0.02400677054356144,-0.46720842890259684,-2.700000000000003,5.399999999999999,-1.8139999999999996,-1.2000000000000026,-0.6000000000000011,0.1999999999999957,1.3500000000000014,2.3999999999999986,3.400000000000002,3.8949999999999982,4.538000000000003,0.7912087912087912,0.17582417582417584,0.03296703296703297
residual_stability_by_season,24h_prior,DJF,180,180,0.91,1.1725015038524738,0.8000000000000007,0.6999999999999993,1.3999999999999986,1.1544444444444444,1.4816282334722912,0.5042777629697607,0.8313020853076512,-2.099999999999998,4.899999999999999,-1.5630000000000002,-0.8000000000000007,-0.5,0.1000000000000014,0.8000000000000007,1.5,2.3999999999999986,3.0049999999999986,4.0630000000000015,0.7722222222222223,0.21666666666666667,0.011111111111111112
residual_stability_by_season,24h_prior,JJA,184,184,2.075,1.3897851388759477,2.1999999999999997,1.0000000000000002,2.1000000000000014,2.1728260869565217,2.4953217096764515,-0.2883535899734577,-0.5501864125354654,-1.5,4.799999999999997,-0.9509999999999981,-0.3850000000000013,0.09999999999999888,1.0,2.1999999999999997,3.1000000000000014,3.87,4.100000000000001,4.599999999999999,0.9021739130434783,0.08695652173913043,0.010869565217391304
residual_stability_by_season,24h_prior,MAM,184,184,1.4853260869565215,1.6981030567803885,1.6500000000000004,1.1500000000000004,2.300000000000001,1.8635869565217391,2.2525709948759713,-0.03806309898356333,0.3668838643302914,-2.8000000000000007,7.600000000000001,-2.534,-1.3000000000000007,-0.6999999999999993,0.3999999999999986,1.6500000000000004,2.6999999999999997,3.400000000000002,4.069999999999998,5.016999999999999,0.7880434782608695,0.1956521739130435,0.016304347826086956
residual_stability_by_season,24h_prior,SON,182,182,1.2939560439560436,1.6506207632689407,1.299999999999999,1.200000000000001,2.4000000000000004,1.7401098901098897,2.0937767547905146,-0.2927868188202218,-0.2798910379032429,-4.0,4.699999999999999,-2.419000000000002,-1.400000000000002,-0.9799999999999998,0.0999999999999987,1.299999999999999,2.499999999999999,3.3000000000000007,3.7949999999999964,4.419000000000001,0.7527472527472527,0.22527472527472528,0.02197802197802198
residual_stability_by_season,6h_prior,DJF,180,180,0.8061111111111112,1.2091903144814011,0.6999999999999993,0.6000000000000015,1.299999999999998,1.0894444444444444,1.45045969724544,0.6288428517176353,2.4602390731904915,-3.0,5.199999999999999,-2.147,-0.8050000000000005,-0.41000000000000164,0.1000000000000014,0.6999999999999993,1.3999999999999995,2.3000000000000007,2.904999999999997,4.963000000000001,0.7777777777777778,0.2111111111111111,0.011111111111111112
residual_stability_by_season,6h_prior,JJA,184,184,2.0847826086956522,1.3060543995405696,2.0999999999999996,0.9999999999999982,1.9000000000000021,2.1695652173913045,2.458216037486641,-0.4156261749612794,-0.12719474720764712,-2.0,4.699999999999996,-1.1189999999999998,-0.0999999999999978,0.3999999999999986,1.1999999999999993,2.0999999999999996,3.1000000000000014,3.700000000000002,4.1000000000000005,4.351,0.9347826086956522,0.059782608695652176,0.005434782608695652
residual_stability_by_season,6h_prior,MAM,184,184,1.523369565217391,1.501200814192806,1.6000000000000014,0.8999999999999986,1.8000000000000007,1.8233695652173914,2.1358864364860826,-0.2354238075502761,0.4234944494862911,-2.900000000000002,6.5,-2.317,-0.9000000000000021,-0.5699999999999984,0.6999999999999993,1.6000000000000014,2.5,3.3,3.899999999999999,4.416999999999997,0.8260869565217391,0.16847826086956522,0.005434782608695652
residual_stability_by_season,6h_prior,SON,182,182,1.304945054945055,1.5581288350382396,1.2000000000000028,1.0999999999999996,2.1750000000000034,1.6181318681318682,2.029115002238092,0.04993819054111056,-0.46777354619936595,-2.700000000000003,5.399999999999999,-1.8139999999999996,-1.2000000000000026,-0.6000000000000011,0.1999999999999957,1.2000000000000028,2.374999999999999,3.4000000000000017,3.8949999999999982,4.538000000000003,0.7857142857142857,0.1813186813186813,0.03296703296703297
residual_stability_by_season,ALL_DATE_RULES,DJF,720,180,0.8065277777777778,1.1803439536926084,0.6999999999999993,0.6000000000000015,1.2999999999999972,1.0879166666666666,1.4289030369093938,0.6089224932749159,1.8823662607198735,-3.0,5.199999999999999,-1.9809999999999997,-0.9050000000000017,-0.5,0.1000000000000014,0.6999999999999993,1.3999999999999986,2.3000000000000007,2.904999999999994,4.899999999999999,0.7708333333333334,0.21666666666666667,0.0125
