transition,dates,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
24h_to_12h,730,mean_forecast_revision_c,0.021643835616438317,ordinary_date,,-0.030688356164383618,0.0728767123287671,10000,20260801,settlement_date
24h_to_12h,730,mean_absolute_forecast_revision_c,0.4717808219178082,ordinary_date,,0.43383219178082183,0.5104109589041096,10000,20260801,settlement_date
24h_to_12h,730,mean_absolute_error_improvement_c,0.06164383561643834,ordinary_date,,0.015476027397260266,0.10698630136986301,10000,20260801,settlement_date
24h_to_12h,730,mean_squared_error_improvement_c2,0.27643835616438367,ordinary_date,,0.07334212328767135,0.47639726027397256,10000,20260801,settlement_date
24h_to_12h,730,improved_date_fraction,0.4794520547945205,ordinary_date,,0.44246575342465755,0.5150684931506849,10000,20260801,settlement_date
24h_to_12h,730,directionally_correct_fraction_among_updates,0.6225490196078431,ordinary_date,,0.5831987075928917,0.6602254428341385,10000,20260801,settlement_date
24h_to_12h,730,mean_forecast_revision_c,0.021643835616438317,circular_moving_block,3.0,-0.031373287671232965,0.0730136986301369,10000,20260802,settlement_date
24h_to_12h,730,mean_absolute_forecast_revision_c,0.4717808219178082,circular_moving_block,3.0,0.4317773972602739,0.5135616438356164,10000,20260802,settlement_date
24h_to_12h,730,mean_absolute_error_improvement_c,0.06164383561643834,circular_moving_block,3.0,0.013835616438356124,0.11014041095890413,10000,20260802,settlement_date
24h_to_12h,730,mean_squared_error_improvement_c2,0.27643835616438367,circular_moving_block,3.0,0.06595856164383576,0.4950863013698629,10000,20260802,settlement_date
24h_to_12h,730,improved_date_fraction,0.4794520547945205,circular_moving_block,3.0,0.4410958904109589,0.5178082191780822,10000,20260802,settlement_date
24h_to_12h,730,directionally_correct_fraction_among_updates,0.6225490196078431,circular_moving_block,3.0,0.5831960461285008,0.6619047619047619,10000,20260802,settlement_date
24h_to_12h,730,mean_forecast_revision_c,0.021643835616438317,circular_moving_block,5.0,-0.03082191780821922,0.07575342465753425,10000,20260803,settlement_date
24h_to_12h,730,mean_absolute_forecast_revision_c,0.4717808219178082,circular_moving_block,5.0,0.42890410958904107,0.5158938356164383,10000,20260803,settlement_date
24h_to_12h,730,mean_absolute_error_improvement_c,0.06164383561643834,circular_moving_block,5.0,0.01342465753424652,0.11205479452054792,10000,20260803,settlement_date
24h_to_12h,730,mean_squared_error_improvement_c2,0.27643835616438367,circular_moving_block,5.0,0.06128732876712283,0.510592808219178,10000,20260803,settlement_date
24h_to_12h,730,improved_date_fraction,0.4794520547945205,circular_moving_block,5.0,0.4397260273972603,0.5205479452054794,10000,20260803,settlement_date
24h_to_12h,730,directionally_correct_fraction_among_updates,0.6225490196078431,circular_moving_block,5.0,0.5822141904937024,0.6628099173553719,10000,20260803,settlement_date
24h_to_12h,730,mean_forecast_revision_c,0.021643835616438317,circular_moving_block,7.0,-0.03013698630136998,0.07521232876712315,10000,20260804,settlement_date
24h_to_12h,730,mean_absolute_forecast_revision_c,0.4717808219178082,circular_moving_block,7.0,0.4280821917808219,0.5173972602739725,10000,20260804,settlement_date
24h_to_12h,730,mean_absolute_error_improvement_c,0.06164383561643834,circular_moving_block,7.0,0.011780821917808246,0.11287671232876713,10000,20260804,settlement_date
24h_to_12h,730,mean_squared_error_improvement_c2,0.27643835616438367,circular_moving_block,7.0,0.05314828767123307,0.510859589041096,10000,20260804,settlement_date
24h_to_12h,730,improved_date_fraction,0.4794520547945205,circular_moving_block,7.0,0.4383561643835616,0.5205479452054794,10000,20260804,settlement_date
24h_to_12h,730,directionally_correct_fraction_among_updates,0.6225490196078431,circular_moving_block,7.0,0.5804311774461028,0.6633170016750418,10000,20260804,settlement_date
12h_to_6h,730,mean_forecast_revision_c,-0.010821917808219181,ordinary_date,,-0.024931506849315062,0.002328767123287661,10000,20260901,settlement_date
12h_to_6h,730,mean_absolute_forecast_revision_c,0.03465753424657534,ordinary_date,,0.02232876712328767,0.04904109589041095,10000,20260901,settlement_date
12h_to_6h,730,mean_absolute_error_improvement_c,-0.004246575342465752,ordinary_date,,-0.016164383561643812,0.007671232876712308,10000,20260901,settlement_date
12h_to_6h,730,mean_squared_error_improvement_c2,-0.012041095890410991,ordinary_date,,-0.052315753424657566,0.02843972602739715,10000,20260901,settlement_date
12h_to_6h,730,improved_date_fraction,0.026027397260273973,ordinary_date,,0.015068493150684932,0.038356164383561646,10000,20260901,settlement_date
12h_to_6h,730,directionally_correct_fraction_among_updates,0.5348837209302325,ordinary_date,,0.38457446808510676,0.6862745098039216,10000,20260901,settlement_date
12h_to_6h,730,mean_forecast_revision_c,-0.010821917808219181,circular_moving_block,3.0,-0.02493493150684931,0.0028767123287671056,10000,20260902,settlement_date
12h_to_6h,730,mean_absolute_forecast_revision_c,0.03465753424657534,circular_moving_block,3.0,0.021369863013698635,0.05,10000,20260902,settlement_date
12h_to_6h,730,mean_absolute_error_improvement_c,-0.004246575342465752,circular_moving_block,3.0,-0.01657534246575342,0.008082191780821911,10000,20260902,settlement_date
12h_to_6h,730,mean_squared_error_improvement_c2,-0.012041095890410991,circular_moving_block,3.0,-0.053644520547945204,0.029385273972602717,10000,20260902,settlement_date
