analysis,transition,season,dates,mean_revision_c,mean_absolute_revision_c,mean_absolute_error_improvement_c,improved_date_fraction,directionally_correct_fraction_among_updates
by_season,12h_to_6h,DJF,180,-0.035,0.05277777777777776,-0.006111111111111102,0.03888888888888889,0.5263157894736842
by_season,12h_to_6h,JJA,184,-0.016304347826086956,0.03152173913043481,-0.016304347826086956,0.021739130434782608,0.4444444444444444
by_season,12h_to_6h,MAM,184,-0.02065217391304348,0.02391304347826088,-0.02173913043478259,0.0,0.16666666666666666
by_season,12h_to_6h,SON,182,0.028571428571428567,0.030769230769230757,0.027472527472527455,0.04395604395604396,0.8888888888888888
by_season,12h_to_open,DJF,180,0.03222222222222226,0.43999999999999984,0.058888888888888886,0.43333333333333335,0.6158940397350994
by_season,12h_to_open,JJA,184,-0.014130434782608626,0.48369565217391297,-0.028260869565217315,0.41304347826086957,0.4968944099378882
by_season,12h_to_open,MAM,184,0.040760869565217385,0.5429347826086957,0.053804347826086986,0.47282608695652173,0.5802469135802469
by_season,12h_to_open,SON,182,-0.03956043956043959,0.5065934065934066,0.08681318681318684,0.521978021978022,0.6474358974358975
by_season,24h_to_12h,DJF,180,0.1388888888888888,0.43888888888888883,0.07111111111111107,0.4722222222222222,0.6737588652482269
by_season,24h_to_12h,JJA,184,0.00652173913043474,0.4304347826086957,0.019565217391304367,0.43478260869565216,0.5448717948717948
by_season,24h_to_12h,MAM,184,-0.017391304347826014,0.5402173913043476,0.06195652173913044,0.4782608695652174,0.6265822784810127
by_season,24h_to_12h,SON,182,-0.039560439560439656,0.476923076923077,0.09450549450549446,0.532967032967033,0.6496815286624203
by_season,24h_to_6h,DJF,180,0.10388888888888878,0.45722222222222203,0.06499999999999997,0.48333333333333334,0.673469387755102
by_season,24h_to_6h,JJA,184,-0.009782608695652216,0.44891304347826094,0.003260869565217405,0.43478260869565216,0.53125
by_season,24h_to_6h,MAM,184,-0.0380434782608695,0.5586956521739129,0.04021739130434785,0.4673913043478261,0.6086956521739131
by_season,24h_to_6h,SON,182,-0.010989010989011087,0.4747252747252749,0.12197802197802192,0.5659340659340659,0.675
by_season,24h_to_open,DJF,180,0.17111111111111105,0.6366666666666666,0.12999999999999998,0.5111111111111111,0.66875
by_season,24h_to_open,JJA,184,-0.007608695652173886,0.532608695652174,-0.00869565217391296,0.44021739130434784,0.5512820512820513
by_season,24h_to_open,MAM,184,0.023369565217391367,0.6407608695652173,0.11576086956521743,0.5108695652173914,0.6107784431137725
by_season,24h_to_open,SON,182,-0.07912087912087926,0.6164835164835164,0.1813186813186813,0.5989010989010989,0.7212121212121212
by_season,6h_to_open,DJF,180,0.06722222222222227,0.3894444444444443,0.06499999999999997,0.4111111111111111,0.6323529411764706
by_season,6h_to_open,JJA,184,0.0021739130434783303,0.4641304347826086,-0.011956521739130359,0.40217391304347827,0.5
by_season,6h_to_open,MAM,184,0.06141304347826086,0.521195652173913,0.07554347826086957,0.4782608695652174,0.5987261146496815
by_season,6h_to_open,SON,182,-0.06813186813186817,0.4813186813186813,0.05934065934065939,0.4835164835164835,0.6375838926174496
