model,transition,transition_family,early_rule,late_rule,dates,early_mean_crps_c,late_mean_crps_c,mean_crps_improvement_c,median_crps_improvement_c,improved_date_fraction,worsened_date_fraction,unchanged_date_fraction,mean_absolute_crps_change_c,q05_crps_improvement_c,q95_crps_improvement_c
raw,24h_to_12h,adjacent,24h_prior,12h_prior,365,1.806027397260274,1.7534246575342465,0.052602739726027414,0.0,0.4767123287671233,0.36712328767123287,0.15616438356164383,0.4235616438356165,-1.0,1.0
raw,12h_to_6h,adjacent,12h_prior,6h_prior,365,1.7534246575342465,1.7599999999999996,-0.006575342465753414,0.0,0.04657534246575343,0.049315068493150684,0.9041095890410958,0.053150684931506834,0.0,0.0
raw,6h_to_open,adjacent,6h_prior,event_day_open,365,1.7599999999999996,1.6632876712328764,0.09671232876712335,0.0,0.4273972602739726,0.3315068493150685,0.2410958904109589,0.4052054794520547,-0.7999999999999972,1.1999999999999993
raw,24h_to_6h,cumulative,24h_prior,6h_prior,365,1.806027397260274,1.7599999999999996,0.046027397260274,0.0,0.4931506849315068,0.38904109589041097,0.1178082191780822,0.43890410958904125,-1.0,1.0
raw,12h_to_open,cumulative,12h_prior,event_day_open,365,1.7534246575342465,1.6632876712328764,0.09013698630136996,0.0,0.4575342465753425,0.3726027397260274,0.16986301369863013,0.4490410958904109,-0.8000000000000036,1.1999999999999995
raw,24h_to_open,endpoint,24h_prior,event_day_open,365,1.806027397260274,1.6632876712328764,0.14273972602739737,0.09999999999999964,0.5260273972602739,0.36712328767123287,0.10684931506849316,0.54,-1.0799999999999985,1.3000000000000034
static,24h_to_12h,adjacent,24h_prior,12h_prior,365,0.9537274807185798,0.9279168309835972,0.025810649734982753,0.010758103511447736,0.5561643835616439,0.4438356164383562,0.0,0.2561480789902456,-0.5583141059587983,0.6717443829634373
static,12h_to_6h,adjacent,12h_prior,6h_prior,365,0.9279168309835972,0.9195140756294873,0.00840275535410979,8.574453426035689e-05,0.5205479452054794,0.4794520547945205,0.0,0.031369698660721576,-0.012761364623238514,0.05740382290009411
static,6h_to_open,adjacent,6h_prior,event_day_open,365,0.9195140756294873,0.8458598128561484,0.07365426277333904,0.016124330419065136,0.589041095890411,0.410958904109589,0.0,0.2549852637968373,-0.5060176729135869,0.8215856701818178
static,24h_to_6h,cumulative,24h_prior,6h_prior,365,0.9537274807185798,0.9195140756294873,0.03421340508909255,0.011904351710187888,0.5452054794520548,0.4547945205479452,0.0,0.26766417230283457,-0.5566044694871815,0.7012213791079441
static,12h_to_open,cumulative,12h_prior,event_day_open,365,0.9279168309835972,0.8458598128561484,0.08205701812744882,0.01642749061019677,0.5863013698630137,0.4136986301369863,0.0,0.27496456167221006,-0.5039052424942152,0.8825355037863516
static,24h_to_open,endpoint,24h_prior,event_day_open,365,0.9537274807185798,0.8458598128561484,0.10786766786243158,0.0551591628597925,0.6301369863013698,0.3698630136986301,0.0,0.3262366556768654,-0.6409174485717305,0.9882919118105553
rbf,24h_to_12h,adjacent,24h_prior,12h_prior,365,0.9342266031041094,0.8865075766731507,0.04771902643095891,0.024951408900000027,0.5643835616438356,0.43561643835616437,0.0,0.28396588343863016,-0.6072188544,0.6959925160800002
rbf,12h_to_6h,adjacent,12h_prior,6h_prior,365,0.8865075766731507,0.8857460286764383,0.0007615479967123346,-0.0002523112000000216,0.4876712328767123,0.5123287671232877,0.0,0.03437103400438355,-0.026070893820000007,0.024706175159999975
