target_date,validation_block,chronological_index,target_date_dt,season,year,mean_deterministic_forecast_c,mean_hko_settlement_c,mean_raw_crps_c,mean_static_residual_correction_c,mean_static_predictive_sd_c,mean_static_crps_c,mean_raw_absolute_error_c,mean_deterministic_forecast_c_quartile,mean_static_residual_correction_c_quartile,mean_static_predictive_sd_c_quartile,mean_raw_absolute_error_c_quartile,loss_difference_c,improvement_c
2025-03-16,1,1,2025-03-16,MAM,2025,20.45,20.9,0.4999999999999991,1.4106164383561643,1.3698784900271492,0.5952590629221077,0.4999999999999991,Q1,Q1,Q1,Q1,0.3822230429778922,-0.3822230429778922
2025-03-17,1,2,2025-03-17,MAM,2025,18.35,18.4,0.45000000000000107,1.4106164383561643,1.3698784900271492,0.8515078483923408,0.45000000000000107,Q1,Q1,Q1,Q1,0.3792437231576591,-0.3792437231576591
2025-03-18,1,3,2025-03-18,MAM,2025,21.725,19.8,1.9249999999999998,1.4106164383561643,1.3698784900271492,2.570477575085699,1.9249999999999998,Q1,Q1,Q1,Q3,0.4303076160393009,-0.4303076160393009
2025-03-19,1,4,2025-03-19,MAM,2025,20.5,22.8,2.3000000000000007,1.4106164383561643,1.3698784900271492,0.5428962347411708,2.3000000000000007,Q1,Q1,Q1,Q3,-0.16915562976617077,0.16915562976617077
2025-03-20,1,5,2025-03-20,MAM,2025,21.55,24.4,2.849999999999998,1.4106164383561643,1.3698784900271492,0.8740935988417348,2.849999999999998,Q1,Q1,Q1,Q4,-0.22529553994173468,0.22529553994173468
2025-03-21,1,6,2025-03-21,MAM,2025,23.1,25.9,2.799999999999997,1.4106164383561643,1.3698784900271492,0.8389718739083898,2.799999999999997,Q2,Q1,Q1,Q4,0.05877712396661017,-0.05877712396661017
2025-03-22,1,7,2025-03-22,MAM,2025,24.225,26.3,2.075000000000001,1.4106164383561643,1.3698784900271492,0.4745547108556364,2.075000000000001,Q2,Q1,Q1,Q3,0.15427061329436365,-0.15427061329436365
2025-03-23,1,8,2025-03-23,MAM,2025,25.3,26.9,1.599999999999998,1.4106164383561643,1.3698784900271492,0.330578675073262,1.599999999999998,Q2,Q1,Q1,Q3,0.10949855547673798,-0.10949855547673798
2025-03-24,1,9,2025-03-24,MAM,2025,26.525,27.7,1.174999999999999,1.4106164383561643,1.3698784900271492,0.3365292894726837,1.174999999999999,Q2,Q1,Q1,Q2,0.023709054502316307,-0.023709054502316307
2025-03-25,1,10,2025-03-25,MAM,2025,26.5,28.4,1.8999999999999977,1.4106164383561643,1.3698784900271492,0.5210637330347838,1.8999999999999977,Q2,Q1,Q1,Q3,0.11357315796521616,-0.11357315796521616
