contrast,scenario,dates_remaining,mean_loss_difference_c,change_from_full_c,removed_dates
static_minus_raw,full_sample,365,-0.8339303814598961,0.0,
static_minus_raw,remove_1_most_model_favouring_dates,364,-0.8297069102290726,0.00422347123082345,2025-09-16
static_minus_raw,remove_1_most_benchmark_favouring_dates,364,-0.838832698156723,-0.004902316696826947,2025-11-27
static_minus_raw,remove_1_largest_absolute_dates,364,-0.8297069102290726,0.00422347123082345,2025-09-16
static_minus_raw,remove_5_most_model_favouring_dates,360,-0.8129515217531416,0.020978859706754505,2025-09-16|2025-09-14|2025-09-15|2026-03-14|2026-03-15
static_minus_raw,remove_5_most_benchmark_favouring_dates,360,-0.8580621805517248,-0.02413179909182872,2025-11-27|2025-12-13|2026-02-17|2025-11-01|2025-11-28
static_minus_raw,remove_5_largest_absolute_dates,360,-0.8129515217531416,0.020978859706754505,2025-09-16|2025-09-14|2025-09-15|2026-03-14|2026-03-15
static_minus_raw,remove_validation_block_1,274,-0.7812135232055453,0.052716858254350796,
static_minus_raw,remove_validation_block_2,274,-0.6075088125532851,0.22642156890661091,
static_minus_raw,remove_validation_block_3,274,-0.9103376640573605,-0.07640728259746443,
static_minus_raw,remove_validation_block_4,273,-1.037404130948535,-0.20347374948863883,
rbf_minus_static,full_sample,365,-0.03419308160811756,0.0,
rbf_minus_static,remove_1_most_model_favouring_dates,364,-0.031057549160053485,0.003135532448064079,2025-09-14
rbf_minus_static,remove_1_most_benchmark_favouring_dates,364,-0.03644797496274293,-0.0022548933546253647,2025-09-23
rbf_minus_static,remove_1_largest_absolute_dates,364,-0.031057549160053485,0.003135532448064079,2025-09-14
rbf_minus_static,remove_5_most_model_favouring_dates,360,-0.021250495482186597,0.012942586125930966,2025-09-14|2025-09-16|2025-09-15|2025-09-17|2025-12-24
rbf_minus_static,remove_5_most_benchmark_favouring_dates,360,-0.0432792268988563,-0.009086145290738736,2025-09-23|2025-09-19|2025-03-18|2025-09-22|2025-09-20
rbf_minus_static,remove_5_largest_absolute_dates,360,-0.025121058552180997,0.009072023055936566,2025-09-14|2025-09-16|2025-09-15|2025-09-17|2025-09-23
rbf_minus_static,remove_validation_block_1,274,-0.0547870130584147,-0.020593931450297136,
rbf_minus_static,remove_validation_block_2,274,-0.030229146398448398,0.003963935209669166,
rbf_minus_static,remove_validation_block_3,274,-0.029770153935249004,0.00442292767286856,
rbf_minus_static,remove_validation_block_4,273,-0.02194129850347993,0.012251783104637634,
matern_minus_static,full_sample,365,-0.04841455108832304,0.0,
matern_minus_static,remove_1_most_model_favouring_dates,364,-0.045298955492471066,0.0031155955958519777,2025-09-14
matern_minus_static,remove_1_most_benchmark_favouring_dates,364,-0.050779257109377536,-0.0023647060210544926,2025-09-23
matern_minus_static,remove_1_largest_absolute_dates,364,-0.045298955492471066,0.0031155955958519777,2025-09-14
matern_minus_static,remove_5_most_model_favouring_dates,360,-0.035150886238783825,0.013263664849539218,2025-09-14|2025-09-16|2025-09-15|2025-09-17|2025-12-24
matern_minus_static,remove_5_most_benchmark_favouring_dates,360,-0.05760721916142574,-0.009192668073102699,2025-09-23|2025-09-19|2025-09-22|2025-09-20|2025-03-18
matern_minus_static,remove_5_largest_absolute_dates,360,-0.03957765780537545,0.008836893282947594,2025-09-14|2025-09-16|2025-09-15|2025-09-17|2025-09-23
matern_minus_static,remove_validation_block_1,274,-0.07605152501589646,-0.027636973927573416,
matern_minus_static,remove_validation_block_2,274,-0.044154539008941104,0.004260012079381939,
matern_minus_static,remove_validation_block_3,274,-0.050722455376489874,-0.00230790428816683,
matern_minus_static,remove_validation_block_4,273,-0.02263560119322352,0.025778949895099525,
matern_minus_rbf,full_sample,365,-0.014221469480205487,0.0,
matern_minus_rbf,remove_1_most_model_favouring_dates,364,-0.013389426312225276,0.0008320431679802107,2026-01-27
matern_minus_rbf,remove_1_most_benchmark_favouring_dates,364,-0.014600483705494511,-0.000379014225289024,2026-02-13
matern_minus_rbf,remove_1_largest_absolute_dates,364,-0.013389426312225276,0.0008320431679802107,2026-01-27
matern_minus_rbf,remove_5_most_model_favouring_dates,360,-0.01078379182777778,0.0034376776524277074,2026-01-27|2026-01-13|2026-02-11|2026-02-27|2026-02-07
matern_minus_rbf,remove_5_most_benchmark_favouring_dates,360,-0.01595840191902778,-0.0017369324388222945,2026-02-13|2025-04-15|2025-10-20|2025-09-21|2026-02-16
matern_minus_rbf,remove_5_largest_absolute_dates,360,-0.01078379182777778,0.0034376776524277074,2026-01-27|2026-01-13|2026-02-11|2026-02-27|2026-02-07
matern_minus_rbf,remove_validation_block_1,274,-0.021264511957481753,-0.0070430424772762665,
matern_minus_rbf,remove_validation_block_2,274,-0.013925392610492705,0.000296076869712782,
matern_minus_rbf,remove_validation_block_3,274,-0.020952301441240877,-0.00673083196103539,
matern_minus_rbf,remove_validation_block_4,273,-0.0006943026897435946,0.013527166790461892,
rbf_minus_raw,full_sample,365,-0.8681234630680137,0.0,
rbf_minus_raw,remove_1_most_model_favouring_dates,364,-0.8607880309040522,0.007335432163961486,2025-09-14
rbf_minus_raw,remove_1_most_benchmark_favouring_dates,364,-0.8746823458127061,-0.006558882744692407,2025-09-23
rbf_minus_raw,remove_1_largest_absolute_dates,364,-0.8607880309040522,0.007335432163961486,2025-09-14
rbf_minus_raw,remove_5_most_model_favouring_dates,360,-0.8346276572275001,0.03349580584051359,2025-09-14|2025-09-16|2025-09-15|2025-09-17|2025-09-26
rbf_minus_raw,remove_5_most_benchmark_favouring_dates,360,-0.896804351788125,-0.02868088872011132,2025-09-23|2025-03-18|2025-04-01|2025-04-04|2025-09-22
rbf_minus_raw,remove_5_largest_absolute_dates,360,-0.8346276572275001,0.03349580584051359,2025-09-14|2025-09-16|2025-09-15|2025-09-17|2025-09-26
rbf_minus_raw,remove_validation_block_1,274,-0.8360005362639599,0.03212292680405382,
rbf_minus_raw,remove_validation_block_2,274,-0.6377379589517336,0.23038550411628012,
rbf_minus_raw,remove_validation_block_3,274,-0.9401078179926096,-0.07198435492459587,
rbf_minus_raw,remove_validation_block_4,273,-1.0593454294520146,-0.1912219663840009,
matern_minus_raw,full_sample,365,-0.8823449325482193,0.0,
matern_minus_raw,remove_1_most_model_favouring_dates,364,-0.87502943723647,0.007315495311749354,2025-09-14
matern_minus_raw,remove_1_most_benchmark_favouring_dates,364,-0.8890136279593408,-0.0066686954111214725,2025-09-23
matern_minus_raw,remove_1_largest_absolute_dates,364,-0.87502943723647,0.007315495311749354,2025-09-14
matern_minus_raw,remove_5_most_model_favouring_dates,360,-0.8488777878829167,0.03346714466530265,2025-09-14|2025-09-16|2025-09-15|2025-09-17|2025-09-29
matern_minus_raw,remove_5_most_benchmark_favouring_dates,360,-0.9107146167468749,-0.028369684198655598,2025-09-23|2025-10-20|2025-03-18|2025-04-04|2025-09-22
matern_minus_raw,remove_5_largest_absolute_dates,360,-0.8488777878829167,0.03346714466530265,2025-09-14|2025-09-16|2025-09-15|2025-09-17|2025-09-29
matern_minus_raw,remove_validation_block_1,274,-0.8572650482214416,0.025079884326777768,
matern_minus_raw,remove_validation_block_2,274,-0.6516633515622262,0.23068158098599312,
matern_minus_raw,remove_validation_block_3,274,-0.9610601194338505,-0.07871518688563117,
matern_minus_raw,remove_validation_block_4,273,-1.0600397321417583,-0.17769479959353895,
