scope_type,scope_value,contrast,model,benchmark,primary,dates,metric,point_estimate,bootstrap_method,block_parameter_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_dates,static_minus_raw,static,raw,True,365,mean_loss_difference_c,-0.8339303814598961,ordinary_date,,-0.946673147756632,-0.7204182534814287,10000,20260802,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_improvement_c,0.8339303814598961,ordinary_date,,0.7204182534814287,0.946673147756632,10000,20260802,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,median_loss_difference_c,-1.0142907337261,ordinary_date,,-1.2556944497250337,-0.7368022254095741,10000,20260802,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,model_better_fraction,0.7041095890410959,ordinary_date,,0.6575342465753424,0.7506849315068493,10000,20260802,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_loss_difference_c,-0.03419308160811756,ordinary_date,,-0.05391923877923258,-0.015458664480125096,10000,20260802,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_improvement_c,0.03419308160811756,ordinary_date,,0.015458664480125095,0.05391923877923258,10000,20260802,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,median_loss_difference_c,-0.0037003404648978666,ordinary_date,,-0.0077570822035925024,-0.0004614997043843605,10000,20260802,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,model_better_fraction,0.5643835616438356,ordinary_date,,0.5123287671232877,0.6164383561643836,10000,20260802,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_loss_difference_c,-0.04841455108832304,ordinary_date,,-0.06996850246199533,-0.0273387923565425,10000,20260802,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_improvement_c,0.04841455108832304,ordinary_date,,0.02733879235654249,0.06996850246199533,10000,20260802,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,median_loss_difference_c,-0.0147809350191217,ordinary_date,,-0.02635222968512152,-0.0011749242321607012,10000,20260802,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,model_better_fraction,0.5589041095890411,ordinary_date,,0.5068493150684932,0.6109589041095891,10000,20260802,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_loss_difference_c,-0.014221469480205487,ordinary_date,,-0.020528841774933214,-0.0079036960862911,10000,20260802,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_improvement_c,0.014221469480205487,ordinary_date,,0.0079036960862911,0.020528841774933214,10000,20260802,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,median_loss_difference_c,-0.007223284425000087,ordinary_date,,-0.013855216549999994,-0.002375295849999959,10000,20260802,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,model_better_fraction,0.5671232876712329,ordinary_date,,0.5150684931506849,0.6164383561643836,10000,20260802,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_loss_difference_c,-0.8681234630680137,ordinary_date,,-0.9850805351830042,-0.7503800293893527,10000,20260802,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_improvement_c,0.8681234630680137,ordinary_date,,0.7503800293893527,0.9850805351830042,10000,20260802,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,median_loss_difference_c,-0.9972931454749986,ordinary_date,,-1.2010049605249997,-0.7272167565250003,10000,20260802,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,model_better_fraction,0.7041095890410959,ordinary_date,,0.6575342465753424,0.7506849315068493,10000,20260802,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_loss_difference_c,-0.8823449325482193,ordinary_date,,-0.9982612363146713,-0.7659837691192275,10000,20260802,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_improvement_c,0.8823449325482193,ordinary_date,,0.7659837691192275,0.9982612363146713,10000,20260802,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,median_loss_difference_c,-0.9890612448000002,ordinary_date,,-1.1966072572500024,-0.7313065813250004,10000,20260802,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,model_better_fraction,0.7123287671232876,ordinary_date,,0.6657534246575343,0.7589041095890411,10000,20260802,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_loss_difference_c,-0.8339303814598961,circular_moving_block,3.0,-0.9886901208568883,-0.6750220847682181,10000,20260902,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_improvement_c,0.8339303814598961,circular_moving_block,3.0,0.6750220847682181,0.9886901208568883,10000,20260902,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,median_loss_difference_c,-1.0142907337261,circular_moving_block,3.0,-1.3074031083781679,-0.637622711438342,10000,20260902,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,model_better_fraction,0.7041095890410959,circular_moving_block,3.0,0.6438356164383562,0.7589041095890411,10000,20260902,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_loss_difference_c,-0.03419308160811756,circular_moving_block,3.0,-0.06213177561341118,-0.007881433832086168,10000,20260902,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_improvement_c,0.03419308160811756,circular_moving_block,3.0,0.007881433832086166,0.06213177561341117,10000,20260902,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,median_loss_difference_c,-0.0037003404648978666,circular_moving_block,3.0,-0.008162477377222144,-7.418329999864248e-05,10000,20260902,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,model_better_fraction,0.5643835616438356,circular_moving_block,3.0,0.5041095890410959,0.6219178082191781,10000,20260902,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_loss_difference_c,-0.04841455108832304,circular_moving_block,3.0,-0.07975075239763078,-0.019028283973432494,10000,20260902,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_improvement_c,0.04841455108832304,circular_moving_block,3.0,0.019028283973432494,0.07975075239763078,10000,20260902,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,median_loss_difference_c,-0.0147809350191217,circular_moving_block,3.0,-0.03293623241877319,0.001116687705727093,10000,20260902,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,model_better_fraction,0.5589041095890411,circular_moving_block,3.0,0.4931506849315068,0.6246575342465753,10000,20260902,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_loss_difference_c,-0.014221469480205487,circular_moving_block,3.0,-0.022344767175803085,-0.006353202962635282,10000,20260902,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_improvement_c,0.014221469480205487,circular_moving_block,3.0,0.00635320296263528,0.022344767175803085,10000,20260902,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,median_loss_difference_c,-0.007223284425000087,circular_moving_block,3.0,-0.015835642049999987,-0.0002912285000000181,10000,20260902,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,model_better_fraction,0.5671232876712329,circular_moving_block,3.0,0.5013698630136987,0.6302054794520537,10000,20260902,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_loss_difference_c,-0.8681234630680137,circular_moving_block,3.0,-1.0315241842665386,-0.7016731751614956,10000,20260902,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_improvement_c,0.8681234630680137,circular_moving_block,3.0,0.7016731751614955,1.0315241842665386,10000,20260902,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,median_loss_difference_c,-0.9972931454749986,circular_moving_block,3.0,-1.2778017885749986,-0.6219004567250002,10000,20260902,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,model_better_fraction,0.7041095890410959,circular_moving_block,3.0,0.6465753424657534,0.7589041095890411,10000,20260902,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_loss_difference_c,-0.8823449325482193,circular_moving_block,3.0,-1.0444457795116362,-0.7177675171173427,10000,20260902,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_improvement_c,0.8823449325482193,circular_moving_block,3.0,0.7177675171173427,1.0444457795116362,10000,20260902,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,median_loss_difference_c,-0.9890612448000002,circular_moving_block,3.0,-1.2610340807500007,-0.6282979486000011,10000,20260902,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,model_better_fraction,0.7123287671232876,circular_moving_block,3.0,0.6547945205479452,0.7671232876712328,10000,20260902,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_loss_difference_c,-0.8339303814598961,circular_moving_block,5.0,-1.0206148827720871,-0.6466448108664965,10000,20261002,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_improvement_c,0.8339303814598961,circular_moving_block,5.0,0.6466448108664965,1.0206148827720871,10000,20261002,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,median_loss_difference_c,-1.0142907337261,circular_moving_block,5.0,-1.348116708230729,-0.5983801725782493,10000,20261002,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,model_better_fraction,0.7041095890410959,circular_moving_block,5.0,0.6356164383561644,0.7698630136986301,10000,20261002,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_loss_difference_c,-0.03419308160811756,circular_moving_block,5.0,-0.06587537408278266,-0.005506935199928563,10000,20261002,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_improvement_c,0.03419308160811756,circular_moving_block,5.0,0.0055069351999285625,0.06587537408278266,10000,20261002,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,median_loss_difference_c,-0.0037003404648978666,circular_moving_block,5.0,-0.009137031763705838,-1.9934656063758105e-05,10000,20261002,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,model_better_fraction,0.5643835616438356,circular_moving_block,5.0,0.5013698630136987,0.6273972602739726,10000,20261002,settlement_date
