model,scope,scope_value,rows,dates,mean_predictive_standard_deviation_c,median_predictive_standard_deviation_c,q10_predictive_standard_deviation_c,q90_predictive_standard_deviation_c,mean_central_50_width_c,mean_central_80_width_c,mean_central_90_width_c,aggregation
rbf,overall,all,1460,365,1.4367376366360276,1.451995987175,1.36540169263,1.499014145735,1.9381296192710276,3.682506735024727,4.726446225211849,equal target-date weight after averaging rules within date
rbf,decision_rule,24h_prior,365,365,1.510381788396164,1.5129446535,1.45545765994,1.5632055314,2.037474070338082,3.8712642910019177,4.968713925492329,equal target-date weight
rbf,decision_rule,12h_prior,365,365,1.4344525064583562,1.452596478,1.34388079692,1.51314267594,1.9350470254997256,3.676649710706575,4.718928815881096,equal target-date weight
rbf,decision_rule,6h_prior,365,365,1.432940638848219,1.4473971334,1.34644755628,1.50603981518,1.933007547084658,3.67277463810137,4.713955214036164,equal target-date weight
rbf,decision_rule,event_day_open,365,365,1.36917561284137,1.3920388955,1.2932486962,1.4136782418,1.8469898341616444,3.509338300289041,4.504186945437808,equal target-date weight
rbf,validation_block,fold_01,364,91,1.388621703867033,1.412773561,1.3038125900500002,1.415818284375,1.8732222123142857,3.559180637078572,4.568158892136539,equal target-date weight after averaging rules within date
rbf,validation_block,fold_02,364,91,1.4348931820763735,1.451987235275,1.385574228325,1.452793823275,1.935641487892582,3.67777920777143,4.720378509679671,equal target-date weight after averaging rules within date
rbf,validation_block,fold_03,364,91,1.4526162258054944,1.477045140625,1.389422836075,1.4773619244,1.95954951055412,3.723205196646429,4.778682135188188,equal target-date weight after averaging rules within date
rbf,validation_block,fold_04,368,92,1.4704489804673917,1.49748661515,1.3858341887425,1.4999288520775,1.9836055310290768,3.7689123859548914,4.837346677553533,equal target-date weight after averaging rules within date
rbf,rule_by_validation_block,12h_prior|fold_01,91,91,1.3798999860065937,1.4101487482,1.2774182616,1.4137525914,1.8614567937,3.5368259747098905,4.539466993604396,equal target-date weight
rbf,rule_by_validation_block,24h_prior|fold_01,91,91,1.4483736152065934,1.4564313228,1.4141781626,1.4564313331,1.9538263158252749,3.7123309481351656,4.764725188326373,equal target-date weight
rbf,rule_by_validation_block,6h_prior|fold_01,91,91,1.3883116332065937,1.4200430338,1.2805847749,1.4244967281,1.872803933349451,3.558385893997802,4.567138850441758,equal target-date weight
rbf,rule_by_validation_block,event_day_open|fold_01,91,91,1.3379015810483517,1.3644711392,1.2437544667,1.3685934737,1.8048018063824176,3.429179731471429,4.401304536173626,equal target-date weight
rbf,rule_by_validation_block,12h_prior|fold_02,91,91,1.43090987338022,1.4527337053,1.3620348092,1.4537164783,1.9302680861087909,3.667569576773626,4.707274590151648,equal target-date weight
