model,scope_type,scope_value,nominal_coverage,rows,dates,decision_rules,empirical_coverage,coverage_error,mean_interval_width_c,median_interval_width_c,q10_interval_width_c,q90_interval_width_c
rbf,overall,all_dates,0.5,1460,365,4,0.44246575342465755,-0.05753424657534245,1.9381296192638857,1.94830099196232,1.8128504133692176,2.082469330466833
rbf,overall,all_dates,0.8,1460,365,4,0.7678082191780822,-0.03219178082191787,3.6825067350155,3.7018326604304157,3.444472335830303,3.9567566888637464
rbf,overall,all_dates,0.9,1460,365,4,0.8691780821917808,-0.03082191780821919,4.726446225196912,4.751250781929214,4.420932381380105,5.0784422302011025
rbf,decision_rule,24h_prior,0.5,365,365,1,0.40821917808219177,-0.09178082191780823,2.0374740703120793,2.0409313227994232,1.9633825469478068,2.1087322167582356
rbf,decision_rule,24h_prior,0.8,365,365,1,0.7643835616438356,-0.03561643835616446,3.8712642909783153,3.8778331785505173,3.730488085359974,4.006656992067296
rbf,decision_rule,24h_prior,0.9,365,365,1,0.863013698630137,-0.03698630136986303,4.968713925449763,4.97714500137263,4.788029621653225,5.142488575987789
rbf,decision_rule,12h_prior,0.5,365,365,1,0.4520547945205479,-0.04794520547945208,1.9350470254984797,1.9595228711638555,1.8128676460157649,2.0411984510116
rbf,decision_rule,12h_prior,0.8,365,365,1,0.7671232876712328,-0.03287671232876721,3.6766497107021645,3.7231545809709488,3.4445050783963014,3.8783407304865065
rbf,decision_rule,12h_prior,0.9,365,365,1,0.863013698630137,-0.03698630136986303,4.718928815875314,4.778617170670465,4.420974406008594,4.977796437229932
rbf,decision_rule,6h_prior,0.5,365,365,1,0.4575342465753425,-0.042465753424657526,1.933007547085098,1.952509061882978,1.8163301517748422,2.0316168374522237
rbf,decision_rule,6h_prior,0.8,365,365,1,0.7726027397260274,-0.0273972602739726,3.67277463809683,3.709828124547073,3.451083947348671,3.8601353658328605
rbf,decision_rule,6h_prior,0.9,365,365,1,0.8547945205479452,-0.045205479452054775,4.713955214031306,4.76151284902431,4.429418292894208,4.954430104664293
rbf,decision_rule,event_day_open,0.5,365,365,1,0.4520547945205479,-0.04794520547945208,1.8469898341598852,1.8778319337780474,1.7445659800826916,1.9070229683386344
rbf,decision_rule,event_day_open,0.8,365,365,1,0.7671232876712328,-0.03287671232876721,3.50933830028469,3.5679392516540034,3.3147297825072455,3.623403127910258
rbf,decision_rule,event_day_open,0.9,365,365,1,0.8958904109589041,-0.004109589041095929,4.504186945431264,4.579400452241394,4.254409616989664,4.650587566734219
rbf,validation_block,block_1,0.5,364,91,4,0.4065934065934066,-0.09340659340659341,1.8732222123162647,1.90521261430942,1.7380030193380342,1.9646960120807293
rbf,validation_block,block_1,0.8,364,91,4,0.7445054945054945,-0.05549450549450552,3.559180637080013,3.619963398782186,3.302259952366042,3.7329837100850263
rbf,validation_block,block_1,0.9,364,91,4,0.8434065934065934,-0.056593406593406614,4.568158892138444,4.646172722194093,4.238404763274307,4.791232721310603
rbf,validation_block,block_2,0.5,364,91,4,0.3901098901098901,-0.10989010989010989,1.9356414878735078,1.9533840267142804,1.8250818932588655,2.0409313227994232
rbf,validation_block,block_2,0.8,364,91,4,0.717032967032967,-0.082967032967033,3.6777792077585,3.7114905850203783,3.467712529171942,3.8778331785505173
rbf,validation_block,block_2,0.9,364,91,4,0.8516483516483516,-0.0483516483516484,4.720378509652524,4.763646593941562,4.4507608466067765,4.977145001372627
rbf,validation_block,block_3,0.5,364,91,4,0.47802197802197804,-0.021978021978021955,1.9595495105486458,1.9839610273649981,1.8445018782559388,2.092397523947369
rbf,validation_block,block_3,0.8,364,91,4,0.7884615384615384,-0.011538461538461608,3.72320519663304,3.7695878400819876,3.5046111064573764,3.9756205661788826
rbf,validation_block,block_3,0.9,364,91,4,0.8681318681318682,-0.031868131868131866,4.778682135169452,4.838213613539718,4.498119657839245,5.1026537546175845
rbf,validation_block,block_4,0.5,368,92,4,0.4945652173913043,-0.005434782608695676,1.9836055310230676,2.028588804980693,1.8361292775778453,2.1087322153418073
rbf,validation_block,block_4,0.8,368,92,4,0.8206521739130435,0.020652173913043415,3.768912385942894,3.854382009679881,3.488702903992374,4.006656989376038
rbf,validation_block,block_4,0.9,368,92,4,0.9130434782608695,0.01304347826086949,4.837346677537766,4.947045751986028,4.477701701023195,5.142488572533597
matern,overall,all_dates,0.5,1460,365,4,0.4602739726027397,-0.03972602739726028,1.9624239636103489,1.9748311546782773,1.816792972922308,2.0996195502780686
matern,overall,all_dates,0.8,1460,365,4,0.7828767123287671,-0.017123287671232945,3.728666747116557,3.7522407971781,3.4519633219661885,3.9893426414925814
matern,overall,all_dates,0.9,1460,365,4,0.8808219178082192,-0.019178082191780854,4.785691959325668,4.815948925013338,4.430546957996702,5.120265847611636
matern,decision_rule,24h_prior,0.5,365,365,1,0.41643835616438357,-0.08356164383561643,2.043345932127649,2.0483926904285283,1.9542528864150952,2.1305844489723897
matern,decision_rule,24h_prior,0.8,365,365,1,0.7698630136986301,-0.03013698630136996,3.882421011595962,3.8920100097972536,3.7131414455553156,4.0481769149372155
matern,decision_rule,24h_prior,0.9,365,365,1,0.8712328767123287,-0.02876712328767128,4.983033421337564,4.995340767287804,4.765765450499105,5.195778820063375
matern,decision_rule,12h_prior,0.5,365,365,1,0.473972602739726,-0.026027397260273977,1.96477626991436,1.9892052480352191,1.8174616006146358,2.083369022793846
matern,decision_rule,12h_prior,0.8,365,365,1,0.7863013698630137,-0.013698630136986356,3.733136202472504,3.779552022944703,3.4532337354389213,3.9584661323502575
matern,decision_rule,12h_prior,0.9,365,365,1,0.8684931506849315,-0.03150684931506853,4.791428443171017,4.851002503789626,4.432177516036294,5.080636277162962
matern,decision_rule,6h_prior,0.5,365,365,1,0.4767123287671233,-0.023287671232876728,1.9648900033169978,1.9864431996928609,1.8194528480329608,2.07794154436466
matern,decision_rule,6h_prior,0.8,365,365,1,0.7917808219178082,-0.008219178082191858,3.7333522994853388,3.7743040449343184,3.4570171676491186,3.948153754028925
matern,decision_rule,6h_prior,0.9,365,365,1,0.863013698630137,-0.03698630136986303,4.7917058006842765,4.844266796935038,4.437033498706507,5.067400482880176
matern,decision_rule,event_day_open,0.5,365,365,1,0.473972602739726,-0.026027397260273977,1.87668364908239,1.909385015390967,1.746265699487226,1.9640336522732624
matern,decision_rule,event_day_open,0.8,365,365,1,0.7835616438356164,-0.016438356164383605,3.5657574749124206,3.6278910909918665,3.3179593023972584,3.7317252057890515
matern,decision_rule,event_day_open,0.9,365,365,1,0.9205479452054794,0.020547945205479423,4.5766001721098135,4.656347804988286,4.258554660893648,4.789617448533896
matern,validation_block,block_1,0.5,364,91,4,0.3956043956043956,-0.10439560439560441,1.9075562707961153,1.9528618199548866,1.7412537334134874,1.9950048002635057
matern,validation_block,block_1,0.8,364,91,4,0.7417582417582418,-0.05824175824175826,3.624416419215414,3.710498375887699,3.3084364105128543,3.7905713530908764
matern,validation_block,block_1,0.9,364,91,4,0.8461538461538461,-0.05384615384615388,4.651888112044497,4.762373107306715,4.246332161482575,4.865145660916362
matern,validation_block,block_2,0.5,364,91,4,0.40384615384615385,-0.09615384615384615,1.9515831960971368,1.9790058959020183,1.8303113101336195,2.0483926902531655
matern,validation_block,block_2,0.8,364,91,4,0.7417582417582418,-0.05824175824175826,3.708068950672321,3.7601729357309353,3.4776485843614733,3.89201000946405
matern,validation_block,block_2,0.9,364,91,4,0.8708791208791209,-0.02912087912087913,4.759254973800148,4.826129714627193,4.463513635378998,4.995340766860143
matern,validation_block,block_3,0.5,364,91,4,0.48626373626373626,-0.013736263736263743,1.975642372318128,2.005967874712688,1.8433120633089588,2.1023242092013787
matern,validation_block,block_3,0.8,364,91,4,0.7939560439560439,-0.0060439560439561335,3.7537821359990975,3.8114015365287237,3.5023504209427894,3.9944815778165603
matern,validation_block,block_3,0.9,364,91,4,0.8681318681318682,-0.031868131868131866,4.817927211972868,4.891880911919113,4.49521809939397,5.126861600976874
matern,validation_block,block_4,0.5,368,92,4,0.5543478260869565,0.05434782608695654,2.014343471190672,2.059462666714243,1.841715225714595,2.1305829425804697
matern,validation_block,block_4,0.8,368,92,4,0.8532608695652174,0.05326086956521736,3.8273154311069724,3.9130433100592263,3.499316379701412,4.04817405274558
matern,validation_block,block_4,0.9,368,92,4,0.9375,0.03749999999999998,4.912306174483424,5.0223367159119725,4.491323949619295,5.195775146480183
