model,series,first_rule,second_rule,dates,pearson_correlation,pearson_nominal_iid_p_value,spearman_correlation,spearman_nominal_iid_p_value,p_value_interpretation
rbf,standardised_residual,24h_prior,12h_prior,365,0.8910828227348448,1.3409691277662222e-126,0.8910138672615749,1.4943965780977017e-126,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,standardised_residual,24h_prior,6h_prior,365,0.8827711086488692,3.8110481776022698e-121,0.8822811323937957,7.754255669768693e-121,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,standardised_residual,24h_prior,event_day_open,365,0.8351818241950947,2.776993751694015e-96,0.8354284686992357,2.1676765389450822e-96,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,standardised_residual,12h_prior,6h_prior,365,0.9835467748138578,7.315104772191236e-272,0.9813998711820406,2.8014514093809306e-262,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,standardised_residual,12h_prior,event_day_open,365,0.8773487831598799,8.327491911227147e-118,0.8778378818576439,4.2252152435438605e-118,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,standardised_residual,6h_prior,event_day_open,365,0.8915986248989853,5.949605027401998e-127,0.8923106536400947,1.9246284605916127e-127,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,squared_standardised_residual,24h_prior,12h_prior,365,0.7912629132308187,1.508026437991515e-79,0.7064985359590804,1.861569780437179e-56,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,squared_standardised_residual,24h_prior,6h_prior,365,0.7782964604946215,2.308123779046882e-75,0.6913617872956613,3.4732767955200184e-53,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,squared_standardised_residual,24h_prior,event_day_open,365,0.6437709552234647,4.2204632438004547e-44,0.6049900866178539,8.231624584037005e-38,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,squared_standardised_residual,12h_prior,6h_prior,365,0.9777758724934168,2.1687992821475732e-248,0.9585904551321126,4.280082028548449e-200,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,squared_standardised_residual,12h_prior,event_day_open,365,0.7429449815941305,2.9006333766560397e-65,0.6950348326723805,5.83117382241631e-54,Nominal IID reference only; correlations describe same-date cross-rule dependence.
rbf,squared_standardised_residual,6h_prior,event_day_open,365,0.7737917426557426,5.641327942800278e-74,0.7190223654629674,2.5197691993558806e-59,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,standardised_residual,24h_prior,12h_prior,365,0.8918751674069364,3.841771008647349e-127,0.8914498930218672,7.523828025385923e-127,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,standardised_residual,24h_prior,6h_prior,365,0.8840577973170636,5.811885247543044e-122,0.8833713782287778,1.589356911325129e-121,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,standardised_residual,24h_prior,event_day_open,365,0.8331890497547417,2.0243946430224158e-95,0.8300451849969029,4.4095556491212805e-94,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,standardised_residual,12h_prior,6h_prior,365,0.9835280254229362,8.979610923044865e-272,0.9817026674201614,1.4639694655392036e-263,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,standardised_residual,12h_prior,event_day_open,365,0.8756590828592254,8.489422548786078e-117,0.875220557569536,1.5423105445738428e-116,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,standardised_residual,6h_prior,event_day_open,365,0.8907275713180138,2.3413284473202146e-126,0.889791300098958,1.007817856778637e-125,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,squared_standardised_residual,24h_prior,12h_prior,365,0.7848292261231603,1.9549460815916448e-77,0.7142716479568042,3.2186586548879714e-58,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,squared_standardised_residual,24h_prior,6h_prior,365,0.7718601388589479,2.1717072903534182e-73,0.6985232822421236,1.0442528393388543e-54,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,squared_standardised_residual,24h_prior,event_day_open,365,0.6449408762897146,2.6385401362226825e-44,0.6094501052506892,1.7219373394138374e-38,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,squared_standardised_residual,12h_prior,6h_prior,365,0.9770752647755927,5.690494956301562e-246,0.9605409860743345,8.050873169985256e-204,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,squared_standardised_residual,12h_prior,event_day_open,365,0.7456851097986325,5.495145668902343e-66,0.6883868882072341,1.4453077648432163e-52,Nominal IID reference only; correlations describe same-date cross-rule dependence.
matern,squared_standardised_residual,6h_prior,event_day_open,365,0.7803456632078694,5.259523197326621e-76,0.7114857744994734,1.3995025445682888e-57,Nominal IID reference only; correlations describe same-date cross-rule dependence.
