model,scope_type,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,rows,dates
rbf,overall,all_dates,0.01,0.015753424657534248,0.005753424657534248,0.005753424657534248,3.3101895289923076e-05,1460,365
rbf,overall,all_dates,0.02,0.026027397260273973,0.006027397260273973,0.006027397260273973,3.6329517733158195e-05,1460,365
rbf,overall,all_dates,0.03,0.04246575342465753,0.012465753424657534,0.012465753424657534,0.00015539500844436105,1460,365
rbf,overall,all_dates,0.04,0.05547945205479452,0.01547945205479452,0.01547945205479452,0.00023961343591668232,1460,365
rbf,overall,all_dates,0.05,0.07328767123287672,0.023287671232876714,0.023287671232876714,0.0005423156314505537,1460,365
rbf,overall,all_dates,0.06,0.08698630136986302,0.02698630136986302,0.02698630136986302,0.0007282604616250706,1460,365
rbf,overall,all_dates,0.07,0.10136986301369863,0.03136986301369862,0.03136986301369862,0.0009840683054982168,1460,365
rbf,overall,all_dates,0.08,0.10753424657534247,0.027534246575342466,0.027534246575342466,0.0007581347344717583,1460,365
rbf,overall,all_dates,0.09,0.11575342465753424,0.025753424657534246,0.025753424657534246,0.0006632388815912929,1460,365
rbf,overall,all_dates,0.1,0.12876712328767123,0.028767123287671226,0.028767123287671226,0.0008275473822480762,1460,365
rbf,overall,all_dates,0.11,0.14246575342465753,0.03246575342465753,0.03246575342465753,0.0010540251454306622,1460,365
rbf,overall,all_dates,0.12,0.1541095890410959,0.0341095890410959,0.0341095890410959,0.0011634640645524494,1460,365
rbf,overall,all_dates,0.13,0.16164383561643836,0.031643835616438354,0.031643835616438354,0.0010013323325201726,1460,365
rbf,overall,all_dates,0.14,0.1780821917808219,0.038082191780821895,0.038082191780821895,0.0014502533308312986,1460,365
rbf,overall,all_dates,0.15,0.1917808219178082,0.041780821917808214,0.041780821917808214,0.0017456370801276033,1460,365
rbf,overall,all_dates,0.16,0.2,0.04000000000000001,0.04000000000000001,0.0016000000000000007,1460,365
rbf,overall,all_dates,0.17,0.2095890410958904,0.0395890410958904,0.0395890410958904,0.001567292174892099,1460,365
rbf,overall,all_dates,0.18,0.21986301369863015,0.039863013698630156,0.039863013698630156,0.0015890598611371755,1460,365
rbf,overall,all_dates,0.19,0.23424657534246576,0.04424657534246576,0.04424657534246576,0.001957759429536499,1460,365
rbf,overall,all_dates,0.2,0.24452054794520547,0.04452054794520546,0.04452054794520546,0.0019820791893413385,1460,365
rbf,overall,all_dates,0.21,0.25273972602739725,0.04273972602739726,0.04273972602739726,0.0018266841808969785,1460,365
rbf,overall,all_dates,0.22,0.26164383561643834,0.041643835616438335,0.041643835616438335,0.001734209044848938,1460,365
rbf,overall,all_dates,0.23,0.26986301369863014,0.03986301369863013,0.03986301369863013,0.0015890598611371734,1460,365
rbf,overall,all_dates,0.24,0.28356164383561644,0.04356164383561645,0.04356164383561645,0.0018976168136611005,1460,365
rbf,overall,all_dates,0.25,0.29863013698630136,0.048630136986301364,0.048630136986301364,0.002364890223306436,1460,365
rbf,overall,all_dates,0.26,0.3082191780821918,0.04821917808219178,0.04821917808219178,0.0023250891349221245,1460,365
rbf,overall,all_dates,0.27,0.3219178082191781,0.051917808219178074,0.051917808219178074,0.0026954588102833543,1460,365
rbf,overall,all_dates,0.28,0.3308219178082192,0.05082191780821915,0.05082191780821915,0.002582867329705383,1460,365
rbf,overall,all_dates,0.29,0.33972602739726027,0.049726027397260286,0.049726027397260286,0.0024726778007130804,1460,365
rbf,overall,all_dates,0.3,0.3452054794520548,0.04520547945205483,0.04520547945205483,0.0020435353724901515,1460,365
rbf,overall,all_dates,0.31,0.3561643835616438,0.04616438356164382,0.04616438356164382,0.00213115030962657,1460,365
rbf,overall,all_dates,0.32,0.37602739726027395,0.05602739726027395,0.05602739726027395,0.0031390692437605525,1460,365
rbf,overall,all_dates,0.33,0.37945205479452054,0.04945205479452053,0.04945205479452053,0.002445505723400261,1460,365
rbf,overall,all_dates,0.34,0.38904109589041097,0.049041095890410946,0.049041095890410946,0.0024050290861324813,1460,365
rbf,overall,all_dates,0.35,0.3958904109589041,0.045890410958904115,0.045890410958904115,0.002105929817977107,1460,365
rbf,overall,all_dates,0.36,0.40273972602739727,0.042739726027397285,0.042739726027397285,0.0018266841808969808,1460,365
rbf,overall,all_dates,0.37,0.4123287671232877,0.0423287671232877,0.0423287671232877,0.0017917245261775219,1460,365
rbf,overall,all_dates,0.38,0.42397260273972603,0.04397260273972603,0.04397260273972603,0.0019335897917057612,1460,365
rbf,overall,all_dates,0.39,0.4321917808219178,0.04219178082191777,0.04219178082191777,0.001780146368924748,1460,365
rbf,overall,all_dates,0.4,0.4465753424657534,0.0465753424657534,0.0465753424657534,0.002169262525802212,1460,365
rbf,overall,all_dates,0.41,0.45273972602739726,0.042739726027397285,0.042739726027397285,0.0018266841808969808,1460,365
rbf,overall,all_dates,0.42,0.45958904109589044,0.039589041095890454,0.039589041095890454,0.0015672921748921033,1460,365
rbf,overall,all_dates,0.43,0.4684931506849315,0.03849315068493153,0.03849315068493153,0.001481722649652845,1460,365
rbf,overall,all_dates,0.44,0.476027397260274,0.036027397260273986,0.036027397260273986,0.0012979733533495974,1460,365
rbf,overall,all_dates,0.45,0.4849315068493151,0.034931506849315064,0.034931506849315064,0.0012202101707637452,1460,365
rbf,overall,all_dates,0.46,0.4904109589041096,0.030410958904109553,0.030410958904109553,0.0009248264214674401,1460,365
rbf,overall,all_dates,0.47,0.5,0.030000000000000027,0.030000000000000027,0.0009000000000000016,1460,365
rbf,overall,all_dates,0.48,0.510958904109589,0.030958904109589014,0.030958904109589014,0.0009584537436667275,1460,365
