model,scope_type,scope_value,stratification_variable,quartile,rows,dates,variable_minimum,variable_maximum,variable_mean,mean_squared_standardised_residual,mean_absolute_standardised_residual,central_90_empirical_coverage,mean_crps_c
rbf,overall,all_dates,predictive_standard_deviation_c,Q1,365,203,1.2123394718,1.3956739117,1.3404955967758903,1.1304267726709558,0.8311538791566018,0.8794520547945206,0.7943291357802739
rbf,overall,all_dates,predictive_standard_deviation_c,Q2,365,277,1.3956777771,1.4442734118,1.4135913187172604,1.0882198585578093,0.8389817512084052,0.8931506849315068,0.8337859963520549
rbf,overall,all_dates,predictive_standard_deviation_c,Q3,365,230,1.4442819612,1.4978375868,1.4626151134753425,1.294121406240609,0.9434331037185718,0.8438356164383561,0.956647870969041
rbf,overall,all_dates,predictive_standard_deviation_c,Q4,365,253,1.4981692105,1.5632055454,1.5302485175756162,1.1187690838588036,0.875379176467541,0.8602739726027397,0.9254828706539727
rbf,decision_rule,24h_prior,predictive_standard_deviation_c,Q1,92,92,1.3569995968,1.4564313331,1.4406343382097824,1.393441694224958,0.9233475241841645,0.8586956521739131,0.9485244446402171
rbf,decision_rule,24h_prior,predictive_standard_deviation_c,Q2,91,91,1.4564313331,1.5129446535,1.5016335181230769,1.0349882373356534,0.8712728968928783,0.9010989010989011,0.8833712172450549
rbf,decision_rule,24h_prior,predictive_standard_deviation_c,Q3,91,91,1.5129446535,1.5510966056,1.5393122807021982,1.3391915252087163,0.9499775196048555,0.7912087912087912,1.030709378512088
rbf,decision_rule,24h_prior,predictive_standard_deviation_c,Q4,91,91,1.5510966056,1.5632055454,1.560713472046154,0.9671014168037456,0.8108139475127455,0.9010989010989011,0.8741442528813186
rbf,decision_rule,12h_prior,predictive_standard_deviation_c,Q1,92,92,1.2409627423,1.4088443683,1.348778854551087,1.2774064730586623,0.8716625392095093,0.8695652173913043,0.8474831272695652
rbf,decision_rule,12h_prior,predictive_standard_deviation_c,Q2,91,91,1.4091860789,1.452596478,1.4243539330615382,1.0449261995378096,0.7907485838809671,0.9010989010989011,0.8086503392758242
rbf,decision_rule,12h_prior,predictive_standard_deviation_c,Q3,91,91,1.4527337053,1.480449584,1.4641366751483522,1.4649250065252302,1.021913143081356,0.7692307692307693,1.0416507091164835
rbf,decision_rule,12h_prior,predictive_standard_deviation_c,Q4,91,91,1.4804549286,1.5148610596,1.5014820317747253,0.9787546874524965,0.832575079675497,0.9120879120879121,0.8486749711340659
rbf,decision_rule,6h_prior,predictive_standard_deviation_c,Q1,92,92,1.2428032039,1.4157694039,1.3525335153815217,1.167073789053697,0.8352156742394748,0.8586956521739131,0.8046133035673914
rbf,decision_rule,6h_prior,predictive_standard_deviation_c,Q2,91,91,1.4163465606,1.4473971334,1.4288286564637362,1.1389653161903774,0.8223711887743812,0.8901098901098901,0.8456797209098901
rbf,decision_rule,6h_prior,predictive_standard_deviation_c,Q3,91,91,1.4474914792,1.4709673295,1.4573103400153846,1.5220558166753664,1.0488234688807285,0.7582417582417582,1.0631580099934068
rbf,decision_rule,6h_prior,predictive_standard_deviation_c,Q4,91,91,1.4709674267,1.5075905221,1.4939736382956044,0.9533388454871594,0.8126764089507004,0.9120879120879121,0.8304246486428573
rbf,decision_rule,event_day_open,predictive_standard_deviation_c,Q1,92,92,1.2123394718,1.3544541485,1.29690002188587,0.9688402392503831,0.777181632427973,0.9239130434782609,0.7075536597141303
rbf,decision_rule,event_day_open,predictive_standard_deviation_c,Q2,91,91,1.3558667879,1.3920388955,1.3709755162252746,0.9813842282329676,0.7852765316168456,0.8901098901098901,0.7682838275527472
rbf,decision_rule,event_day_open,predictive_standard_deviation_c,Q3,91,91,1.392804458,1.4069123037,1.3988024720296703,1.2636370237405352,0.9501755722350947,0.8791208791208791,0.9159185321362637
