model,scope_type,scope_value,aggregation,rows,dates,mean,variance,standard_deviation,rmse,median,mean_absolute_value,skewness,excess_kurtosis,proportion_absolute_above_1,proportion_absolute_above_1_645,proportion_absolute_above_1_96,proportion_absolute_above_2_576
rbf,overall,all_dates,all_date_rule_rows,1460,365,-0.07449411743041195,1.1531247182511652,1.0738364485577705,1.0760503149630338,-0.07504047298547399,0.87223697763778,-0.03455948967599852,-0.09605051301217626,0.36232876712328765,0.13013698630136986,0.056164383561643834,0.015753424657534248
rbf,overall,all_dates,date_mean_across_rules,365,365,-0.07449411743041195,1.0619855128918276,1.0305268132813563,1.031806831278595,-0.1088488729248655,0.8426871166647696,-0.01000548825240582,-0.13838070502667987,0.36164383561643837,0.11232876712328767,0.038356164383561646,0.010958904109589041
rbf,decision_rule,24h_prior,within_rule_chronological_rows,365,365,-0.013603099443872134,1.187323302237883,1.0896436583754723,1.088234995760698,-0.028825131081813567,0.88894747767095,0.06554721501387366,-0.05136485915828093,0.38082191780821917,0.13424657534246576,0.0547945205479452,0.0136986301369863
rbf,decision_rule,12h_prior,within_rule_chronological_rows,365,365,-0.10999715274649605,1.1828798364362858,1.0876027935033479,1.091667734877904,-0.08736160232952381,0.8792041178392233,-0.06328151582690285,-0.0489249331296846,0.3698630136986301,0.136986301369863,0.06301369863013699,0.019178082191780823
rbf,decision_rule,6h_prior,within_rule_chronological_rows,365,365,-0.10051199831994895,1.1884342721532033,1.0901533250663429,1.093289051281592,-0.07449305580303255,0.8796496139483847,-0.1185471963390301,-0.008427142668137932,0.3561643835616438,0.14520547945205478,0.06027397260273973,0.019178082191780823
rbf,decision_rule,event_day_open,within_rule_chronological_rows,365,365,-0.0738642192113306,1.0577042192031734,1.0284474800412384,1.0296904011906851,-0.10412597786283113,0.8411467010925618,-0.020544137396388697,-0.34549456476216145,0.3424657534246575,0.10410958904109589,0.04657534246575343,0.010958904109589041
rbf,validation_block,block_1,all_date_rule_rows_within_block,364,91,0.1074671737103339,1.4788685464804785,1.216087392616369,1.2191615619878364,0.29897908873483836,0.9695358563698442,-0.4016157343633353,0.470038793322344,0.4258241758241758,0.1565934065934066,0.08791208791208792,0.04395604395604396
rbf,validation_block,block_2,all_date_rule_rows_within_block,364,91,0.5332611633594131,0.8896706836151325,0.9432235597222604,1.0824019594091907,0.6562670918399175,0.9042268615934731,-0.48830691527220493,0.03842114171421729,0.37362637362637363,0.14560439560439561,0.04945054945054945,0.0027472527472527475
rbf,validation_block,block_3,all_date_rule_rows_within_block,364,91,-0.4831386515733122,0.8137228546053578,0.9020658815216092,1.0222085447214864,-0.47617444413542853,0.8277426452050618,-0.04130909093184993,-0.5526705945309818,0.33791208791208793,0.13186813186813187,0.057692307692307696,0.008241758241758242
rbf,validation_block,block_4,all_date_rule_rows_within_block,368,92,-0.4514240678508252,0.7293675582281829,0.8540301857827877,0.9649711240253599,-0.504984507505934,0.7883642259724696,0.44354840902755466,0.6851503356710165,0.3125,0.08695652173913043,0.029891304347826088,0.008152173913043478
matern,overall,all_dates,all_date_rule_rows,1460,365,-0.05080692095057596,1.0970707836164304,1.0474114681520488,1.0482846505067054,-0.07233764316013372,0.8455099088865452,-0.0567729543393696,-0.035424501792975516,0.3541095890410959,0.11917808219178082,0.04863013698630137,0.015068493150684932
matern,overall,all_dates,date_mean_across_rules,365,365,-0.050806920950575915,1.0099530477262177,1.0049642022113114,1.0048718307781301,-0.07374597912187597,0.8146348130010589,-0.036591264092909,-0.0851212610247778,0.3424657534246575,0.09863013698630137,0.03561643835616438,0.010958904109589041
matern,decision_rule,24h_prior,within_rule_chronological_rows,365,365,-0.01260380936304376,1.1576128411026965,1.0759241799972228,1.0745232222165968,-0.023560630645117212,0.8736416907691458,0.08261925559847205,0.0233918305718519,0.37534246575342467,0.12876712328767123,0.0547945205479452,0.010958904109589041
matern,decision_rule,12h_prior,within_rule_chronological_rows,365,365,-0.08773675589777506,1.1223260834995636,1.059398925570327,1.0615785208136226,-0.09449748380645841,0.8510301811631557,-0.10335296432815586,-0.031749732816722886,0.3589041095890411,0.13150684931506848,0.049315068493150684,0.019178082191780823
matern,decision_rule,6h_prior,within_rule_chronological_rows,365,365,-0.07783514723648814,1.1244037538490035,1.0603790613969155,1.0617822308574418,-0.07601029711209738,0.8496813820075096,-0.1623244360489711,0.027459366333397295,0.3452054794520548,0.136986301369863,0.052054794520547946,0.019178082191780823
matern,decision_rule,event_day_open,within_rule_chronological_rows,365,365,-0.025051971304996753,0.9887535297655933,0.9943608649608014,0.9933137556943827,-0.06787564267652796,0.8076863816063697,-0.04329505192867622,-0.24666162169414552,0.336986301369863,0.07945205479452055,0.038356164383561646,0.010958904109589041
matern,validation_block,block_1,all_date_rule_rows_within_block,364,91,0.15351589348718672,1.4315604978722856,1.1964783733408162,1.2046554565164336,0.3386030135684999,0.9662990568698421,-0.43466214825384913,0.47512454759990597,0.43131868131868134,0.15384615384615385,0.07692307692307693,0.04395604395604396
matern,validation_block,block_2,all_date_rule_rows_within_block,364,91,0.48637052839341316,0.8837311663607412,0.9400697667517774,1.0572888084037453,0.5876630051086044,0.8813588430828625,-0.49431566021848505,0.06497701659270438,0.36813186813186816,0.12912087912087913,0.04120879120879121,0.0027472527472527475
matern,validation_block,block_3,all_date_rule_rows_within_block,364,91,-0.5112799825193107,0.78507389985913,0.8860439604551966,1.0219218776187797,-0.5016212121891104,0.826339253577431,-0.04657496399049123,-0.5033563807418195,0.34615384615384615,0.13186813186813187,0.054945054945054944,0.008241758241758242
matern,validation_block,block_4,all_date_rule_rows_within_block,368,92,-0.3287794796612776,0.6794165479456213,0.8242672794340568,0.8863781662318541,-0.36712527171663656,0.7095366931776808,0.40943215684820766,0.6599710145653637,0.2717391304347826,0.0625,0.021739130434782608,0.005434782608695652
