model,term,coefficient,date_cluster_robust_standard_error,z_statistic,two_sided_normal_p_value,response,reference_rule,rows,date_clusters
rbf,intercept,1.0810054225520809,0.1681566672414103,6.428561176228355,1.2881740981424736e-10,squared_standardised_residual,24h_prior,1460,365
rbf,predictive_mean_z,-0.2070822394182255,0.1848838039348673,-1.1200669556278628,0.2626852307982799,squared_standardised_residual,24h_prior,1460,365
rbf,predictive_mean_z_squared,-0.1184868755447123,0.0769724415627394,-1.5393415245654514,0.1237209415489474,squared_standardised_residual,24h_prior,1460,365
rbf,predictive_std_z,0.1609112280343672,0.0927232789874053,1.7353919079611486,0.0826714124058253,squared_standardised_residual,24h_prior,1460,365
rbf,predictive_std_z_squared,0.036922284933933,0.055536035521186,0.6648347255512642,0.5061562093141645,squared_standardised_residual,24h_prior,1460,365
rbf,time_z,-0.2402101943486051,0.1734919725674679,-1.3845608577376205,0.1661867871828611,squared_standardised_residual,24h_prior,1460,365
rbf,seasonal_sin,-0.0253666426105711,0.1213156932336763,-0.2090961353343651,0.8343731915831052,squared_standardised_residual,24h_prior,1460,365
rbf,seasonal_cos,-0.1082277114421808,0.2479331072531701,-0.4365198042376286,0.6624596336593523,squared_standardised_residual,24h_prior,1460,365
rbf,rule_12h_prior,0.2103508696171754,0.1213802104686961,1.7329914720441582,0.083097184559389,squared_standardised_residual,24h_prior,1460,365
rbf,rule_6h_prior,0.2216074873360578,0.1245305164490895,1.7795436303892245,0.0751506784589271,squared_standardised_residual,24h_prior,1460,365
rbf,rule_event_day_open,0.2015285512972226,0.1845191739624338,1.0921821671402652,0.2747530391424392,squared_standardised_residual,24h_prior,1460,365
matern,intercept,0.9971148177869454,0.1517535715460133,6.570618454832275,5.010670388110897e-11,squared_standardised_residual,24h_prior,1460,365
matern,predictive_mean_z,-0.1897489374026357,0.1820498609066209,-1.042291032015476,0.297276768893416,squared_standardised_residual,24h_prior,1460,365
matern,predictive_mean_z_squared,-0.0851229207765275,0.0765559530659355,-1.1119046575413092,0.2661791459449224,squared_standardised_residual,24h_prior,1460,365
matern,predictive_std_z,0.2111329455913626,0.0769015210275652,2.7454976542750344,0.0060419199398793,squared_standardised_residual,24h_prior,1460,365
matern,predictive_std_z_squared,0.0660496833872562,0.0537826959035333,1.2280842802251009,0.2194153314576746,squared_standardised_residual,24h_prior,1460,365
matern,time_z,-0.3444655575225387,0.1663930177599988,-2.070192380424204,0.0384343325249323,squared_standardised_residual,24h_prior,1460,365
matern,seasonal_sin,-0.1165606805294809,0.1148417266170537,-1.014968025673797,0.310121069365795,squared_standardised_residual,24h_prior,1460,365
matern,seasonal_cos,-0.0532570223341898,0.2476276451732046,-0.2150689689632144,0.8297135469660301,squared_standardised_residual,24h_prior,1460,365
matern,rule_12h_prior,0.1582800596287685,0.0898685822051713,1.761239086507594,0.0781979450531396,squared_standardised_residual,24h_prior,1460,365
matern,rule_6h_prior,0.1617398964446514,0.0913414351730495,1.7707177048207046,0.0766076568021996,squared_standardised_residual,24h_prior,1460,365
matern,rule_event_day_open,0.1632783408602034,0.1330574654085257,1.227126492744249,0.2197750518678694,squared_standardised_residual,24h_prior,1460,365
