transition,split,observations,date_clusters,intercept,slope_delta_market_on_delta_matern,cluster_robust_slope_standard_error,cluster_robust_t_value,cluster_robust_p_value,r_squared,interpretation
24h_to_12h,development,550,50,-1.8431436932253575e-18,0.09465745227106347,0.04191156754376694,2.2585042225446625,0.028400474785435448,0.014976985819576072,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
24h_to_12h,june_external,297,27,1.5178830414797062e-18,0.1054453040762289,0.0558662520486008,1.8874597849251968,0.07030961207034328,0.02405519116175059,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
24h_to_12h,all_exact_support,847,77,-7.724940478959219e-19,0.09892661739457734,0.03335590676789199,2.965790079788895,0.004032801565017488,0.01797601522042913,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
12h_to_6h,development,627,57,-1.5178830414797062e-18,-0.08694440019167285,0.10946110173736831,-0.7942949487232448,0.43037700090784436,0.003333505938454273,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
12h_to_6h,june_external,297,27,-4.336808689942018e-19,0.1144635803377288,0.10154365114236871,1.127235223965364,0.2699390432735713,0.009502107343120625,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
12h_to_6h,all_exact_support,924,84,1.0842021724855044e-19,-0.025198812218035868,0.0789448106905072,-0.31919529602553,0.7503803843823764,0.00031825543753249974,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
6h_to_open,development,616,56,0.0,-0.1133946208625227,0.09148237913549893,-1.239524178689849,0.2204144840645936,0.010892635709256027,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
6h_to_open,june_external,319,29,4.336808689942018e-19,0.1039369011728598,0.05470501084826922,1.89995211702162,0.06778320891913428,0.02380702922930189,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
6h_to_open,all_exact_support,935,85,5.421010862427522e-19,-0.023528147286000813,0.06519845493459832,-0.36086970633893545,0.7191028166746286,0.0006290792935343958,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
24h_to_open,development,583,53,8.673617379884035e-19,0.1210527402406399,0.1833066201013881,0.6603838976120167,0.5119224022219752,0.003976898214766433,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
24h_to_open,june_external,297,27,3.0357660829594124e-18,0.0873942693525932,0.11022454580401853,0.7928748421243847,0.43502662228415445,0.005811945119247874,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
24h_to_open,all_exact_support,880,80,-2.8189256484623115e-18,0.10696235023217784,0.115418919614022,0.9267315149879745,0.3568885377360469,0.004249453803899295,Descriptive event-level co-movement with settlement-date clustered standard errors; not a causal response estimate.
