scope_type,scope_value,split,model,benchmark,metric,dates,mean_model_minus_market,median_model_minus_market,model_better_fraction,market_better_fraction
overall,all_rules,development,raw,market,binary_brier,67,0.09101633033695158,0.11223338636363636,0.08955223880597014,0.9104477611940298
overall,all_rules,development,raw,market,binary_log,67,4.158493659732124,4.805773908425145,0.029850746268656716,0.9701492537313433
overall,all_rules,development,raw,market,categorical_log,67,22.53712789125413,26.143499477607413,0.029850746268656716,0.9701492537313433
overall,all_rules,development,raw,market,multiclass_brier,67,1.002932482295544,1.2385769873407237,0.08955223880597014,0.9104477611940298
overall,all_rules,june_external,raw,market,binary_brier,30,0.11082263585858584,0.12489223011363636,0.03333333333333333,0.9666666666666667
overall,all_rules,june_external,raw,market,binary_log,30,4.5025010451953955,4.8505190610016795,0.0,1.0
overall,all_rules,june_external,raw,market,categorical_log,30,24.52803027070661,26.499165635443397,0.0,1.0
overall,all_rules,june_external,raw,market,multiclass_brier,30,1.2181960471397206,1.3728366186531047,0.03333333333333333,0.9666666666666667
overall,all_rules,development,static,market,binary_brier,67,-0.0016433177729180267,0.000528901275364901,0.47761194029850745,0.5223880597014925
overall,all_rules,development,static,market,binary_log,67,-0.005196767073065068,0.014311757942538889,0.4626865671641791,0.5373134328358209
overall,all_rules,development,static,market,categorical_log,67,-0.039236084264732934,0.1306858092778207,0.417910447761194,0.582089552238806
overall,all_rules,development,static,market,multiclass_brier,67,-0.01632364691302179,0.0077761500618855894,0.4925373134328358,0.5074626865671642
overall,all_rules,june_external,static,market,binary_brier,30,0.009394532514078728,0.01100066986280928,0.23333333333333334,0.7666666666666667
overall,all_rules,june_external,static,market,binary_log,30,0.038991437932030325,0.04330965025800157,0.16666666666666666,0.8333333333333334
overall,all_rules,june_external,static,market,categorical_log,30,0.36095380324090753,0.37135347861329493,0.13333333333333333,0.8666666666666667
overall,all_rules,june_external,static,market,multiclass_brier,30,0.10248691035014203,0.11444652646439485,0.23333333333333334,0.7666666666666667
overall,all_rules,development,matern,market,binary_brier,67,-0.0013141947974580096,0.0021208072417147547,0.47761194029850745,0.5223880597014925
overall,all_rules,development,matern,market,binary_log,67,-0.003072975872176805,0.017177152943546492,0.3880597014925373,0.6119402985074627
overall,all_rules,development,matern,market,categorical_log,67,-0.0182089957262825,0.17267165015536312,0.3880597014925373,0.6119402985074627
overall,all_rules,development,matern,market,multiclass_brier,67,-0.012703294182961586,0.022000648744410656,0.4925373134328358,0.5074626865671642
overall,all_rules,june_external,matern,market,binary_brier,30,0.009323867184877028,0.01239359633432095,0.16666666666666666,0.8333333333333334
overall,all_rules,june_external,matern,market,binary_log,30,0.03862806151631949,0.04686871619178247,0.16666666666666666,0.8333333333333334
overall,all_rules,june_external,matern,market,categorical_log,30,0.3573422055687354,0.3995171871652524,0.13333333333333333,0.8666666666666667
overall,all_rules,june_external,matern,market,multiclass_brier,30,0.1017095917289234,0.12976871765102316,0.16666666666666666,0.8333333333333334
overall,all_rules,all_exact_support,raw,market,binary_brier,97,0.09714199183848796,0.1192987424242424,0.07216494845360824,0.9278350515463918
overall,all_rules,all_exact_support,raw,market,binary_log,97,4.264887696473342,4.827665928631455,0.020618556701030927,0.979381443298969
overall,all_rules,all_exact_support,raw,market,categorical_log,97,23.1528708952085,26.338352280330252,0.020618556701030927,0.979381443298969
overall,all_rules,all_exact_support,raw,market,multiclass_brier,97,1.0695088425566295,1.3115037189113203,0.07216494845360824,0.9278350515463918
overall,all_rules,all_exact_support,static,market,binary_brier,97,0.0017704503570809698,0.005909989367375051,0.4020618556701031,0.5979381443298969
overall,all_rules,all_exact_support,static,market,binary_log,97,0.008469688083150002,0.022443095121601697,0.3711340206185567,0.6288659793814433
overall,all_rules,all_exact_support,static,market,categorical_log,97,0.08453398403598061,0.23273716288335988,0.32989690721649484,0.6701030927835051
overall,all_rules,all_exact_support,static,market,multiclass_brier,97,0.020421886261152593,0.06353883101027469,0.41237113402061853,0.5876288659793815
overall,all_rules,all_exact_support,matern,market,binary_brier,97,0.001975927465119838,0.00606443599687459,0.38144329896907214,0.6185567010309279
overall,all_rules,all_exact_support,matern,market,binary_log,97,0.009824252186121018,0.027531502717048933,0.31958762886597936,0.6804123711340206
overall,all_rules,all_exact_support,matern,market,categorical_log,97,0.09794086034434159,0.25149096955499717,0.30927835051546393,0.6907216494845361
overall,all_rules,all_exact_support,matern,market,multiclass_brier,97,0.022682134449580157,0.06323420698959337,0.3917525773195876,0.6082474226804123
decision_rule,24h_prior,development,raw,market,binary_brier,55,0.09789252727272728,0.11512293181818181,0.09090909090909091,0.9090909090909091
decision_rule,24h_prior,development,raw,market,binary_log,55,4.3527546055799595,4.815785770695738,0.09090909090909091,0.9090909090909091
decision_rule,24h_prior,development,raw,market,categorical_log,55,23.615140835925338,26.223322846145503,0.09090909090909091,0.9090909090909091
decision_rule,24h_prior,development,raw,market,multiclass_brier,55,1.0761959267344807,1.2615423624658144,0.09090909090909091,0.9090909090909091
decision_rule,24h_prior,june_external,raw,market,binary_brier,27,0.12310268686868688,0.1257846818181818,0.0,1.0
decision_rule,24h_prior,june_external,raw,market,binary_log,27,4.839799041667145,4.847344677421271,0.0,1.0
decision_rule,24h_prior,june_external,raw,market,categorical_log,27,26.40136359613921,26.47677174695504,0.0,1.0
decision_rule,24h_prior,june_external,raw,market,multiclass_brier,27,1.3519257693118125,1.3778934236221883,0.0,1.0
