split,contrast,dates,point_total_net_pnl,point_mean_daily_net_pnl,bootstrap_method,block_length_days,total_pnl_lower_95,total_pnl_upper_95,mean_daily_pnl_lower_95,mean_daily_pnl_upper_95,positive_total_pnl_fraction,nonnegative_total_pnl_fraction,bootstrap_replications,seed,bootstrap_unit
development,static_minus_raw_net_pnl,63,6.652499999999999,0.10559523809523808,ordinary_date,,1.3149500000000003,12.228037499999997,0.02087222222222223,0.1940958333333333,0.9928,0.9928,10000,20660805,settlement_date
development,static_minus_raw_net_pnl,63,6.652499999999999,0.10559523809523808,circular_moving_block,3.0,1.4394375000000004,11.989212499999995,0.02284821428571429,0.19030496031746025,0.9943,0.9943,10000,20660905,settlement_date
development,static_minus_raw_net_pnl,63,6.652499999999999,0.10559523809523808,circular_moving_block,5.0,1.7848875000000008,11.371712499999996,0.028331547619047635,0.18050337301587296,0.9965,0.9965,10000,20661005,settlement_date
development,static_minus_raw_net_pnl,63,6.652499999999999,0.10559523809523808,circular_moving_block,7.0,2.287862500000001,11.24555,0.0363152777777778,0.17850079365079363,0.9986,0.9986,10000,20661105,settlement_date
development,matern_minus_static_net_pnl,63,1.0299999999999998,0.016349206349206346,ordinary_date,,-0.5880000000000001,3.322,-0.009333333333333334,0.05273015873015873,0.8549,0.8549,10000,20661805,settlement_date
development,matern_minus_static_net_pnl,63,1.0299999999999998,0.016349206349206346,circular_moving_block,3.0,-0.5794999999999999,3.218537499999999,-0.009198412698412697,0.051087896825396814,0.8633,0.8633,10000,20661905,settlement_date
development,matern_minus_static_net_pnl,63,1.0299999999999998,0.016349206349206346,circular_moving_block,5.0,-0.5545124999999999,3.229187499999997,-0.008801785714285713,0.0512569444444444,0.8614,0.8614,10000,20662005,settlement_date
development,matern_minus_static_net_pnl,63,1.0299999999999998,0.016349206349206346,circular_moving_block,7.0,-0.5595124999999999,3.1965124999999994,-0.008881150793650794,0.05073829365079364,0.8592,0.8592,10000,20662105,settlement_date
development,matern_minus_raw_net_pnl,63,7.6825,0.12194444444444445,ordinary_date,,1.8369875,13.62361249999999,0.029158531746031748,0.2162478174603173,0.9947,0.9947,10000,20662805,settlement_date
development,matern_minus_raw_net_pnl,63,7.6825,0.12194444444444445,circular_moving_block,3.0,1.867,13.5200125,0.029634920634920636,0.214603373015873,0.9961,0.9961,10000,20662905,settlement_date
development,matern_minus_raw_net_pnl,63,7.6825,0.12194444444444445,circular_moving_block,5.0,2.41895,13.204062499999997,0.03839603174603174,0.20958829365079362,0.9991,0.9991,10000,20663005,settlement_date
development,matern_minus_raw_net_pnl,63,7.6825,0.12194444444444445,circular_moving_block,7.0,2.5844875,13.125287499999995,0.04102361111111111,0.20833789682539677,0.9995,0.9995,10000,20663105,settlement_date
june_external,static_minus_raw_net_pnl,30,1.831,0.061033333333333335,ordinary_date,,-0.4285374999999994,3.720025,-0.014284583333333312,0.12400083333333335,0.9486,0.9486,10000,20663805,settlement_date
june_external,static_minus_raw_net_pnl,30,1.831,0.061033333333333335,circular_moving_block,3.0,0.16942500000000105,3.405587499999999,0.0056475000000000344,0.1135195833333333,0.9836,0.9836,10000,20663905,settlement_date
june_external,static_minus_raw_net_pnl,30,1.831,0.061033333333333335,circular_moving_block,5.0,0.24598750000000044,3.2830125000000003,0.008199583333333349,0.10943375,0.9877,0.9877,10000,20664005,settlement_date
june_external,static_minus_raw_net_pnl,30,1.831,0.061033333333333335,circular_moving_block,7.0,0.4240000000000004,3.1745375,0.014133333333333347,0.10581791666666666,0.9963,0.9963,10000,20664105,settlement_date
june_external,matern_minus_static_net_pnl,30,0.0,0.0,ordinary_date,,0.0,0.0,0.0,0.0,0.0,1.0,10000,20664805,settlement_date
june_external,matern_minus_static_net_pnl,30,0.0,0.0,circular_moving_block,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10000,20664905,settlement_date
june_external,matern_minus_static_net_pnl,30,0.0,0.0,circular_moving_block,5.0,0.0,0.0,0.0,0.0,0.0,1.0,10000,20665005,settlement_date
june_external,matern_minus_static_net_pnl,30,0.0,0.0,circular_moving_block,7.0,0.0,0.0,0.0,0.0,0.0,1.0,10000,20665105,settlement_date
june_external,matern_minus_raw_net_pnl,30,1.831,0.061033333333333335,ordinary_date,,-0.4325125000000001,3.707525,-0.014417083333333336,0.12358416666666668,0.9511,0.9511,10000,20665805,settlement_date
june_external,matern_minus_raw_net_pnl,30,1.831,0.061033333333333335,circular_moving_block,3.0,0.16346250000000076,3.4065374999999993,0.005448750000000025,0.11355124999999998,0.9834,0.9834,10000,20665905,settlement_date
june_external,matern_minus_raw_net_pnl,30,1.831,0.061033333333333335,circular_moving_block,5.0,0.23700000000000032,3.2665000000000006,0.007900000000000011,0.10888333333333336,0.987,0.987,10000,20666005,settlement_date
june_external,matern_minus_raw_net_pnl,30,1.831,0.061033333333333335,circular_moving_block,7.0,0.42050000000000026,3.1515,0.014016666666666676,0.10505,0.9953,0.9953,10000,20666105,settlement_date
