signal_model,decision_rule,status,best_threshold_by_mean,best_mean_daily_net_pnl,best_standard_error,one_standard_error_cutoff,selected_threshold,selected_trade_count,selected_total_net_pnl,selected_mean_daily_net_pnl,selected_standard_error,selected_rule_score_mean_minus_se,transaction_cost,minimum_development_trades
raw,24h_prior,selected,0.25,-0.06486363636363636,0.03944254751708213,-0.1043061838807185,0.25,55,-3.5675,-0.06486363636363636,0.03944254751708213,-0.1043061838807185,0.01,10
raw,12h_prior,selected,0.25,-0.009091666666666665,0.03925751662825001,-0.04834918329491667,0.25,60,-0.5454999999999999,-0.009091666666666665,0.03925751662825001,-0.04834918329491667,0.01,10
raw,6h_prior,selected,0.25,-0.02221551724137931,0.043502816299910284,-0.06571833354128959,0.25,58,-1.2885,-0.02221551724137931,0.043502816299910284,-0.06571833354128959,0.01,10
raw,event_day_open,selected,0.25,-0.05059523809523809,0.03445940838968635,-0.08505464648492445,0.25,63,-3.1874999999999996,-0.05059523809523809,0.03445940838968635,-0.08505464648492445,0.01,10
static,24h_prior,selected,0.05,0.09546363636363638,0.05060792689959738,0.044855709464038995,0.13,20,2.9379999999999997,0.053418181818181816,0.036369902742900036,0.01704827907528178,0.01,10
static,12h_prior,selected,0.12,0.06654999999999998,0.036264556204690594,0.03028544379530939,0.14,17,2.1574999999999998,0.03595833333333333,0.027233532555163406,0.008724800778169922,0.01,10
static,6h_prior,selected,0.07,0.06444827586206896,0.04314918354010575,0.021299092321963205,0.14,26,1.912,0.03296551724137931,0.029711737334951086,0.003253779906428226,0.01,10
static,event_day_open,selected,0.1,0.06182539682539682,0.04012108873435739,0.02170430809103943,0.13,37,2.0695000000000006,0.03284920634920636,0.03081000203940733,0.002039204309799026,0.01,10
matern,24h_prior,selected,0.06,0.09263636363636363,0.0481806251043442,0.04445573853201943,0.13,19,2.6679999999999997,0.048509090909090904,0.03538840165270985,0.013120689256381053,0.01,10
matern,12h_prior,selected,0.17,0.0083,0.016144278866304134,-0.007844278866304134,0.17,10,0.49800000000000005,0.0083,0.016144278866304134,-0.007844278866304134,0.01,10
matern,6h_prior,selected,0.07,0.0641551724137931,0.04312585376535761,0.021029318648435484,0.12,34,1.2305,0.02121551724137931,0.03024174656563562,-0.009026229324256313,0.01,10
matern,event_day_open,selected,0.09,0.09098412698412697,0.04338946495705312,0.04759466202707385,0.12,42,4.494999999999999,0.07134920634920634,0.03905251468983363,0.03229669165937271,0.01,10
