stratification,split,quartile,trades,mean_stratification_value,total_net_pnl,mean_net_pnl,hit_rate
signal_gap,development,1,12,0.12837842620182408,2.7965,0.23304166666666667,0.3333333333333333
signal_gap,development,2,9,0.14903836161655193,1.4169999999999998,0.15744444444444441,0.2222222222222222
signal_gap,development,3,8,0.17238166369987898,-0.679,-0.084875,0.0
signal_gap,development,4,13,0.2333021578677298,0.9605000000000001,0.0738846153846154,0.15384615384615385
signal_gap,june_external,1,3,0.12858357080740354,-0.171,-0.057,0.0
signal_gap,june_external,2,5,0.14586353766256915,0.6964999999999999,0.13929999999999998,0.2
signal_gap,june_external,3,6,0.18139960799644708,-0.4435,-0.07391666666666667,0.0
signal_gap,june_external,4,2,0.2006532593738005,-0.058499999999999996,-0.029249999999999998,0.0
market_entry_price,development,1,12,0.016125000000000004,0.6865,0.05720833333333333,0.08333333333333333
market_entry_price,development,2,9,0.03933333333333333,0.5559999999999999,0.06177777777777777,0.1111111111111111
market_entry_price,development,3,8,0.060875,0.433,0.054125,0.125
market_entry_price,development,4,13,0.15773076923076923,2.8194999999999997,0.21688461538461537,0.38461538461538464
market_entry_price,june_external,1,3,0.01883333333333333,-0.0865,-0.028833333333333332,0.0
market_entry_price,june_external,2,5,0.04,-0.25,-0.05,0.0
market_entry_price,june_external,3,6,0.06166666666666667,0.5700000000000001,0.09500000000000001,0.16666666666666666
market_entry_price,june_external,4,2,0.095,-0.21,-0.105,0.0
absolute_probability_delta,development,1,11,0.055386760931168816,1.0655,0.09686363636363636,0.18181818181818182
absolute_probability_delta,development,2,9,0.09220634121214036,0.38649999999999995,0.04294444444444444,0.1111111111111111
absolute_probability_delta,development,3,7,0.10881544887411973,1.6344999999999998,0.23349999999999999,0.2857142857142857
absolute_probability_delta,development,4,15,0.17931063996214866,1.4084999999999999,0.0939,0.2
absolute_probability_delta,june_external,1,4,0.04887699027127711,-0.369,-0.09225,0.0
absolute_probability_delta,june_external,2,5,0.09072607141550611,-0.238,-0.047599999999999996,0.0
absolute_probability_delta,june_external,3,7,0.1086299467409243,0.6304999999999997,0.09007142857142854,0.14285714285714285
