phase,check,passed,critical,detail,source_path
phase1,dependency_schema,True,True,missing=[],outputs/v70_empirical_finalisation/phase1_evidence_recovery/phase1_completion_status.csv
phase1,no_critical_failures,True,True,critical_failures=0,outputs/v70_empirical_finalisation/phase1_evidence_recovery/phase1_completion_status.csv
phase1,noncritical_limitations_registered,True,False,noncritical_rows=2,outputs/v70_empirical_finalisation/phase1_evidence_recovery/phase1_completion_status.csv
phase2,dependency_schema,True,True,missing=[],outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_integrity_checks.csv
phase2,no_critical_failures,True,True,critical_failures=0,outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_integrity_checks.csv
phase2,noncritical_limitations_registered,True,False,noncritical_rows=0,outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_integrity_checks.csv
phase3,dependency_schema,True,True,missing=[],outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_integrity_checks.csv
phase3,no_critical_failures,True,True,critical_failures=0,outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_integrity_checks.csv
phase3,noncritical_limitations_registered,True,False,noncritical_rows=0,outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_integrity_checks.csv
phase4,dependency_schema,True,True,missing=[],outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_integrity_checks.csv
phase4,no_critical_failures,True,True,critical_failures=0,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_integrity_checks.csv
phase4,noncritical_limitations_registered,True,False,noncritical_rows=0,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_integrity_checks.csv
phase5,dependency_schema,True,True,missing=[],outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_integrity_checks.csv
phase5,no_critical_failures,True,True,critical_failures=0,outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_integrity_checks.csv
phase5,noncritical_limitations_registered,True,False,noncritical_rows=1,outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_integrity_checks.csv
phase6,dependency_schema,True,True,missing=[],outputs/v70_empirical_finalisation/phase6_market_information/phase6_integrity_checks.csv
phase6,no_critical_failures,True,True,critical_failures=0,outputs/v70_empirical_finalisation/phase6_market_information/phase6_integrity_checks.csv
phase6,noncritical_limitations_registered,True,False,noncritical_rows=2,outputs/v70_empirical_finalisation/phase6_market_information/phase6_integrity_checks.csv
phase7,dependency_schema,True,True,missing=[],outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_integrity_checks.csv
phase7,no_critical_failures,True,True,critical_failures=0,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_integrity_checks.csv
phase7,noncritical_limitations_registered,True,False,noncritical_rows=2,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_integrity_checks.csv
