phase,candidate_id,quantity,point_estimate,lower_95,upper_95,secondary_value,secondary_quantity,unit,preferred_location,source_path
phase2,P2_MEAN,pooled mean HKO-minus-forecast residual,1.4296575342465752,1.32736301369863,1.5309246575342463,,,degrees Celsius,Results Section 6.2,outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_thesis_candidate_summary.csv
phase2,P2_SD,pooled residual standard deviation,1.4732503116670568,,,,,degrees Celsius,Results Section 6.2,outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_thesis_candidate_summary.csv
phase2,P2_MEDIAN,pooled residual median,1.400000000000002,1.2999999999999972,1.5,,,degrees Celsius,Results Section 6.2,outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_thesis_candidate_summary.csv
phase2,P2_UNDER,proportion of date-rule forecasts below HKO,0.8246575342465754,0.7996575342465754,0.8486301369863014,,,proportion,Results Section 6.2,outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_thesis_candidate_summary.csv
phase2,P2_GAUSSIAN_TAIL,largest empirical-minus-Gaussian tail difference: absolute_residual_above_threshold at 1.0°C,-0.0351643609851155,,,,,probability difference,Appendix/Discussion if material,outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_thesis_candidate_summary.csv
phase2,P2_INFLUENCE,maximum leave-one-date-out change in pooled mean,0.0066465603096752,,,,,degrees Celsius,Robustness appendix,outputs/v70_empirical_finalisation/phase2_settlement_error/phase2_thesis_candidate_summary.csv
phase3,P3_ENDPOINT_MAE,mean 24h-to-open absolute-error improvement,0.1042465753424657,0.0501369863013699,0.1591815068493151,,,degrees Celsius,Results: deterministic forecast revision,outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_thesis_candidate_summary.csv
phase3,P3_ENDPOINT_CORRECT,directionally correct 24h-to-open revisions among evaluable updates,0.6388888888888888,,,,,proportion,Appendix or discussion,outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_thesis_candidate_summary.csv
phase3,P3_CRPS_RAW,Raw point 24h-to-open mean CRPS improvement,0.1427397260273973,0.0652054794520548,0.2205479452054795,,,degrees Celsius CRPS,"Results or appendix, selected by materiality",outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_thesis_candidate_summary.csv
phase3,P3_CRPS_STATIC,Static Gaussian 24h-to-open mean CRPS improvement,0.1078676678624315,0.0573005894703191,0.15782238017644,,,degrees Celsius CRPS,"Results or appendix, selected by materiality",outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_thesis_candidate_summary.csv
phase3,P3_CRPS_RBF,RBF GP 24h-to-open mean CRPS improvement,0.1304609378024658,0.079723027100089,0.1823621182911507,,,degrees Celsius CRPS,"Results or appendix, selected by materiality",outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_thesis_candidate_summary.csv
phase3,P3_CRPS_MATERN,Matérn-3/2 GP 24h-to-open mean CRPS improvement,0.1372891041284931,0.0875217985571917,0.1882381900541301,,,degrees Celsius CRPS,"Results or appendix, selected by materiality",outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_thesis_candidate_summary.csv
phase3,P3_GP_SHIFT_RBF,"RBF GP mean absolute predictive-mean shift, 24h to open",0.6766035603813698,,,,,degrees Celsius,Appendix: information-set revision,outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_thesis_candidate_summary.csv
phase3,P3_GP_SHIFT_MATERN,"Matérn-3/2 GP mean absolute predictive-mean shift, 24h to open",0.6845529977490411,,,,,degrees Celsius,Appendix: information-set revision,outputs/v70_empirical_finalisation/phase3_information_arrival/phase3_thesis_candidate_summary.csv
phase4,P4_MEAN_RAW,Raw point mean date CRPS,1.7456849315068492,,,,,degrees Celsius CRPS,Results attribution table,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_MEAN_STATIC,Static Gaussian mean date CRPS,0.9117545500469532,,,,,degrees Celsius CRPS,Results attribution table,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_MEAN_RBF,RBF GP mean date CRPS,0.8775614684388354,,,,,degrees Celsius CRPS,Results attribution table,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_MEAN_MATERN,Matérn-3/2 GP mean date CRPS,0.8633399989586301,,,,,degrees Celsius CRPS,Results attribution table,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_CONTRAST_STATIC_MINUS_RAW,static_minus_raw mean paired loss difference,-0.8339303814598961,-0.946673147756632,-0.7204182534814287,,,degrees Celsius CRPS,Results and robustness,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_CONTRAST_MATERN_MINUS_STATIC,matern_minus_static mean paired loss difference,-0.048414551088323,-0.0699685024619953,-0.0273387923565425,,,degrees Celsius CRPS,Results and robustness,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_CONTRAST_MATERN_MINUS_RBF,matern_minus_rbf mean paired loss difference,-0.0142214694802054,-0.0205288417749332,-0.0079036960862911,,,degrees Celsius CRPS,Results and robustness,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_STAGE_RAW_TO_STATIC,raw_to_static share of total raw-to-Matérn reduction,0.9451296774057492,,,,,fraction,Results attribution interpretation,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_STAGE_STATIC_TO_RBF,static_to_rbf share of total raw-to-Matérn reduction,0.0387525108909142,,,,,fraction,Results attribution interpretation,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
