objective,outer_fold,total_net_pnl,mean_daily_net_pnl,positions,active_dates,sharpe
mean_pnl,1,10.72,0.8933334,59,12,1.1249190985634125
mean_pnl,2,0.6755,0.056291666,57,12,0.059372793560949565
mean_pnl,3,0.34099996,0.028416663,58,12,0.0363350422532356
mean_pnl,4,-2.1925,-0.18270834,20,8,-0.43855140161845574
mean_pnl,5,-1.221,-0.101749994,22,12,-0.19058465550930784
pure_sharpe,1,2.7165,0.226375,23,12,1.1389609851173341
pure_sharpe,2,0.18598437,0.015498698,30,12,0.2851822643282598
pure_sharpe,3,-1.0455,-0.087125,9,7,-0.23058098413389744
pure_sharpe,4,-2.03,-0.16916667,10,10,-0.3675135015128726
pure_sharpe,5,0.03765465,0.0031378875,12,12,0.04488993906351524
robust_sharpe,1,2.7165,0.226375,23,12,1.1389609851173341
robust_sharpe,2,0.41670007,0.034725007,57,12,0.1772691768973297
robust_sharpe,3,-1.0455,-0.087125,9,7,-0.23058098413389744
robust_sharpe,4,1.1783159,0.09819299,4,3,0.49231234963155507
robust_sharpe,5,0.36499995,0.030416662,10,9,0.07040878226258036
